currency,partner,sector10,sectpart,stk_flow,bop_item,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,LU	: 	: 	: 	: 	: 	: 	: 	-32.0 	-472.0 	488.0 	1364.0 	1688.0 	1288.0 	2068.0 	-3780.0 	244.0 	-1164.0 	1290.0 	-1297.0 	1440.0 	-5317.0 	577.0 	-964.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20.0 	-67.0 	-32.0 	17.0 	30.0 	43.0 	6.0 	54.0 	23.0 	42.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	19.0 	8.7 	9.9 	9.8 	11.2 	6.6 	7.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	21832.0 	2797.0 	3399.0 	14333.0 	-11998.0 	-10094.0 	-4577.0 	-2331.0 	2151.0 	-16871.0 	-14584.0 	6861.0 	709.0 	-1940.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	83.0 	180.0 	1806.0 	-228.0 	576.0 	-4305.0 	921.0 	474.0 	1270.0 	-931.0 	1863.0 	491.0 	543.0 	3214.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c	: c	: c	: c	1247.0 	403.0 	527.0 	902.0 	921.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,RO	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	-224.0 	-92.0 	28.0 	-164.0 	-704.0 	-884.0 	-232.0 	-104.0 	8.0 	-956.0 	: c	-168.0 	0.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,SE	36955.0 	28947.0 	34720.0 	: c	69672.0 	78924.0 	21294.0 	43064.0 	75005.0 	20378.0 	85482.0 	31225.0 	151013.0 	63360.0 	: c	84746.0 	100592.0 	68697.0 	97638.0 	101416.0 	55852.0 	42650.0 	100351.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.0 	-296.0 	-368.0 	-176.0 	-426.4 	-507.3 	-178.3 	-66.3 	16.1 	31.8 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	203.8 	252.3 	62.6 	-244.0 	32.4 	17.7 	159.8 	27.3 	107.8 	95.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,UK	: 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	9835.0 	-13463.0 	-1410.0 	3462.0 	17003.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__FL,AT	: 	: 	: 	: 	-283.0 	643.0 	316.0 	927.0 	-38.0 	-312.0 	570.0 	3064.0 	4040.0 	2687.0 	2000.0 	1658.0 	5792.0 	1930.0 	7381.0 	5571.0 	2223.0 	2739.0 	1224.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__FL,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	139270.0 	415.0 	35610.0 	39273.0 	6195.0 	-29415.0 	-21547.0 	-53310.0 	-19369.0 	-18006.0 
