currency,partner,sector10,sectpart,stk_flow,bop_item,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,IS	-23176.5 	-4887.5 	213.1 	-447.6 	-115.5 	-158.8 	-490.8 	-1024.5 	-684.7 	-869.5 	-241.6 	-309.2 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,IT	-292013.0 	-306743.0 	-333946.0 	-351836.0 	-398573.0 	-384632.0 	-428405.0 	-417991.0 	-433474.0 	-419344.0 	-422430.0 	-493553.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,LT	-4039.8 	-1812.8 	-5484.4 	-6442.8 	-6141.6 	-6286.1 	-7430.2 	-5711.6 	-6954.7 	-8052.4 	-9921.8 	-10858.1 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,LU	299747.0 	291863.0 	284138.0 	319549.0 	326522.0 	348142.0 	365824.0 	366722.0 	371260.0 	375876.0 	379047.0 	376965.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,LV	-10589.0 	-11562.0 	-12496.0 	-12323.0 	-11917.0 	-12420.0 	-12369.0 	-11692.0 	-12684.0 	-14119.0 	-12755.0 	-11430.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,MK	-2359.9 	-2411.9 	-2422.0 	-2452.4 	-2546.1 	-2502.1 	-2446.3 	-2504.9 	-2370.3 	-2352.2 	-2255.9 	-2230.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,MT	-6265.8 	-6050.6 	-4137.5 	-3963.0 	-2517.5 	-1334.7 	147.1 	1568.9 	2689.4 	4426.1 	6623.7 	8019.6 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,NL	13620.0 	-16385.0 	-42943.0 	-26785.0 	-27032.0 	-13094.0 	11575.0 	-22298.0 	531.0 	-5095.0 	981.0 	26934.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,NO	-52126.1 	-54021.7 	-50834.9 	-55889.4 	-52132.3 	-59014.1 	-53664.1 	-63575.8 	-62864.5 	-64985.6 	-66668.9 	-64961.7 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,PL	-94875.4 	-89303.2 	-95150.6 	-96403.7 	-98547.2 	-102630.0 	-96682.8 	-94404.0 	-88927.8 	-87734.3 	-88825.3 	-81252.2 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,PT	-144236.0 	-146694.0 	-149914.0 	-151802.0 	-151849.0 	-163224.0 	-164587.0 	-164495.0 	-161115.0 	-159501.0 	-168222.0 	-170147.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,RO	-35123.4 	-38965.3 	-36819.6 	-36028.0 	-34033.7 	-31388.6 	-32217.5 	-32934.6 	-29132.0 	-27857.5 	-25177.3 	-24616.2 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,RS	-13732.0 	-13901.0 	-12909.0 	-12909.0 	-12719.0 	-13261.0 	-12463.0 	-11994.0 	-12401.0 	-12097.0 	-12022.0 	-12557.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__O__F,SE	74770.5 	88538.1 	85233.3 	69671.3 	71842.7 	77211.4 	87290.1 	89988.9 	91308.8 	95074.1 	85323.4 	89023.4 
