reason,sex,age,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
FAMRESP,T,Y20-64,PC_INAC,EE	19.0 b	19.6 	20.0 	20.0 	22.6 	21.9 b	22.3 	24.3 	26.1 	25.8 	22.8 	21.5 	24.7 	25.4 	25.2 	25.5 	29.2 	27.5 
FAMRESP,T,Y20-64,PC_INAC,EL	35.7 	35.0 b	31.6 	30.1 	29.7 b	29.6 b	31.1 	29.9 	29.3 	28.4 b	26.4 	23.8 	21.9 	21.0 	19.1 	17.7 	17.4 	17.3 
FAMRESP,T,Y20-64,PC_INAC,ES	30.1 	24.8 b	25.2 	24.3 	23.0 	38.8 b	38.8 b	39.4 	37.2 	35.1 	33.2 	32.7 	30.1 	28.4 	28.0 	29.9 	29.8 	29.7 
FAMRESP,T,Y20-64,PC_INAC,EU27	22.6 	21.8 	21.1 	21.1 	18.5 	17.0 b	17.6 	17.6 	20.1 	19.9 	19.1 	19.0 	19.4 	20.4 	20.3 	20.7 	21.1 	21.4 
FAMRESP,T,Y20-64,PC_INAC,EU28	: 	: 	20.9 	21.1 	18.4 	17.0 b	17.6 	17.7 	20.1 	19.9 	19.1 	19.0 	19.4 	20.4 	20.2 	20.7 	21.1 	21.4 
FAMRESP,T,Y20-64,PC_INAC,FI	14.1 b	13.9 	11.9 	12.8 	13.7 	13.0 b	14.1 	13.3 b	13.1 b	12.0 	13.1 	13.1 	13.3 	12.9 	12.5 	13.1 	12.5 	12.6 
FAMRESP,T,Y20-64,PC_INAC,FR	1.4 	1.4 	1.1 	1.3 b	1.5 	1.1 b	2.0 b	1.7 	1.6 	1.8 	1.6 	1.5 	1.6 	11.1 	10.9 b	11.8 	11.5 	11.6 
FAMRESP,T,Y20-64,PC_INAC,HR	: 	: 	3.9 	17.8 b	17.1 	16.1 b	17.3 b	19.6 	19.3 	19.3 	20.3 	20.7 	20.3 	19.9 	18.3 	19.0 	22.6 	19.6 
FAMRESP,T,Y20-64,PC_INAC,HU	13.3 	13.3 b	13.0 	14.1 	14.1 	15.8 b	15.4 	15.9 	15.7 	15.6 	15.5 	16.3 	16.1 	16.7 	17.1 	19.1 	20.9 	21.6 
FAMRESP,T,Y20-64,PC_INAC,IE	5.5 	5.2 	4.5 	4.8 	3.3 	2.6 b	3.8 	3.7 b	3.1 	2.8 	3.0 	3.1 	28.5 b	37.1 	38.8 	40.7 	41.0 	39.4 b
FAMRESP,T,Y20-64,PC_INAC,IS	15.2 	18.6 	16.8 	15.1 b	15.9 	12.5 b	10.9 	10.9 	10.8 	8.7 	8.0 	6.5 	6.5 	4.8 	8.2 	7.6 	6.0 	4.3 
FAMRESP,T,Y20-64,PC_INAC,IT	36.4 	36.0 	35.4 	35.6 	20.1 b	18.3 b	21.1 	20.6 	20.4 	21.2 	19.3 	19.6 	20.0 	20.6 	20.6 	20.3 	20.9 	22.2 
FAMRESP,T,Y20-64,PC_INAC,LT	11.8 	12.2 	12.1 b	10.2 	13.4 	13.8 b	14.5 	15.0 	16.2 	14.7 	12.1 	11.5 	12.5 	13.4 	14.3 	15.0 	14.9 	17.3 
FAMRESP,T,Y20-64,PC_INAC,LU	50.7 	51.3 	53.2 	50.3 b	49.4 	48.0 b	46.4 	45.8 b	42.9 	29.5 b	28.9 	29.2 	29.1 	25.3 	24.8 	18.4 b	15.9 	15.9 
FAMRESP,T,Y20-64,PC_INAC,LV	: 	9.4 	18.4 b	20.0 	22.8 	21.3 b	23.4 	23.8 	24.2 	19.0 	16.7 	18.4 	19.1 	19.8 	21.3 	23.6 	22.9 	23.8 
FAMRESP,T,Y20-64,PC_INAC,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22.0 	25.4 	30.8 	28.9 	30.4 	24.6 	25.2 
FAMRESP,T,Y20-64,PC_INAC,MK	: 	: 	: 	: 	: 	: 	33.2 	39.2 	43.0 	43.7 	43.3 	42.6 	41.3 	43.3 	45.6 	47.0 	46.5 	47.1 
FAMRESP,T,Y20-64,PC_INAC,MT	54.7 	70.0 	69.4 	68.7 	67.3 b	58.2 b	53.7 	49.2 	49.3 	50.9 	45.4 	43.3 	42.9 	42.6 	38.5 	33.5 	31.0 	32.0 
FAMRESP,T,Y20-64,PC_INAC,NL	23.8 	23.3 	20.1 	18.3 	16.6 	15.6 b	18.4 b	17.8 	16.5 	15.8 	13.3 b	12.2 b	11.8 	10.6 	11.1 	11.1 	10.9 	10.8 
FAMRESP,T,Y20-64,PC_INAC,NO	11.0 	10.3 	9.2 	8.2 	7.7 	8.0 b	7.7 b	7.4 	5.8 	5.9 	6.3 	6.2 	5.3 	4.3 	4.0 	3.8 	3.5 	3.5 
FAMRESP,T,Y20-64,PC_INAC,PL	19.4 b	16.6 b	15.6 	15.6 b	15.8 b	16.6 b	18.6 	19.9 	20.8 	20.9 	20.4 b	21.3 	21.7 	22.2 	23.0 	24.6 	27.3 	29.0 
FAMRESP,T,Y20-64,PC_INAC,PT	27.1 	25.5 	26.3 	24.7 	23.9 	22.8 b	23.9 	23.3 	22.8 	22.3 	21.8 	16.1 b	14.4 	13.4 	13.2 	13.8 	14.6 	14.8 
FAMRESP,T,Y20-64,PC_INAC,RO	13.2 	13.7 	15.5 b	17.1 b	18.6 	3.2 b	17.1 	16.6 	16.5 	16.3 	18.2 b	17.9 	19.0 	20.0 	20.3 	21.5 	21.8 	22.5 
FAMRESP,T,Y20-64,PC_INAC,SE	8.5 	11.1 b	10.4 	10.3 	10.3 	5.7 b	5.6 	5.8 	5.6 	5.6 	5.9 	6.0 	6.4 	5.7 	5.9 	6.0 	6.1 	6.3 
FAMRESP,T,Y20-64,PC_INAC,SI	7.7 	8.8 	7.3 	7.4 	6.2 	11.5 b	11.6 	9.9 	10.2 	10.7 	11.2 	11.7 	9.7 	10.2 	9.8 	8.7 	11.2 	12.1 
FAMRESP,T,Y20-64,PC_INAC,SK	18.7 	17.5 	17.9 	17.8 b	18.0 	19.4 b	19.7 	20.3 	21.1 	21.9 	21.5 	22.2 b	22.3 	22.4 	22.6 	23.2 	24.1 	26.2 
FAMRESP,T,Y20-64,PC_INAC,TR	: 	: 	: 	: 	: 	: 	66.4 	65.2 	65.5 	66.6 	66.7 	66.9 	65.8 	65.1 	66.3 b	66.5 	66.0 	66.6 
FAMRESP,T,Y20-64,PC_INAC,UK	31.3 	30.6 	30.8 	31.1 	30.1 b	7.2 b	: 	: 	29.1 b	28.9 	28.2 	29.1 	29.7 	29.5 	29.5 	29.7 	29.2 	27.9 
