currency,bop_item,sector10,sectpart,stk_flow,partner,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,GS,S1,S1,BAL,WRL_REST,CZ	-48718.0 	-102696.0 	-99271.0 	-22069.0 	-24330.0 	-66264.0 	-58701.0 	-49472.0 	-56556.0 	13863.0 	68366.0 	86932.0 	83762.0 	84847.0 	146877.0 	118867.0 	156761.0 	201425.0 	237333.0 	275602.0 	266069.0 	353299.0 	362943.0 
MIO_NAC,GS,S1,S1,BAL,WRL_REST,DE	8884.0 	15808.0 	23266.0 	26714.0 	14718.0 	5691.0 	38440.0 	96662.0 	81314.0 	114454.0 	116408.0 	126806.0 	167109.0 	153055.0 	121518.0 	134107.0 	131852.0 	167625.0 	171285.0 	203700.0 	244223.0 	248051.0 	244486.0 
MIO_NAC,GS,S1,S1,BAL,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	87301.0 	68862.0 	50377.0 	63472.0 	77447.0 	125784.0 	118098.0 	114078.0 	127504.0 	137935.0 	138230.0 	141504.0 	154566.0 
MIO_NAC,GS,S1,S1,BAL,WRL_REST,EE	-208.5 	-383.4 	-470.4 	-488.1 	-237.1 	-200.0 	-276.2 	-579.4 	-739.1 	-764.6 	-575.0 	-1371.8 	-1441.8 	-647.0 	701.0 	938.0 	954.6 	277.6 	532.2 	713.3 	827.6 	882.9 	1075.6 
MIO_NAC,GS,S1,S1,BAL,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-15098.0 	-21215.0 	-27647.0 	-28684.0 	-21631.0 	-18255.0 	-12676.0 	-7190.0 	-5025.0 	-3984.0 	-299.0 	-1271.0 	-921.0 
MIO_NAC,GS,S1,S1,BAL,WRL_REST,ES	-4160.0 	-307.0 	1352.0 	-2700.0 	-11616.0 	-19533.0 	-16435.0 	-14965.0 	-17512.0 	-32872.0 	-46178.0 	-59383.0 	-64492.0 	-57216.0 	-11931.0 	-13879.0 	-1887.0 	15999.0 	33773.0 	25676.0 	25925.0 	35967.0 	33627.0 
MIO_NAC,GS,S1,S1,BAL,WRL_REST,FI	7647.5 	7353.7 	8348.0 	9716.5 	9187.1 	12752.3 	13668.6 	13695.4 	10355.0 	10031.9 	6565.1 	7164.0 	8947.0 	7027.0 	3604.0 	2347.0 	-1683.0 	-2902.0 	-1799.0 	-1908.0 	-996.0 	-2238.0 	652.0 
MIO_NAC,GS,S1,S1,BAL,WRL_REST,FR	: 	: 	: 	: 	35744.0 	13748.0 	20475.0 	29425.0 	21447.0 	15460.0 	2497.0 	-1956.0 	-8714.0 	-24168.0 	-18033.0 	-27452.0 	-37132.0 	-23156.0 	-12915.0 	-17209.0 	-8768.0 	-16779.0 	-21730.0 
MIO_NAC,GS,S1,S1,BAL,WRL_REST,HR	: 	: 	: 	: 	: 	-8128.0 	-10070.0 	-20081.0 	-15730.0 	-15233.0 	-16722.0 	-20000.0 	-23558.0 	-28025.0 	-12351.0 	-1312.0 	-1376.0 	1300.0 	1111.0 	6183.0 	7533.0 	9684.0 	7624.0 
MIO_NAC,GS,S1,S1,BAL,WRL_REST,HU	6259.4 	37356.5 	113035.2 	-160451.6 	-338593.3 	-511425.7 	-204613.8 	-305181.0 	-757662.0 	-690920.5 	-272946.7 	-243585.6 	126433.0 	99489.0 	1065440.0 	1447937.0 	1727161.0 	1940842.1 	2108383.9 	2080980.9 	2784640.2 	3550060.0 	2862883.6 
