na_item,co_nco,sector,finpos,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
F,CO,S121_S122_S123,LIAB,PC_GDP,CY	234.1 	261.9 	267.1 	283.4 	381.9 	309.7 	315.8 	290.8 	302.1 	325.0 	433.4 	522.3 	607.3 	664.1 	815.3 	735.0 	706.3 	624.0 	415.2 	399.0 	390.5 	367.2 	350.0 
F,CO,S121_S122_S123,LIAB,PC_GDP,CZ	88.4 	84.1 	91.3 	86.5 	90.9 	87.7 	89.3 	86.6 	89.5 	87.9 	94.9 	94.5 	102.4 	104.2 	106.9 	107.8 	110.4 	116.2 	122.1 	122.1 	121.5 	130.1 	: 
F,CO,S121_S122_S123,LIAB,PC_GDP,DE	185.0 	198.2 	215.2 	235.9 	252.1 	264.7 	277.0 	282.1 	286.3 	293.7 	305.6 	304.3 	313.9 	324.7 	304.9 	281.2 	275.2 	273.8 	242.6 	242.2 	232.4 	232.8 	226.8 
F,CO,S121_S122_S123,LIAB,PC_GDP,DK	175.9 	181.3 	193.9 	211.9 	211.6 	211.3 	211.4 	217.3 	228.9 	237.5 	262.5 	272.6 	295.6 	305.3 	321.8 	314.4 	305.1 	298.0 	295.3 	292.0 	280.0 	286.6 	282.7 
F,CO,S121_S122_S123,LIAB,PC_GDP,EE	46.3 	56.1 	77.2 	59.3 	69.0 	76.3 	79.1 	87.7 	96.1 	122.7 	133.9 	124.9 	136.0 	143.8 	153.1 	139.7 	127.2 	123.1 	121.1 	124.1 	128.4 	129.7 	123.0 
F,CO,S121_S122_S123,LIAB,PC_GDP,EL	105.4 	108.5 	109.6 	116.1 	144.7 	143.8 	136.9 	131.1 	130.2 	135.9 	155.8 	165.5 	189.7 	184.4 	204.5 	217.3 	217.0 	232.2 	212.5 	204.5 	194.6 	192.7 	172.0 
F,CO,S121_S122_S123,LIAB,PC_GDP,ES	133.6 	139.4 	145.8 	147.7 	160.1 	167.2 	165.9 	163.1 	173.0 	182.2 	210.4 	231.4 	251.7 	258.2 	279.3 	275.8 	281.7 	276.9 	261.5 	258.8 	243.7 	238.2 	233.9 
F,CO,S121_S122_S123,LIAB,PC_GDP,FI	107.4 	102.9 	103.7 	94.0 	94.9 	90.3 	102.9 	105.3 	120.3 	131.6 	142.5 	149.3 	156.8 	194.5 	217.8 	251.8 	318.5 	291.9 	250.6 	271.9 	253.9 	237.9 	182.1 
F,CO,S121_S122_S123,LIAB,PC_GDP,FR	158.8 	157.5 	167.1 	161.3 	177.5 	175.5 	180.7 	181.1 	187.1 	200.2 	227.7 	252.4 	268.8 	270.5 	276.4 	283.5 	287.2 	285.9 	283.0 	294.0 	294.1 	302.1 	299.1 
F,CO,S121_S122_S123,LIAB,PC_GDP,HR	: 	: 	: 	: 	: 	: 	96.6 	103.5 	111.1 	116.3 	118.5 	136.7 	146.2 	125.3 	140.1 	145.4 	147.3 	146.9 	149.9 	150.0 	147.4 	145.6 	143.7 
F,CO,S121_S122_S123,LIAB,PC_GDP,HU	126.4 	109.8 	100.8 	96.4 	97.0 	94.4 	87.8 	77.1 	84.7 	87.4 	95.4 	106.4 	112.0 	125.6 	133.5 	134.2 	133.0 	114.5 	106.2 	100.9 	97.8 	100.9 	99.3 
F,CO,S121_S122_S123,LIAB,PC_GDP,IE	: 	: 	: 	: 	: 	: 	437.3 	452.9 	498.3 	563.1 	658.5 	745.5 	792.9 	879.6 	909.9 	903.1 	752.5 	647.2 	562.8 	554.6 	399.7 	395.6 	364.8 
F,CO,S121_S122_S123,LIAB,PC_GDP,IT	110.8 	112.1 	119.5 	126.0 	131.6 	140.1 	128.1 	127.2 	136.0 	140.2 	152.9 	173.6 	170.8 	165.7 	178.8 	188.8 	189.0 	201.8 	194.9 	196.2 	197.0 	195.2 	193.6 
F,CO,S121_S122_S123,LIAB,PC_GDP,LT	34.6 	29.6 	31.5 	34.3 	35.4 	37.6 	41.1 	44.8 	51.4 	57.4 	75.0 	87.1 	95.7 	89.4 	107.8 	103.8 	91.6 	86.4 	79.8 	77.8 	85.2 	97.8 	97.9 
