unit,co_nco,sector,finpos,na_item,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_GDP,NCO,S12,LIAB,F2,DK	94.9 	100.0 	107.2 	111.7 	110.6 	111.4 	114.4 	121.3 	129.9 	131.8 	149.5 	155.6 	180.4 	196.5 	183.5 	173.2 	167.9 	167.5 	159.6 	152.4 	131.5 	131.1 	134.5 
PC_GDP,NCO,S12,LIAB,F2,EE	35.5 	36.5 	44.2 	40.8 	46.9 	52.3 	52.1 	54.3 	56.7 	64.9 	74.3 	82.2 	110.0 	122.4 	142.7 	123.0 	113.2 	112.3 	108.4 	118.3 	126.7 	126.7 	123.3 
PC_GDP,NCO,S12,LIAB,F2,EL	111.3 	111.2 	104.0 	102.3 	109.6 	117.1 	120.1 	122.7 	117.2 	114.4 	128.6 	134.4 	157.8 	192.7 	211.8 	253.7 	247.3 	218.3 	227.1 	217.4 	200.5 	192.7 	166.7 
PC_GDP,NCO,S12,LIAB,F2,ES	155.1 	153.0 	152.9 	151.1 	153.9 	154.8 	154.7 	154.9 	159.7 	162.5 	184.3 	194.3 	215.9 	240.0 	251.6 	250.1 	266.0 	286.8 	247.1 	235.2 	227.8 	227.1 	228.2 
PC_GDP,NCO,S12,LIAB,F2,FI	66.7 	63.3 	76.1 	69.6 	76.3 	73.8 	84.0 	83.4 	83.3 	85.1 	88.5 	90.9 	95.4 	110.2 	133.1 	158.6 	207.0 	210.6 	170.4 	168.2 	166.1 	174.9 	188.6 
PC_GDP,NCO,S12,LIAB,F2,FR	151.7 	156.4 	162.5 	161.9 	170.8 	162.7 	163.7 	169.1 	170.1 	178.1 	191.4 	199.8 	225.0 	240.5 	236.1 	229.8 	248.7 	245.2 	235.7 	242.3 	248.8 	255.1 	269.9 
PC_GDP,NCO,S12,LIAB,F2,HR	: 	: 	: 	: 	: 	: 	80.0 	87.9 	97.1 	100.9 	107.0 	113.1 	111.7 	107.3 	118.4 	122.0 	124.8 	123.3 	127.3 	125.7 	123.6 	119.1 	120.6 
PC_GDP,NCO,S12,LIAB,F2,HU	85.2 	80.3 	74.8 	70.8 	76.3 	73.7 	68.0 	62.4 	64.2 	64.9 	73.3 	77.8 	81.3 	94.8 	96.8 	97.2 	100.1 	88.2 	82.6 	99.7 	92.2 	88.6 	85.9 
PC_GDP,NCO,S12,LIAB,F2,IE	: 	: 	: 	: 	: 	: 	284.3 	288.2 	313.5 	347.8 	404.3 	461.9 	490.9 	645.5 	658.9 	645.5 	501.1 	391.7 	330.3 	267.3 	182.7 	176.5 	155.0 
PC_GDP,NCO,S12,LIAB,F2,IT	102.6 	99.6 	96.0 	89.8 	95.6 	96.5 	92.8 	97.4 	103.8 	106.7 	115.1 	126.0 	132.7 	140.1 	146.0 	150.6 	163.1 	175.3 	178.0 	175.4 	177.6 	190.0 	198.9 
PC_GDP,NCO,S12,LIAB,F2,LT	29.0 	23.8 	26.2 	28.7 	29.3 	31.0 	34.7 	37.6 	50.1 	54.4 	69.7 	80.1 	87.8 	83.3 	97.0 	93.2 	83.7 	78.5 	73.3 	78.9 	83.9 	96.1 	101.5 
PC_GDP,NCO,S12,LIAB,F2,LU	: 	: 	: 	: 	2353.1 	2299.2 	2456.1 	2165.3 	2150.2 	2134.2 	2285.3 	2177.4 	2175.9 	2280.9 	1933.1 	1725.3 	1782.9 	1610.6 	1495.1 	1424.8 	1470.5 	1538.0 	1459.0 
PC_GDP,NCO,S12,LIAB,F2,LV	29.9 	34.7 	46.7 	42.0 	48.3 	57.2 	68.3 	75.8 	82.5 	90.6 	93.2 	104.1 	100.5 	84.6 	97.4 	125.1 	103.7 	111.3 	117.3 	140.9 	152.1 	154.2 	149.3 
PC_GDP,NCO,S12,LIAB,F2,MT	170.1 e	187.9 e	208.0 e	255.4 e	286.8 e	285.8 e	273.0 e	305.1 e	325.1 e	350.1 	436.4 	411.7 	480.5 	561.0 	546.7 	631.0 	625.1 	615.1 	582.0 	595.4 	485.7 	461.2 	454.7 
