sectperf,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
PNP,PC_GDP,BG	0 	0 	0 	0 	0 	0.01 	0 	0 	0 	0 	0 	0 	0.01 	0 	0.01 	0.01 	0 
PNP,PC_GDP,CH	0.04 	: 	: 	: 	0.06 	: 	: 	: 	0.04 	: 	: 	: 	0.05 	: 	: 	0.05 	: 
PNP,PC_GDP,CY	0.02 	0.02 	0.03 	0.02 	0.02 	0.03 	0.03 	0.03 	0.04 	0.06 	0.06 	0.07 	0.06 	0.06 	0.08 	0.07 	0.07 p
PNP,PC_GDP,CZ	0.01 	0.01 	0 	0 	0 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0 p
PNP,PC_GDP,DE	: 	: 	: 	: d	: d	: d	: d	: d	: d	: d	: d	: d	: d	: d	: d	: d	: 
PNP,PC_GDP,DK	0.02 	0.02 	0.01 	0.02 	0.02 	0.02 	0.01 	0.01 b	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 p	0.01 e
PNP,PC_GDP,EA19	0.01 e	0.01 e	0.01 e	0.01 e	0.01 e	0.01 e	0.02 e	0.02 e	0.02 e	0.02 e	0.02 e	0.02 e	0.02 e	0.02 e	0.02 e	0.02 e	0.02 p
PNP,PC_GDP,EE	0.01 	0.01 	0.03 	0.02 	0.02 	0.02 	0.02 	0.03 	0.03 	0.03 	0.02 	0.02 	0.02 	0.02 	0.02 	0.03 	0.02 
PNP,PC_GDP,EL	: 	0 	: 	0.01 	0 e	0.01 	0.01 e	0.01 e	0.01 be	0.01 e	0.01 e	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 
PNP,PC_GDP,ES	0.01 	0.01 	0 b	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
PNP,PC_GDP,EU28	0.01 e	0.01 e	0.02 e	0.01 e	0.02 e	0.02 e	0.02 e	0.02 e	0.02 e	0.02 e	0.02 e	0.02 e	0.02 e	0.02 e	0.02 e	0.02 e	0.02 p
