sex,prof_pos,sectperf,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
T,TOTAL,HES,PC_ACT_FTE,EE	0.3461 	0.3519 	0.3983 	0.377 	0.4253 	0.3363 	0.3433 	0.3623 	0.3566 	0.4036 	0.3729 	0.4113 	0.4559 	0.4351 	0.4788 	0.4682 	0.4512 
T,TOTAL,HES,PC_ACT_FTE,EL	: 	0.3082 	: 	0.3159 	: 	0.3586 	0.3878 e	0.3917 e	: 	: 	: 	0.4248 b	0.4248 	0.4889 	0.504 	0.578 	0.4312 
T,TOTAL,HES,PC_ACT_FTE,ES	0.2763 	0.3044 	0.2876 	0.3072 	0.3125 	0.3191 	0.328 	0.3373 	0.3442 	0.3514 	0.3589 	0.3475 	0.3318 	0.3251 	0.3219 	0.3221 	0.3319 
T,TOTAL,HES,PC_ACT_FTE,EU28	: 	: 	0.2998 e	0.3034 e	0.31 e	0.3154 e	0.3213 e	0.33 e	0.3418 e	0.3515 e	0.3608 e	0.3631 e	0.3627 e	0.3666 e	0.3722 	0.3826 	0.3864 p
T,TOTAL,HES,PC_ACT_FTE,FI	0.601 	0.6026 	0.6516 	0.6778 	0.6924 	0.6721 	0.6627 	0.6247 	0.5983 	0.6237 	0.6805 	0.6009 b	0.6123 	0.5998 	0.6127 	0.5924 	0.5796 
T,TOTAL,HES,PC_ACT_FTE,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.3832 	0.4131 p	: 
T,TOTAL,HES,PC_ACT_FTE,HR	: 	: 	: 	0.2131 	0.2679 	0.2288 	0.2343 	0.2327 	0.2455 	0.2387 	0.2463 	0.2426 	0.2419 	0.2477 	0.2238 	0.2504 	0.2966 b
T,TOTAL,HES,PC_ACT_FTE,HU	0.2178 	0.2056 	0.2085 	0.1997 	0.2066 	0.196 	0.2019 	0.1859 	0.1926 	0.2025 	0.1979 	0.1971 	0.1906 	0.1896 	0.1799 	0.1719 	0.1646 
T,TOTAL,HES,PC_ACT_FTE,IE	0.1427 	0.1548 b	0.1667 	0.2059 	0.2411 	0.2486 	0.2554 	0.2616 e	0.3089 	0.2964 	0.2947 	0.2949 e	0.319 	0.2831 e	0.4488 	0.692 	0.7471 
T,TOTAL,HES,PC_ACT_FTE,IS	: 	: 	: 	0.4727 	: 	0.4696 	0.4988 	0.4469 	0.459 	0.6506 	: 	0.6181 b	: 	0.6921 b	0.6921 	0.5869 	0.7312 
T,TOTAL,HES,PC_ACT_FTE,IT	0.236 	0.2513 	0.2551 	0.2496 	0.2533 	0.2798 b	0.2816 	0.2961 	0.2975 	0.3094 	0.2987 	0.3037 	0.3069 	0.3102 	0.3005 	0.3075 e	0.309 p
T,TOTAL,HES,PC_ACT_FTE,KR	0.1636 d	0.1444 d	0.1548 d	0.1774 d	0.1754 d	0.1776 d	0.1841 d	0.2505 b	0.248 	0.2737 	0.297 	0.2927 	: 	: 	: 	: 	: 
T,TOTAL,HES,PC_ACT_FTE,LT	0.3803 	0.4101 	0.3566 	0.3619 	0.4154 	0.4339 	0.4851 	0.4943 	0.5127 	0.498 	0.5149 	0.4721 	0.452 	0.4493 	0.4332 	0.4001 	0.4114 
T,TOTAL,HES,PC_ACT_FTE,LU	0.0126 	0.0184 	: 	0.0176 e	0.0761 	0.0839 	0.094 	0.0992 e	0.1535 	0.2135 	0.2392 	0.2695 	0.2938 	0.345 	0.3835 	0.3859 	0.3809 p
T,TOTAL,HES,PC_ACT_FTE,LV	0.2691 	0.2853 	0.2733 	0.28 	0.3018 	0.2723 	0.3257 	0.3582 	0.3442 	0.3036 	0.3177 	0.3369 	0.3517 	0.3283 	0.3289 	0.3359 	0.3288 
T,TOTAL,HES,PC_ACT_FTE,MK	: 	: 	: 	: 	: 	: 	0.0717 	0.0714 	0.0616 	0.0552 	0.0744 	0.0649 	0.0939 	0.1023 	0.1334 	0.1493 	0.1431 
T,TOTAL,HES,PC_ACT_FTE,MT	: 	: 	0.1688 	0.1784 	0.1825 	0.1836 	0.1909 	0.1879 	0.1994 	0.1694 	0.1808 	0.1813 	0.2002 	0.2263 	0.2414 	0.2395 	0.2283 p
T,TOTAL,HES,PC_ACT_FTE,NL	0.3733 	0.3747 	0.3702 	0.3757 	0.3822 	0.3839 	0.3799 	0.3758 	0.3818 	0.3903 	0.4061 	0.3752 	0.3679 	0.3698 	0.383 	0.3854 	0.3884 p
