unit,nace_r2,s_adj,na_item,geo\time	1995Q1 	1995Q2 	1995Q3 	1995Q4 	1996Q1 	1996Q2 	1996Q3 	1996Q4 	1997Q1 	1997Q2 	1997Q3 	1997Q4 	1998Q1 	1998Q2 	1998Q3 	1998Q4 	1999Q1 	1999Q2 	1999Q3 	1999Q4 	2000Q1 	2000Q2 	2000Q3 	2000Q4 	2001Q1 	2001Q2 	2001Q3 	2001Q4 	2002Q1 	2002Q2 	2002Q3 	2002Q4 	2003Q1 	2003Q2 	2003Q3 	2003Q4 	2004Q1 	2004Q2 	2004Q3 	2004Q4 	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
THS_PER,TOTAL,NSA,SAL_DC,IT	15754.40 	15831.60 	16024.90 	15877.20 	15783.40 	15905.60 	16115.10 	15964.70 	15886.50 	15996.80 	16150.00 	15975.90 	16008.30 	16143.40 	16289.90 	16147.50 	16131.90 	16410.90 	16554.50 	16391.80 	16412.10 	16646.10 	16807.20 	16793.10 	16843.70 	16997.50 	17215.40 	17130.90 	17269.30 	17369.00 	17539.30 	17480.60 	17356.80 	17617.70 	17739.50 	17776.00 	17497.60 	17651.50 	17772.40 	17742.80 	17789.50 	17984.40 	18009.50 	18057.70 	18104.60 	18455.60 	18399.70 	18469.50 	18366.30 	18605.00 	18714.10 	18873.30 	18571.50 	18812.30 	18929.40 	18765.80 	18501.60 	18525.70 	18630.10 	18518.20 	18301.00 	18258.60 	18343.20 	18465.80 	18232.90 	18437.80 	18539.10 	18492.30 	18214.10 	18510.20 	18482.10 	18369.50 	18003.90 	18145.70 	18138.30 	18036.60 	17874.10 	18153.00 	18248.60 	18159.10 	17965.50 	18271.90 	18445.20 	18513.10 	18380.60 	18698.20 	18778.20 	18820.30 	18741.60 	19141.40 	19276.20 	19123.60 	18998.70 	19360.80 
THS_PER,TOTAL,NSA,SAL_DC,LT	1207.40 	1206.10 	1184.40 	1224.40 	1140.60 	1132.60 	1166.70 	1171.20 	1181.20 	1133.40 	1135.90 	1157.30 	1204.90 	1198.90 	1176.49 	1182.60 	1128.13 	1189.90 	1208.46 	1150.80 	1092.10 	1144.59 	1147.78 	1110.89 	1047.32 	1085.47 	1099.97 	1080.92 	1076.42 	1117.76 	1135.76 	1120.68 	1091.22 	1158.29 	1162.59 	1119.36 	1120.11 	1151.53 	1154.10 	1161.88 	1152.83 	1166.63 	1190.97 	1187.85 	1155.63 	1158.88 	1185.01 	1194.48 	1201.58 	1232.14 	1243.62 	1257.31 	1258.67 	1265.46 	1269.61 	1244.80 	1174.87 	1157.62 	1164.58 	1137.84 	1087.06 	1093.68 	1122.59 	1140.99 	1100.36 	1127.98 	1126.86 	1124.61 	1115.50 	1137.01 	1153.03 	1130.01 	1119.35 	1138.64 	1157.80 	1143.01 	1131.13 	1145.31 	1190.12 	1166.18 	1158.79 	1167.55 	1185.04 	1172.64 	1177.32 	1198.70 	1200.40 	1196.77 	1183.19 	1193.01 	1195.28 	1195.33 	1182.81 	1204.52 
THS_PER,TOTAL,NSA,SAL_DC,LU	194.34 	197.09 	200.74 	202.13 	202.10 	204.10 	204.23 	204.80 	205.01 	209.81 	213.32 	216.32 	214.86 	220.35 	223.01 	226.12 	225.86 	231.17 	234.35 	238.33 	239.22 	244.16 	247.14 	252.31 	255.05 	259.24 	261.54 	264.38 	265.98 	267.84 	268.13 	270.20 	270.71 	272.92 	273.25 	275.24 	275.65 	279.37 	280.25 	282.34 	283.21 	286.63 	288.13 	290.94 	293.93 	298.45 	300.20 	303.71 	306.29 	311.45 	314.37 	318.93 	322.77 	327.39 	330.00 	332.09 	330.69 	331.45 	330.74 	332.64 	333.48 	337.34 	338.18 	340.63 	342.32 	347.77 	348.72 	350.85 	352.33 	356.38 	356.28 	358.82 	358.56 	362.63 	362.66 	365.60 	367.45 	371.64 	371.83 	375.04 	376.19 	381.08 	381.40 	385.35 	387.23 	392.28 	392.85 	397.92 	400.52 	406.25 	406.39 	412.69 	415.84 	422.21 
THS_PER,TOTAL,NSA,SAL_DC,LV	778.30 e	789.20 e	792.30 e	795.60 e	782.60 e	793.60 e	796.70 e	800.00 e	817.40 e	828.90 e	832.10 e	835.70 e	814.40 e	825.90 e	829.00 e	832.60 e	799.80 e	811.10 e	814.20 e	817.60 e	793.10 	782.80 	780.40 	777.00 	789.00 	797.20 	797.70 	797.40 	773.40 	816.30 	827.40 	848.00 	827.80 	819.40 	845.40 	831.80 	835.30 	824.10 	840.60 	837.20 	824.70 	853.40 	869.00 	871.90 	883.80 	880.70 	929.70 	913.30 	938.60 	955.10 	946.40 	937.50 	947.20 	963.30 	945.00 	922.70 	851.40 	816.30 	776.70 	745.70 	725.80 	736.70 	759.50 	755.20 	739.10 	763.40 	762.30 	763.10 	743.90 	764.60 	779.00 	781.40 	774.20 	786.10 	795.40 	776.60 	772.90 	777.80 	771.10 	770.50 	775.90 	781.10 	776.50 	768.40 	769.70 	776.90 	775.20 	760.10 	759.00 	772.60 	785.00 	773.50 	788.40 	791.80 
THS_PER,TOTAL,NSA,SAL_DC,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	126.90 	127.84 	130.52 	131.06 	132.35 	132.47 	132.74 	131.48 	130.53 	133.72 	134.72 	129.85 	131.26 	132.14 	131.44 	129.79 	129.88 	131.50 	132.21 	132.21 	131.71 	131.99 	134.58 	133.32 	133.43 	135.02 	135.88 	135.76 	135.83 	137.72 	139.37 	138.28 	138.57 	141.81 	143.32 	141.16 	139.82 	141.22 	141.05 	140.32 	142.29 	142.68 	144.14 	144.43 	146.55 	147.37 	149.71 	148.66 	149.69 	149.69 	152.70 	152.13 	155.07 	156.72 	159.70 	158.59 	163.00 	165.54 	168.55 	167.68 	169.69 	171.57 	175.57 	174.59 	174.15 	179.59 	182.72 	183.42 	185.34 	188.14 	192.00 	192.68 	195.79 	198.54 
THS_PER,TOTAL,NSA,SAL_DC,NL	5816.00 	5947.00 	6034.00 	6014.00 	5952.00 	6100.00 	6184.00 	6146.00 	6132.00 	6295.00 	6405.00 	6368.00 	6352.00 	6526.00 	6619.00 	6574.00 	6602.00 	6775.00 	6858.00 	6810.00 	6775.00 	6955.00 	7042.00 	6991.00 	6979.00 	7136.00 	7207.00 	7131.00 	7079.00 	7201.00 	7241.00 	7151.00 	7080.00 	7180.00 	7192.00 	7087.00 	6948.00 	7051.00 	7092.00 	7002.00 	6977.00 	7086.00 	7120.00 	7045.00 	7064.00 	7178.00 	7250.00 	7270.00 	7244.00 	7399.00 	7478.00 	7465.00 	7460.00 	7554.00 	7579.00 	7529.00 	7464.00 	7488.00 	7464.00 	7419.00 	7300.00 	7409.00 	7446.00 	7430.00 	7370.00 	7474.00 	7488.00 	7444.00 	7361.00 	7436.00 	7426.00 	7376.00 	7256.00 	7316.00 	7301.00 	7269.00 	7161.00 	7261.00 	7280.00 	7276.00 	7206.00 	7323.00 	7356.00 	7374.00 	7282.00 p	7423.00 p	7470.00 p	7501.00 p	7446.00 p	7595.00 p	7659.00 p	7711.00 p	7667.00 p	7811.00 p
THS_PER,TOTAL,NSA,SAL_DC,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10486.20 	10535.00 	10590.00 	10528.00 	10288.60 	10252.40 	10205.70 	10079.70 	9853.60 	9894.80 	9855.80 	9913.80 	9772.80 	9964.80 	9893.80 	9931.80 	9962.50 	10016.50 	10059.50 	10269.50 	10253.00 	10345.00 	10494.10 	10642.80 	10528.90 	10790.90 	11172.90 	11296.90 	11244.90 	11473.90 	11720.90 	11929.90 	11951.00 	11964.20 	12282.40 	12408.00 	12076.10 	12143.90 	12332.90 	12319.50 	11653.50 b	11872.90 	12038.60 	11940.60 	11776.60 	11978.70 	12032.00 	12027.90 	11882.90 	12043.70 	12169.10 	12124.30 	11886.20 	12036.90 	12218.50 	12260.40 	12154.20 	12342.10 	12520.10 	12471.20 	12413.60 	12513.00 	12639.80 	12734.00 	12586.80 p	12717.80 p	12809.00 p	12839.00 p	12843.70 p	13055.70 p	13004.70 p	12958.70 p	13023.40 p	13100.30 p
THS_PER,TOTAL,NSA,SAL_DC,PT	3576.79 	3604.30 	3597.03 	3591.13 	3580.35 	3627.16 	3678.44 	3661.11 	3672.24 	3710.93 	3763.12 	3795.14 	3798.39 	3853.06 	3868.89 	3904.66 	3926.84 	3941.01 	3946.76 	3952.85 	3996.87 	4020.92 	4044.41 	4052.24 	4078.68 	4066.50 	4101.90 	4115.97 	4126.78 	4132.42 	4151.83 	4120.51 	4090.82 	4085.08 	4095.42 	4081.54 	4075.95 	4124.24 	4100.06 	4108.48 	4082.86 	4109.14 	4112.51 	4108.74 	4124.39 	4138.22 	4165.16 	4138.67 	4146.06 	4164.64 	4184.92 	4170.67 	4180.50 	4217.21 	4178.44 	4187.08 	4124.25 	4104.83 	4074.40 	4063.21 	4077.55 	4094.71 	4056.15 	4036.36 	4016.85 	4034.13 	3993.31 	3896.89 	3839.16 	3829.97 	3801.95 	3710.22 	3672.66 	3709.32 	3719.89 	3742.39 	3724.82 	3771.45 	3832.59 	3818.94 	3809.53 	3882.98 	3904.74 	3907.98 	3899.23 	3959.41 	3999.62 	4013.60 	4032.08 	4097.11 	4152.15 	4166.86 	4172.18 	4217.92 
THS_PER,TOTAL,NSA,SAL_DC,RO	6608.58 	6756.78 	6850.78 	6792.68 	6572.93 	6720.73 	6814.03 	6756.33 	6730.35 	6731.05 	6681.65 	6615.75 	6244.73 	6269.93 	6226.83 	6168.13 	5989.33 	6024.73 	5968.83 	5901.13 	5875.68 	5832.68 	5928.68 	5890.18 	5731.20 	5733.50 	5861.30 	5819.20 	6093.75 	6139.75 	6169.85 	6147.05 	5828.65 	5865.75 	5967.65 	5938.35 	6184.40 	6493.60 	6561.40 	6390.60 	6133.41 	6282.93 	6115.52 	6116.52 	6226.44 	6540.51 	6592.11 	6287.34 	6406.52 	6443.22 	6456.32 	6439.92 	6505.91 	6517.65 	6532.51 	6495.65 	6381.82 	6260.71 	6226.65 	6097.45 	5995.40 	6037.50 	6047.00 	6026.50 	6143.58 	6171.98 	6154.98 	6083.88 	5838.83 b	5975.83 	5978.53 	5833.63 	5757.40 	5957.30 	5977.70 	5897.30 	5901.60 	6000.10 	6092.30 	5972.10 	6032.80 	6195.20 	6219.90 	6221.70 	6192.00 	6231.40 	6331.70 	6389.30 	6392.80 p	6492.60 p	6543.80 p	6545.80 p	6507.60 p	6629.00 p
THS_PER,TOTAL,NSA,SAL_DC,SE	3785.60 	3837.80 	3926.80 	3841.00 	3793.50 	3810.50 	3886.90 	3785.30 	3720.10 	3748.30 	3850.40 	3753.30 	3761.70 	3808.50 	3928.70 	3846.60 	3855.40 	3899.60 	3994.40 	3920.10 	3941.90 	4010.60 	4098.20 	4041.70 	4085.70 	4105.80 	4200.60 	4102.50 	4106.60 	4118.70 	4207.50 	4103.80 	4095.30 	4126.40 	4205.10 	4084.00 	4054.00 	4077.80 	4175.60 	4057.30 	4053.70 	4082.60 	4186.20 	4090.00 	4093.50 	4138.00 	4275.90 	4175.00 	4207.30 	4237.30 	4366.10 	4261.70 	4293.20 	4312.90 	4415.60 	4260.70 	4216.60 	4192.10 	4271.20 	4149.00 	4178.00 	4206.30 	4347.20 	4245.70 	4303.00 	4319.70 	4449.20 	4331.00 	4359.30 	4363.10 	4485.10 	4352.10 	4392.40 	4397.50 	4535.00 	4413.00 	4448.70 	4465.50 	4625.50 	4485.00 	4535.20 	4520.70 	4686.40 	4586.30 	4639.70 	4658.60 	4771.10 	4680.80 	4761.20 	4764.50 	4902.90 	4792.30 	4868.90 	4855.60 
THS_PER,TOTAL,NSA,SAL_DC,SI	746.16 	748.71 	747.91 	739.83 	734.68 	737.46 	738.89 	730.03 	710.96 	713.99 	728.11 	719.94 	712.75 	715.96 	727.54 	719.53 	717.85 	726.59 	742.17 	734.56 	732.56 	742.78 	762.93 	751.84 	744.73 	752.58 	770.76 	755.54 	754.98 	762.02 	781.79 	766.82 	756.47 	763.89 	783.00 	766.47 	757.03 	766.36 	789.69 	773.81 	757.66 	766.69 	783.77 	771.92 	765.98 	776.69 	797.99 	789.54 	788.69 	803.52 	830.04 	820.66 	815.23 	828.14 	850.59 	837.57 	817.10 	810.09 	816.92 	798.46 	785.15 	788.53 	800.57 	780.38 	765.35 	770.63 	784.46 	770.33 	762.55 	765.14 	764.91 	757.46 	737.00 	740.52 	745.49 	744.39 	735.29 	744.05 	751.34 	753.57 	745.23 	753.61 	761.31 	764.49 	756.05 	769.75 	779.22 	785.39 	780.21 	794.29 	805.04 	812.04 	809.94 	822.11 
THS_PER,TOTAL,NSA,SAL_DC,SK	1899.28 	1932.49 	1984.70 	1947.01 	1930.27 	1981.68 	2018.69 	1989.04 	1928.28 	1947.74 	1962.69 	1959.97 	1932.51 	1928.19 	1918.48 	1927.96 	1905.70 	1881.49 	1848.80 	1819.31 	1788.05 	1806.47 	1834.47 	1861.51 	1812.81 	1838.86 	1841.49 	1818.20 	1796.02 	1830.29 	1843.94 	1813.71 	1811.51 	1833.97 	1838.90 	1815.70 	1771.41 	1780.15 	1797.14 	1783.36 	1777.47 	1794.17 	1813.64 	1824.84 	1810.94 	1824.43 	1847.51 	1854.91 	1842.68 	1851.33 	1873.02 	1880.54 	1882.56 	1892.46 	1919.52 	1904.20 	1852.61 	1851.16 	1833.40 	1813.16 	1787.51 	1801.72 	1818.30 	1827.26 	1843.35 	1857.38 	1861.99 	1854.04 	1865.53 	1870.83 	1868.15 	1852.17 	1850.21 	1848.47 	1861.80 	1857.96 	1868.96 	1891.07 	1906.33 	1915.74 	1914.79 	1939.62 	1956.15 	1960.74 	1966.80 	1993.51 	2012.13 	2018.76 	2014.35 	2043.60 	2068.15 	2072.92 	2069.80 	2095.33 
THS_PER,TOTAL,NSA,SAL_DC,UK	21824.07 	22024.71 	22321.77 	22361.79 	22221.71 	22341.43 	22555.30 	22600.81 	22658.20 	22879.25 	23133.95 	23152.80 	23052.32 	23194.00 	23561.61 	23585.28 	23510.06 	23613.82 	23941.32 	23986.62 	23858.36 	24048.04 	24298.50 	24271.00 	24134.28 	24284.01 	24409.52 	24438.23 	24282.37 	24456.38 	24582.18 	24711.71 	24499.09 	24540.50 	24592.12 	24601.32 	24657.29 	24658.01 	24938.53 	24992.24 	24994.41 	25037.61 	25271.49 	25146.82 	25150.81 	25250.39 	25410.35 	25366.56 	25176.37 	25365.27 	25596.34 	25681.92 	25598.89 	25695.36 	25777.00 	25654.50 	25334.90 	25092.91 	25208.56 	25152.21 	24869.80 	25099.33 	25328.33 	25275.81 	25261.32 	25289.81 	25142.48 	25170.35 	25076.45 	25274.23 	25500.15 	25602.26 	25456.44 	25561.98 	25831.39 	25830.92 	25737.31 	25912.06 	26262.96 	26403.64 	26426.22 	26415.40 	26742.05 	26833.03 	26670.39 	26744.62 	26957.64 	26979.10 	26959.21 	27072.19 	27231.37 	27321.35 	27428.47 	27428.84 
THS_PER,TOTAL,NSA,SELF_DC,AT	487.34 	494.85 	493.63 	503.10 	515.38 	515.57 	508.12 	511.17 	510.77 	512.29 	508.84 	511.24 	515.03 	517.67 	512.76 	509.56 	521.16 	517.11 	509.95 	509.88 	514.66 	509.57 	504.30 	516.66 	523.36 	519.26 	509.09 	516.06 	523.94 	518.82 	520.01 	518.47 	524.14 	524.44 	529.56 	532.70 	530.61 	536.94 	540.88 	538.45 	531.46 	538.99 	553.29 	554.27 	555.14 	557.59 	560.19 	550.78 	544.77 	564.00 	571.76 	557.54 	557.03 	577.30 	575.73 	569.05 	566.09 	574.59 	575.39 	573.72 	567.35 	576.33 	571.85 	575.45 	569.44 	576.18 	572.13 	570.21 	567.72 	567.67 	562.25 	557.66 	547.65 	558.06 	562.56 	562.64 	563.47 	569.75 	568.63 	559.86 	549.57 	557.25 	554.32 	545.81 	536.83 	548.68 	559.03 	558.03 	554.73 	552.70 	553.97 	554.93 	542.88 	551.02 
THS_PER,TOTAL,NSA,SELF_DC,BE	696.10 	697.50 	699.00 	700.40 	702.00 	703.60 	705.20 	706.90 	707.20 	706.20 	705.20 	704.20 	704.00 	704.60 	705.30 	705.90 	705.90 	705.30 	704.70 	704.10 	703.30 	702.30 	701.30 	700.40 	698.90 	696.80 	694.80 	692.70 	691.00 	689.70 	688.40 	687.00 	686.90 	688.10 	689.40 	690.70 	691.50 	691.60 	691.70 	691.90 	692.80 	694.20 	695.10 	696.20 	697.40 	698.50 	699.50 	700.70 	702.20 	704.30 	706.80 	709.40 	712.00 	714.50 	716.80 	719.30 	720.90 	721.40 	721.90 	722.30 	723.60 	725.80 	728.00 	730.20 	732.30 	734.10 	735.70 	737.60 	739.60 	741.60 	743.70 	745.80 	747.00 	747.80 	749.20 	750.40 	751.90 	753.80 	755.70 	757.60 	760.10 	763.30 	766.70 	770.20 	773.40 	776.60 	779.90 	783.20 	785.50 	788.10 	790.50 	793.50 	796.90 	800.40 
THS_PER,TOTAL,NSA,SELF_DC,BG	698.89 	848.04 	927.38 	727.58 	753.59 	926.75 	1015.91 	801.67 	782.51 	973.35 	1054.80 	821.27 	801.70 	1019.70 	1091.20 	858.10 	822.90 	1033.60 	1021.40 	808.20 	808.64 	1061.47 	1026.70 	758.55 	883.30 	1030.44 	1028.54 	827.10 	861.33 	1045.92 	1031.70 	827.06 	826.94 	1068.98 	1067.36 	846.34 	842.74 	1101.42 	1087.42 	854.40 	857.13 	1087.35 	1082.42 	862.37 	871.76 	1094.47 	1083.74 	873.70 	881.07 	1101.00 	1084.90 	878.23 	905.26 	1124.18 	1115.23 	887.88 	908.19 	1119.04 	1109.82 	869.67 	879.64 	1082.12 	1107.47 	836.20 	858.21 	1032.35 	1050.76 	808.69 	833.17 p	955.56 p	1003.01 p	794.12 p	834.23 p	991.78 p	1021.96 p	794.12 p	859.55 p	997.89 p	1047.46 p	806.85 p	864.97 p	992.07 p	1018.50 p	785.87 p	857.39 p	993.55 p	943.11 p	755.00 p	872.23 p	1029.14 p	1036.24 p	826.22 p	879.80 p	997.79 p
THS_PER,TOTAL,NSA,SELF_DC,CY	70.74 	72.53 	73.87 	71.06 	69.96 	71.66 	73.40 	70.66 	68.82 	71.00 	72.37 	69.90 	69.11 	71.15 	72.56 	70.08 	69.72 	72.22 	73.83 	71.21 	73.55 	73.04 	72.49 	73.04 	73.54 	73.27 	72.80 	73.49 	73.43 	72.79 	72.22 	72.81 	78.24 	77.48 	76.87 	77.51 	80.57 	79.69 	79.01 	79.74 	80.00 	80.78 	79.40 	78.05 	74.84 	74.31 	75.33 	73.47 	67.66 	66.33 	66.64 	66.92 	59.17 	59.77 	60.64 	60.78 	59.45 	58.52 	56.98 	56.03 	50.93 	51.45 	51.47 	50.65 	48.12 	48.02 	47.34 	46.98 	46.81 	46.73 	45.17 	43.83 	44.05 	43.30 	43.07 	44.59 	44.61 	44.49 	42.37 	44.36 	44.41 	44.50 	43.34 	45.20 	45.77 	46.05 	44.71 	46.69 	47.28 p	47.61 p	46.49 p	48.45 p	48.85 p	49.06 p
THS_PER,TOTAL,NSA,SELF_DC,CZ	579.64 	597.91 	615.35 	614.27 	603.58 	605.82 	620.55 	618.35 	606.67 	606.95 	622.82 	630.17 	640.78 	658.18 	688.54 	698.08 	688.96 	691.78 	697.34 	702.90 	683.46 	696.43 	718.10 	719.72 	704.92 	704.69 	712.59 	698.08 	714.25 	742.16 	771.04 	786.83 	790.37 	806.71 	803.63 	811.40 	782.80 	775.98 	778.69 	766.56 	738.43 	746.40 	744.65 	739.88 	734.79 	752.75 	766.00 	766.02 	750.60 	759.75 	774.42 	768.59 	747.01 	755.46 	766.04 	767.84 	762.66 	768.61 	784.60 	780.06 	781.09 	801.30 	816.66 	824.32 	791.60 	808.98 	821.80 	830.77 	801.76 	813.83 	806.25 	815.28 	767.25 	779.33 	796.72 	796.99 	769.56 	775.68 	772.99 	782.15 	756.69 	771.13 	763.75 	762.59 	734.03 	764.59 	769.30 	791.35 	758.82 	767.14 	770.34 	763.44 	757.31 	767.87 
THS_PER,TOTAL,NSA,SELF_DC,DE	3793.00 	3805.00 	3801.00 	3786.00 	3844.00 	3862.00 	3862.00 	3846.00 	3903.00 	3920.00 	3921.00 	3903.00 	3957.00 	3971.00 	3967.00 	3943.00 	3991.00 	3999.00 	3990.00 	3960.00 	4004.00 	4009.00 	3998.00 	3969.00 	4013.00 	4023.00 	4017.00 	3995.00 	4054.00 	4071.00 	4068.00 	4047.00 	4101.00 	4122.00 	4133.00 	4130.00 	4209.00 	4251.00 	4280.00 	4289.00 	4375.00 	4415.00 	4432.00 	4416.00 	4473.00 	4490.00 	4494.00 	4474.00 	4525.00 	4547.00 	4539.00 	4497.00 	4528.00 	4520.00 	4502.00 	4461.00 	4498.00 	4498.00 	4493.00 	4453.00 	4473.00 	4490.00 	4493.00 	4493.00 	4554.00 	4585.00 	4565.00 	4547.00 	4569.00 	4578.00 	4581.00 	4514.00 	4474.00 	4489.00 	4476.00 	4423.00 	4425.00 	4431.00 	4426.00 	4367.00 	4364.00 	4371.00 	4378.00 	4327.00 	4339.00 	4351.00 	4352.00 	4294.00 	4302.00 	4318.00 	4312.00 	4243.00 	4236.00 	4242.00 
THS_PER,TOTAL,NSA,SELF_DC,DK	228.00 	226.00 	219.00 	215.00 	217.00 	220.00 	220.00 	221.00 	218.00 	217.00 	213.00 	211.00 	211.00 	211.00 	212.00 	211.00 	210.00 	210.00 	210.00 	210.00 	209.00 	207.00 	205.00 	201.00 	200.00 	201.00 	203.00 	207.00 	215.00 	208.00 	204.00 	204.00 	217.00 	208.00 	200.00 	195.00 	197.00 	196.00 	195.00 	194.00 	194.00 	195.00 	195.00 	194.00 	194.00 	195.00 	196.00 	195.00 	195.00 	195.00 	196.00 	196.00 	191.00 	193.00 	197.00 	197.00 	187.00 	188.00 	190.00 	190.00 	182.00 	182.00 	186.00 	186.00 	180.00 	182.00 	186.00 	186.00 	179.00 	181.00 	183.00 	183.00 	177.00 	179.00 	181.00 	182.00 	176.00 	178.00 	182.00 	184.00 	180.00 	183.00 	187.00 	186.00 	181.00 	181.00 	183.00 	183.00 	176.00 	178.00 	180.00 	181.00 	173.00 	174.00 
THS_PER,TOTAL,NSA,SELF_DC,EE	42.70 	43.10 	43.70 	45.10 	45.20 	46.40 	47.10 	46.70 	46.80 	47.70 	49.20 	50.70 	52.60 	53.60 	50.90 	51.00 	50.90 	51.40 	48.20 	49.00 	52.00 	47.40 	50.40 	53.50 	49.70 	41.90 	46.80 	51.60 	50.80 	39.70 	41.70 	52.40 	55.10 	49.70 	48.50 	57.80 	61.60 	58.60 	56.20 	55.10 	51.20 	47.60 	46.20 	47.90 	55.30 	55.10 	49.40 	51.20 	59.90 	64.60 	57.90 	57.20 	54.40 	48.00 	51.20 	51.20 	47.60 	45.80 	50.10 	51.10 	44.80 	42.20 	49.00 	52.40 	54.90 	52.40 	51.60 	46.70 	48.00 	54.00 	56.40 	57.40 	57.00 	56.60 	53.10 	58.90 	57.70 	54.10 	55.40 	57.10 	65.10 	58.80 	55.80 	53.50 	53.70 	64.00 	63.10 	57.10 	62.60 	69.40 	69.60 	62.20 	69.30 	75.20 
THS_PER,TOTAL,NSA,SELF_DC,EL	1703.62 	1681.91 	1684.25 	1649.68 	1687.57 	1666.22 	1669.12 	1634.44 	1666.29 	1646.11 	1648.91 	1614.42 	1729.96 	1709.95 	1712.47 	1676.27 	1695.74 	1641.18 	1643.96 	1634.58 	1653.27 	1637.29 	1625.26 	1599.77 	1629.07 	1606.52 	1566.34 	1549.48 	1566.53 	1580.97 	1595.25 	1583.70 	1585.64 	1577.13 	1578.24 	1577.22 	1567.28 	1581.25 	1592.35 	1619.96 	1677.32 	1702.80 	1700.06 	1680.62 	1673.75 	1657.34 	1661.36 	1653.46 	1654.25 	1659.61 	1639.25 	1622.54 	1635.61 	1636.41 	1649.44 	1644.68 	1644.52 	1639.64 	1641.75 	1626.88 	1597.19 	1546.40 	1548.54 	1529.78 	1511.54 p	1480.11 p	1434.37 p	1422.25 p	1427.06 p	1395.99 p	1374.57 p	1360.30 p	1360.49 p	1348.49 p	1351.15 p	1320.65 p	1360.84 p	1333.20 p	1355.30 p	1357.84 p	1354.40 p	1365.40 p	1361.02 p	1338.52 p	1329.56 p	1357.53 p	1368.25 p	1344.67 p	1360.74 p	1379.83 p	1389.09 p	1377.73 p	1375.41 p	1380.71 p
THS_PER,TOTAL,NSA,SELF_DC,ES	2747.10 	2824.00 	2792.20 	2783.40 	2764.90 	2793.70 	2796.40 	2801.40 	2664.40 	2732.40 	2701.10 	2721.00 	2686.20 	2768.90 	2781.80 	2801.80 	2709.40 	2812.00 	2801.20 	2798.10 	2769.00 	2852.60 	2854.50 	2864.80 	2802.70 	2895.50 	2849.00 	2875.00 	2814.90 	2904.80 	2852.20 	2840.10 	2759.20 	2842.20 	2863.50 	2854.40 	2802.90 	2888.60 	2907.60 	2919.70 	2888.40 	2899.80 	2920.90 	2924.50 	2895.10 	2938.00 	2916.10 	2881.20 	2900.00 	2908.80 	2944.80 	2882.90 	2892.40 	2866.80 	2905.60 	2827.00 	2715.80 	2678.90 	2696.60 	2585.40 	2607.30 	2592.90 	2596.40 	2567.70 	2539.00 	2527.70 	2515.00 	2474.40 	2510.39 	2506.61 	2569.47 	2503.29 	2520.60 	2541.90 	2547.24 	2475.42 	2501.18 	2511.25 	2546.44 	2488.58 	2514.24 	2532.43 	2533.86 	2499.00 	2529.33 p	2541.75 p	2549.00 p	2509.78 p	2548.73 p	2552.61 p	2553.95 p	2477.02 p	2533.82 p	2503.11 p
THS_PER,TOTAL,NSA,SELF_DC,FI	267.00 	285.80 	290.80 	280.40 	271.70 	285.00 	293.30 	280.40 	273.00 	294.80 	295.20 	287.00 	262.60 	272.20 	281.30 	273.90 	273.30 	279.90 	284.00 	278.80 	273.80 	281.10 	288.00 	277.50 	272.10 	276.60 	276.00 	268.50 	269.90 	273.40 	268.70 	266.80 	262.70 	267.50 	267.70 	272.10 	263.60 	264.80 	278.70 	266.50 	265.90 	269.70 	276.30 	269.70 	274.80 	284.60 	285.60 	274.60 	277.70 	291.90 	292.60 	276.60 	282.60 	294.10 	290.80 	297.70 	298.10 	301.10 	295.90 	300.90 	294.10 	294.20 	300.10 	292.00 	298.10 	302.00 	302.40 	303.50 	306.50 	308.50 	311.10 	298.70 	293.00 	301.20 	303.90 	295.90 	297.00 	301.00 	306.70 	304.10 	306.70 	309.50 	307.80 	302.40 	303.80 	309.60 	311.30 	297.30 	291.60 	298.40 	298.60 	283.40 	291.10 	303.70 
