sitc06,partner,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TOTAL,OLIC,MIO_EUR,LU	52 	51 	46 	59 	67 	62 	28 	26 	2 	5 	6 	0 	0 	0 	0 	1 	0 	0 
TOTAL,OLIC,MIO_EUR,LV	16 	14 	17 	23 	26 	40 	43 	46 	21 	13 	18 	0 	0 	0 	0 	0 	0 	0 
TOTAL,OLIC,MIO_EUR,MT	23 	23 	22 	25 	20 	28 	29 	27 	5 	5 	5 	0 	0 	0 	0 	0 	1 	0 
TOTAL,OLIC,MIO_EUR,NL	4695 	5173 	5043 	5784 	5382 	6654 	5449 	5870 	4450 	4262 	5753 	565 	501 	588 	521 	529 	531 	584 
TOTAL,OLIC,MIO_EUR,PL	667 	716 	831 	796 	674 	760 	1131 	1339 	389 	309 	414 	25 	23 	31 	34 	45 	45 	33 
TOTAL,OLIC,MIO_EUR,PT	1374 	1322 	1048 	1096 	1234 	1469 	1273 	1597 	1937 	1434 	1591 	51 	50 	24 	38 	8 	10 	16 
TOTAL,OLIC,MIO_EUR,RO	161 	224 	267 	242 	404 	433 	475 	564 	93 	96 	126 	13 	59 	9 	29 	19 	20 	5 
TOTAL,OLIC,MIO_EUR,SE	622 	668 	605 	595 	636 	754 	645 	759 	452 	400 	404 	42 	54 	35 	31 	33 	30 	33 
TOTAL,OLIC,MIO_EUR,SI	86 	105 	107 	128 	107 	118 	113 	123 	28 	18 	25 	2 	2 	2 	1 	2 	4 	2 
TOTAL,OLIC,MIO_EUR,SK	94 	116 	164 	185 	170 	142 	90 	163 	114 	119 	136 	0 	2 	0 	0 	0 	0 	0 
TOTAL,OLIC,MIO_EUR,UK	7555 	7826 	7728 	7588 	8355 	8699 	7831 	8807 	4297 	3509 	4093 	495 	417 	396 	354 	417 	429 	454 
