sex,incgrp,age,unit,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
T,TOTAL,TOTAL,PC,LU	8.2 	9.0 	9.6 	7.7 	7.7 	8.0 	6.4 	7.8 	6.8 	7.0 	6.2 	6.7 	6.8 	8.1 b	8.3 
T,TOTAL,TOTAL,PC,LV	: 	: 	60.3 	59.9 	60.0 	57.4 	56.3 	55.7 	43.7 	36.6 	37.7 	39.8 	41.4 	43.2 	41.9 
T,TOTAL,TOTAL,PC,MK	: 	: 	: 	: 	: 	: 	: 	: 	55.2 	52.4 	50.5 	46.2 b	51.1 	50.1 	: 
T,TOTAL,TOTAL,PC,MT	: 	: 	3.8 	3.5 	4.2 	3.9 	3.8 	4.0 	4.4 	4.0 	3.6 	4.0 	3.5 	2.9 	2.6 
T,TOTAL,TOTAL,PC,NL	: 	: 	1.9 	1.8 	1.9 	1.7 	1.7 	2.0 	1.7 	2.5 	2.6 	3.5 	3.3 	4.0 b	4.1 
T,TOTAL,TOTAL,PC,NO	5.4 	6.2 	5.8 	5.3 	5.3 	5.2 	5.0 	5.3 	5.1 	5.6 	6.0 	4.6 	5.2 	5.1 	4.9 
T,TOTAL,TOTAL,PC,PL	: 	: 	54.1 	54.1 	52.3 	50.8 	49.1 	47.5 	47.2 	46.3 	44.8 	44.2 	43.4 	40.7 	40.5 
T,TOTAL,TOTAL,PC,PT	: 	15.3 	16.5 	15.8 	16.1 	15.7 	14.1 	14.6 	11.0 	10.1 	11.4 	10.3 	10.3 	10.3 	9.3 
T,TOTAL,TOTAL,PC,RO	: 	: 	: 	: 	55.9 	54.8 	53.4 	52.0 	51.4 	51.6 	50.6 	49.4 	49.7 	48.4 	47.0 
T,TOTAL,TOTAL,PC,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	54.3 	50.4 	53.4 	55.5 	: 
T,TOTAL,TOTAL,PC,SE	: 	11.8 	10.7 	10.7 	10.0 	11.0 b	12.1 	13.1 	13.5 	12.9 	13.0 	12.7 	13.9 	14.4 	13.5 
T,TOTAL,TOTAL,PC,SI	: 	: 	42.0 	40.3 	39.9 	39.5 	38.0 	34.9 	17.1 b	16.6 	15.6 	14.8 	13.7 	12.6 	12.8 
T,TOTAL,TOTAL,PC,SK	: 	: 	46.6 	45.9 	43.3 	42.9 	39.7 	40.1 	39.5 	38.4 	39.8 	38.6 	37.8 	37.9 	36.4 
T,TOTAL,TOTAL,PC,TR	: 	: 	: 	51.5 	51.6 	50.6 	48.8 	47.4 	47.1 	46.0 	45.9 	46.9 	46.0 	: 	: 
T,TOTAL,TOTAL,PC,UK	: 	: 	5.7 	6.3 	6.2 	6.5 	7.2 	7.3 	7.1 	7.0 b	8.0 	7.3 	7.3 	8.0 	: 
