unit,indic,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,INV_HH,CH	5.11 	4.75 	4.50 	4.79 	5.01 	5.00 	4.72 	4.59 	4.45 	4.33 	4.35 	4.13 	3.99 	3.95 p	3.90 p	3.96 p	3.90 p	: 
PC,INV_HH,CY	7.94 	7.88 	8.23 	9.27 	10.06 	11.54 	13.17 	13.84 	13.78 	11.17 	9.50 	7.46 	5.96 	4.95 	4.95 	5.17 	5.54 p	: 
PC,INV_HH,CZ	5.57 	4.95 	5.31 	5.14 	4.83 	5.11 	5.26 	5.59 	5.27 	5.21 	5.82 	4.97 	4.50 	4.40 	4.49 	4.51 	4.75 	4.73 
PC,INV_HH,DE	7.28 	6.67 	6.19 	6.03 	5.82 	5.69 	5.94 	5.95 	5.83 	5.65 	5.75 	6.16 	6.27 	6.20 	6.21 	5.94 	6.04 	: 
PC,INV_HH,DK	6.00 	5.60 	5.45 	5.96 	5.86 	6.67 	7.70 	7.57 	6.85 	4.86 	4.43 	4.41 	4.06 	3.84 	3.74 	4.10 	4.34 	4.53 
PC,INV_HH,EA19	: 	: 	6.61 	6.70 	6.82 	7.01 	7.26 	7.29 	6.97 	6.25 	6.03 	5.93 	5.68 	5.38 	5.29 	5.14 	5.30 	5.44 
PC,INV_HH,EE	3.13 	3.58 	4.10 	4.73 	5.36 	6.61 	8.96 	8.20 	5.40 	3.98 	3.54 	3.61 	3.65 	4.24 	4.47 	4.81 	5.30 	: 
PC,INV_HH,EL	12.02 p	10.53 p	10.61 p	11.50 p	12.08 p	10.61 p	11.94 p	13.33 p	10.57 p	8.93 p	7.28 p	6.99 p	5.19 p	4.23 p	2.93 p	2.67 p	2.84 p	: 
PC,INV_HH,ES	7.25 	7.47 	7.88 	8.42 	8.87 	9.33 	9.39 	9.19 	8.22 	6.50 	5.87 	4.88 	4.01 	3.07 	2.95 	2.94 	3.01 	: 
PC,INV_HH,EU28	: 	: 	5.88 	6.02 	6.17 	6.31 	6.52 	6.57 	6.26 	5.62 	5.45 	5.35 	5.11 	4.92 	4.89 	4.80 	4.97 	5.14 
PC,INV_HH,FI	6.44 	5.77 	5.67 	6.12 	6.61 	7.02 	7.14 	7.10 	6.42 	5.86 	6.45 	6.56 	6.52 	6.19 	5.91 	5.67 	6.27 	6.54 
PC,INV_HH,FR	5.69 	5.65 	5.78 	5.96 	6.16 	6.39 	6.72 	6.85 	6.81 	6.10 	6.10 	6.13 	6.02 	5.88 	5.75 	5.58 p	5.67 p	: 
PC,INV_HH,HR	: 	: 	3.41 	3.28 	3.79 	4.01 	4.18 	4.52 	4.71 	3.57 	3.51 	3.53 	3.43 	: 	: 	: 	: 	: 
PC,INV_HH,HU	5.30 	5.91 	6.06 	6.24 	6.40 	5.46 	4.62 	5.03 	5.20 	5.15 	4.01 	3.09 	2.91 	2.94 	2.94 	2.81 	: 	: 
PC,INV_HH,IE	8.98 	8.82 	8.79 	10.40 	11.99 	13.44 	14.06 	11.80 	9.17 	5.22 	3.78 	3.08 	2.71 	2.77 	3.18 	2.59 	2.85 	: 
PC,INV_HH,IS	3.69 	4.00 	4.67 	4.90 	5.27 	5.56 	6.23 	6.64 	5.22 	2.52 	2.19 	2.35 	2.52 	2.69 	2.93 	: 	: 	: 
PC,INV_HH,IT	6.84 	6.78 	7.20 	7.14 	7.13 	7.49 	7.65 	7.74 	7.60 	7.18 	7.17 	6.86 	6.41 	5.99 	5.58 	5.44 	5.55 	5.62 
PC,INV_HH,LT	3.61 	3.77 	3.53 	4.14 	4.35 	4.00 	3.64 	3.73 	3.91 	3.55 	3.29 	3.34 	3.01 	3.55 	3.75 	4.18 	4.51 	: 
