currency,partner,sector10,sectpart,stk_flow,bop_item,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,IE	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	224812.0 	274052.0 	333747.0 	318280.0 	367960.0 	484228.0 	596583.0 	664727.0 	725157.0 	850940.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,IT	: 	: 	: 	: 	164802.0 	203249.0 	168317.0 	111295.0 	120205.0 	115566.0 	130895.0 	130720.0 	108385.0 	51850.0 	62057.0 	67331.0 	57773.0 	56175.0 	70820.0 	83669.0 	93568.0 	94281.0 	110604.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	24.9 	116.4 	162.2 	207.7 	142.8 	149.3 	170.2 	151.5 	163.7 	186.0 	200.3 	294.4 	306.1 	332.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,LU	: 	: 	: 	: 	: 	: 	: 	290825.0 	386572.0 	468274.0 	684806.0 	872932.0 	960013.0 	433624.0 	624625.0 	776152.0 	693747.0 	782831.0 	969260.0 	1107378.0 	1283844.0 	1347510.0 	1564156.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,LV	: 	: 	: 	: 	: 	51.0 	47.0 	47.0 	39.0 	62.0 	143.0 	230.0 	366.0 	369.0 	538.0 	751.0 	123.0 	162.0 	161.0 	132.0 	171.0 	198.0 	252.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	4121.4 	15796.8 	21169.6 	34968.4 	36234.5 	41589.6 	42486.4 	50712.4 	57531.9 	64081.5 	72075.2 	79259.4 	85668.9 	92537.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,NL	: 	: 	: 	: 	: 	: 	: 	: 	281374.0 	328294.0 	406216.0 	296790.0 	304981.0 	190176.0 	265924.0 	314825.0 	307792.0 	361838.0 	400958.0 	465409.0 	472067.0 	533890.0 	569503.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	2228.0 	5484.0 	15177.0 	29311.0 	12513.0 	24967.0 	20459.0 	15263.0 	18660.0 	21824.0 	27550.0 	69997.0 	52027.0 	57065.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,PT	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	14301.0 	17552.0 	16293.0 	: c	12721.0 	12746.0 	13017.0 	14044.0 	12947.0 	13028.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	541.0 	1525.0 	2253.0 	2213.0 	1710.0 	2499.0 	1475.0 	2327.0 	2101.0 	1468.0 	1507.0 	2055.0 	2680.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,SE	: 	: 	: 	573947.0 	701565.0 	704176.0 	840470.0 	632084.0 	746661.0 	827399.0 	1162534.0 	1292312.0 	1371440.0 	968531.0 	1272906.0 	1424904.0 	1230954.0 	1413171.0 	1745233.0 	2072343.0 	2145110.0 	2265600.0 	2686665.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,SI	13.4 	12.7 	14.0 	14.3 	32.3 	39.5 	29.0 	40.0 	155.0 	390.0 	930.0 	1679.0 	2840.0 	1256.0 	1657.0 	1880.0 	1499.0 	1519.7 	1626.0 	1865.4 	2116.1 	2213.4 	2534.1 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	451.2 	380.7 	655.3 	875.1 	502.3 	679.4 	910.8 	809.9 	278.9 	381.1 	495.5 	543.3 	721.6 	1002.9 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F51,UK	: 	: 	: c	: c	392216.0 	392850.0 	375848.0 	321705.0 	380293.0 	459939.0 	661921.0 	770148.0 	843721.0 	624916.0 	733165.0 	801011.0 	700238.0 	821892.0 	925630.0 	1024684.0 	1015658.0 	1173452.0 	1392596.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F52,AT	: 	: 	: 	: 	6525.0 	9679.0 	10166.0 	9261.0 	11282.0 	14639.0 	21177.0 	27987.0 	31320.0 	23804.0 	29754.0 	38004.0 	34427.0 	39332.0 	43285.0 	49459.0 	55348.0 	64594.0 	74501.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F52,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	111158.0 	101387.0 	110327.0 	105111.0 	117628.0 	136896.0 	172177.0 	191171.0 	209801.0 	229545.0 
