unit,sex,age,incgrp,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,T,TOTAL,TOTAL,NO	10.8 	12.9 	12.5 	10.9 	9.1 	10.4 	9.7 	9.6 	8.2 	9.4 	9.7 	9.1 
PC,T,TOTAL,TOTAL,PL	12.0 	10.5 	9.7 	8.2 	9.1 	10.2 	10.5 	10.3 	9.6 	8.7 	7.7 	6.7 
PC,T,TOTAL,TOTAL,PT	4.5 	7.4 	7.6 	6.1 	4.2 	7.2 	8.3 	8.3 	9.2 	9.1 	7.5 	6.7 
PC,T,TOTAL,TOTAL,RO	: 	19.7 	19.1 	15.4 	15.8 	10.5 	18.4 	16.9 	16.2 	15.9 	14.4 	12.3 
PC,T,TOTAL,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	28.0 	32.6 	29.1 	28.2 	: 
PC,T,TOTAL,TOTAL,SE	9.6 	7.9 	10.0 b	10.6 	7.8 	9.3 	8.7 	9.0 	8.6 	8.7 	8.5 	8.4 
PC,T,TOTAL,TOTAL,SI	3.0 	5.0 	4.4 	3.9 	4.3 	4.7 	5.2 	6.0 	6.4 	6.1 	5.7 	5.2 
PC,T,TOTAL,TOTAL,SK	16.4 	17.8 	5.6 	9.4 	7.6 	8.4 	8.4 	8.3 	9.0 	9.1 	7.7 	8.4 
PC,T,TOTAL,TOTAL,TR	13.7 	9.1 	10.4 	11.2 	11.0 	10.7 	9.8 	11.7 	10.3 	10.5 	: 	: 
PC,T,TOTAL,TOTAL,UK	16.4 	16.3 	16.3 	16.3 	16.5 	16.4 	7.3 b	7.9 	12.5 b	12.4 	12.3 	: 
