currency,bop_item,sector10,sectpart,stk_flow,partner,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,FA__F__F7,S1,S1,N_LE,WRL_REST,LV	: 	: 	: 	: 	: 	1.0 	-4.0 	-15.0 	-19.0 	18.0 	-8.0 	15.0 	-7.0 	167.0 	-15.0 	-3.0 	4.0 	5.0 	-116.0 	-120.0 	132.0 	166.0 	-95.0 
MIO_NAC,FA__F__F7,S1,S1,N_LE,WRL_REST,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	44.2 	461.1 	677.1 	1218.6 	803.5 	1417.6 	1467.4 	1305.9 	1409.1 	1309.1 	1644.8 	964.9 	886.1 	728.2 
MIO_NAC,FA__F__F7,S1,S1,N_LE,WRL_REST,NL	: 	: 	: 	: 	: 	: 	: 	: 	-5902.0 	-9061.0 	-12566.0 	743.0 	24833.0 	38407.0 	13229.0 	24863.0 	69129.0 	66092.0 	34076.0 	86563.0 	72783.0 	82677.0 	72266.0 
MIO_NAC,FA__F__F7,S1,S1,N_LE,WRL_REST,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	-338.0 	-83.0 	-198.0 	-748.0 	-6266.0 	-1150.0 	-7071.0 	-4826.0 	-3014.0 	-1390.0 	-2304.0 	-7264.0 	-6144.0 	4641.0 
MIO_NAC,FA__F__F7,S1,S1,N_LE,WRL_REST,PT	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	163.0 	-444.0 	-1131.0 	: c	-3642.0 	-3102.0 	-1807.0 	96.0 	-219.0 	-1604.0 
MIO_NAC,FA__F__F7,S1,S1,N_LE,WRL_REST,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	-37.0 	-3.0 	-4.0 	-2.0 	22.0 	11.0 	11.0 	-205.0 
MIO_NAC,FA__F__F7,S1,S1,N_LE,WRL_REST,SE	: 	: 	: 	-2874.0 	7637.0 	31559.0 	15222.0 	-7847.0 	-4366.0 	-14326.0 	-15546.0 	-7896.0 	-5955.0 	50753.0 	63521.0 	82154.0 	123817.0 	105168.0 	56501.0 	128136.0 	124923.0 	125407.0 	61550.0 
MIO_NAC,FA__F__F7,S1,S1,N_LE,WRL_REST,SI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	14.0 	27.0 	56.0 	-145.0 	-114.0 	-191.0 	-88.0 	-231.2 	-600.6 	-5.8 	1102.9 	1026.5 	241.2 
MIO_NAC,FA__F__F7,S1,S1,N_LE,WRL_REST,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	-70.8 	-37.7 	124.6 	62.1 	186.6 	-97.3 	-516.5 	-461.0 	-518.6 	-609.0 	-439.7 	-7.1 	43.9 	-210.9 
MIO_NAC,FA__F__F7,S1,S1,N_LE,WRL_REST,UK	: 	: 	: c	: c	0.0 	0.0 	0.0 	0.0 	0.0 	-5642.0 	-11026.0 	-36762.0 	-14064.0 	124912.0 	79570.0 	67837.0 	83247.0 	61570.0 	108507.0 	104534.0 	18750.0 	42543.0 	46162.0 
