age,sex,hhtyp,indic_il,workint,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,LT	10.2 	8.5 	8.0 	10.5 	15.2 	10.3 	7.9 	9.3 	8.4 	9.8 	8.3 	9.5 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,LU	8.4 	7.8 	8.0 	7.5 	7.3 	7.7 	8.1 	8.5 	7.6 	9.9 	11.9 b	13.9 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,LV	12.4 	10.5 	12.1 	12.0 	10.4 	13.3 	10.7 	11.3 	10.8 	10.8 	11.3 	11.4 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,MK	: 	: 	: 	: 	: 	: 	11.5 	8.0 	6.2 	6.5 	7.6 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,MT	1.4 	1.7 	2.7 	2.5 	3.6 	4.8 	3.1 	3.2 	3.1 	3.5 	4.2 	3.9 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,NL	3.3 	3.5 	5.0 	3.0 	4.7 	4.5 	4.3 	4.3 	6.0 	5.4 	5.2 b	5.7 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,NO	9.7 	8.1 	9.2 	7.9 	6.1 	7.9 	7.7 	8.3 	7.6 	8.3 	8.2 	8.0 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,PL	9.1 	9.2 	8.0 	8.3 	10.0 	9.9 	9.7 	8.8 	9.9 	9.8 	9.4 	9.9 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,PT	9.3 	9.4 	8.3 	8.3 	9.2 	9.4 	8.5 	8.9 	9.7 	10.4 	9.6 	11.4 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,RO	: 	13.3 	12.9 	13.9 	12.6 	13.5 	13.9 	13.8 	14.7 	14.3 	15.1 	14.0 
