E1,E2,beta,pvalue,intercept,rvalue,stderr
6326 JP Equity,MG CN Equity,0.25698150535207664,0.001908962601061559,0.0005717503601200906,0.21608088851319726,0.08170087071231595
6326 JP Equity,5110 JP Equity,0.6240436400088187,1.0727435949855597e-14,-0.00015578811386452633,0.5065754210717403,0.07473103396473328
6326 JP Equity,TEN US Equity,0.11614784006524602,0.04617013644472112,0.0011529443997400535,0.13976921920261248,0.05789484098143513
6326 JP Equity,6995 JP Equity,0.3428856729463766,2.960533074634581e-10,0.000744046625662144,0.4228741656764478,0.051698864583530284
6326 JP Equity,5105 JP Equity,0.22182114915596865,1.5221626315551664e-07,0.0006450319034235929,0.3575381032997288,0.04076661351140466
6326 JP Equity,5101 JP Equity,0.48336625839204456,4.702085883869513e-15,0.0004229542751989604,0.5124292290476186,0.056993209508884014
VMC US Equity,HOG US Equity,0.2540631631222542,0.0037398813345954113,-4.3088518585853084e-05,0.20213457854576042,0.0866097468826956
VMC US Equity,161390 KS Equity,-0.24214801373400652,0.0028084740103522282,-4.9222071753556436e-05,-0.20818126918820998,0.08004652981431382
VMC US Equity,TEN US Equity,0.1483903112175116,0.03878276122447482,0.0003238491430894166,0.14480917818683917,0.07133979203963779
VMC US Equity,6995 JP Equity,-0.2528723914284066,0.00026276835782294296,0.00014082105000434524,-0.25290264568358356,0.06806433735033514
HOG US Equity,CTC/A CN Equity,0.24725544361651217,0.04672263105040372,1.6742223991766687e-06,0.13942016041857566,0.12356120433785193
HOG US Equity,BWA US Equity,0.2590786493856677,8.040759515593154e-05,0.00021245734296361916,0.27250918288303105,0.06436044207739572
HOG US Equity,CON GR Equity,0.29327305176410895,0.0014271214795098847,1.5399599675271523e-05,0.2218563722978932,0.09069107046947969
HOG US Equity,CTB US Equity,0.2035512297913899,1.5779317944044816e-05,0.0002965505385007209,0.2972523213239253,0.04600284903880845
HOG US Equity,CPS US Equity,0.2546388148874091,0.0011479938528738997,0.00011997396725753664,0.22608464213253976,0.0771942259188493
HOG US Equity,EO FP Equity,0.15863253106802833,0.03927820428875042,-0.00020050302119863195,0.1444469558212853,0.07645915251513367
HOG US Equity,GT US Equity,0.26674879364103987,1.8828174581832287e-05,0.0009517851349467205,0.29467704440106957,0.06086325952872924
HOG US Equity,LEA US Equity,0.18847092785542857,0.01430516589073418,0.00017307375147776325,0.1712830225492469,0.07627608744617737
HOG US Equity,MG CN Equity,0.18363635477212384,0.02456795368325238,-8.479241835458219e-06,0.15738537784042525,0.08107222437021806
HOG US Equity,NRE1V FH Equity,0.1890739112474394,0.04029432565904964,0.00015357298109539366,0.14371594678121147,0.09160495791833546
HOG US Equity,5110 JP Equity,0.20834811873872508,0.01367966331203136,-0.00012166299329010734,0.17238916481092867,0.08376313340295034
HOG US Equity,TEN US Equity,0.22380727123560093,7.08638476944582e-05,0.0006983744440868403,0.2745148374017456,0.05515938302874948
HOG US Equity,FR FP Equity,0.17513496220194297,0.018642956055708718,-0.00012798616921618392,0.16460091383620973,0.07384149611824194
HOG US Equity,5101 JP Equity,0.13446008490741299,0.03813035509733205,9.882314150690672e-05,0.14529215779180654,0.06442323226553132
600066 CH Equity,000957 CH Equity,0.14092182510525156,0.0012844641685721377,-0.0009255334429637774,0.22391206612344414,0.04315743756648545
600066 CH Equity,TA US Equity,-0.09139183152834615,0.02253797560200902,-0.0015019241865053949,-0.15966942335868828,0.03975594907323397
600066 CH Equity,CON GR Equity,-0.20732114355166645,0.03200564438342239,-0.0013454627600154733,-0.15020401882939302,0.09601324213884312
600066 CH Equity,CTB US Equity,-0.12669756486087685,0.011230831173289452,-0.0015390137391369254,-0.1771976672219508,0.049511608593945385
600066 CH Equity,6995 JP Equity,0.20513363816359217,0.00036951709417948364,-0.0016014560961887631,0.24696086358639488,0.056632827885891385
600066 CH Equity,FR FP Equity,-0.216423464550643,0.005236938228473569,-0.0010521458500446378,-0.19480582652766484,0.0766700410486258
RACE US Equity,SIPH FP Equity.1,0.15712499017933373,0.005209284164088231,0.0010978756381632869,0.1949230232924343,0.05562821289823236
RACE US Equity,BWA US Equity,0.2770996745014315,1.3381600751859601e-05,0.0013291270401030884,0.2996330640049598,0.06207886799055473
RACE US Equity,5108 JP Equity,-0.17362134341444968,0.04464923543649745,0.001452845958519777,-0.14074847366390342,0.08592881802942137
RACE US Equity,CON GR Equity,0.48244430722410575,3.217424121331978e-08,0.0009919916273113392,0.375189898968224,0.08386402875216914
RACE US Equity,EO FP Equity,0.2632347210366802,0.000381161068840675,0.000630568544050425,0.24641294276857315,0.07284532131144819
RACE US Equity,GT US Equity,0.16746337240610634,0.006438864966684352,0.0018032281557065699,0.19018132842042135,0.060824245559611204
RACE US Equity,LEA US Equity,0.3227727978912965,1.1699435297827173e-05,0.00124718829658384,0.30155815595227314,0.07180374192694844
RACE US Equity,MG CN Equity,0.35999195284522495,3.7955114737293825e-06,0.0008759390577224802,0.3171777493024181,0.07573391715702855
RACE US Equity,5110 JP Equity,-0.1876720949879497,0.022568667961836646,0.0016744920157091992,-0.15963359228776752,0.08165719664982256
