currency,partner,sector10,sectpart,s_adj,stk_flow,bop_item,geotime,date,value
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IE,2017-10-01,9411
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IE,2018-01-01,9552
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IE,2018-04-01,10162
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IS,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IS,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IS,2016-01-01,77
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IS,2016-04-01,239
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IS,2016-07-01,757
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IS,2016-10-01,357
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IS,2017-01-01,61
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IS,2017-04-01,103
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IS,2017-07-01,524
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IS,2017-10-01,23
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IS,2018-01-01,25
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IS,2018-04-01,13
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IT,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IT,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IT,2016-01-01,1931
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IT,2016-04-01,11310
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IT,2016-07-01,15704
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IT,2016-10-01,13834
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IT,2017-01-01,5471
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IT,2017-04-01,9905
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IT,2017-07-01,17405
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IT,2017-10-01,15532
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IT,2018-01-01,4993
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,IT,2018-04-01,10504
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LT,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LT,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LT,2016-01-01,143
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LT,2016-04-01,345
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LT,2016-07-01,12
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LT,2016-10-01,201
