unit,sector,na_item,geo\time,date,value
MIO_EUR,S13,GD,NL,2014-01-01,455706.0
MIO_EUR,S13,GD,NL,2015-01-01,446058.0
MIO_EUR,S13,GD,NL,2016-01-01,438418.0
MIO_EUR,S13,GD,NL,2017-01-01,419778.0
MIO_EUR,S13,GD,PL,2000-01-01,70735.4
MIO_EUR,S13,GD,PL,2001-01-01,83306.4
MIO_EUR,S13,GD,PL,2002-01-01,84224.1
MIO_EUR,S13,GD,PL,2003-01-01,83817.2
MIO_EUR,S13,GD,PL,2004-01-01,102896.8
MIO_EUR,S13,GD,PL,2005-01-01,119167.1
MIO_EUR,S13,GD,PL,2006-01-01,131104.4
MIO_EUR,S13,GD,PL,2007-01-01,145930.2
MIO_EUR,S13,GD,PL,2008-01-01,143344.2
MIO_EUR,S13,GD,PL,2009-01-01,165264.5
MIO_EUR,S13,GD,PL,2010-01-01,193168.3
MIO_EUR,S13,GD,PL,2011-01-01,190154.3
MIO_EUR,S13,GD,PL,2012-01-01,214840.5
MIO_EUR,S13,GD,PL,2013-01-01,222120.4
MIO_EUR,S13,GD,PL,2014-01-01,202973.2
MIO_EUR,S13,GD,PL,2015-01-01,216516.8
MIO_EUR,S13,GD,PL,2016-01-01,228831.6
MIO_EUR,S13,GD,PL,2017-01-01,240768.0
MIO_EUR,S13,GD,PT,2000-01-01,64640.5
MIO_EUR,S13,GD,PT,2001-01-01,72554.2
MIO_EUR,S13,GD,PT,2002-01-01,80133.6
MIO_EUR,S13,GD,PT,2003-01-01,85726.1
