currency,bop_item,sector10,sectpart,partner,stk_flow,geo\time,date,value
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EL,1997-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EL,1998-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EL,1999-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EL,2000-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EL,2001-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EL,2002-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EL,2003-01-01,10253.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EL,2004-01-01,10706.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EL,2005-01-01,12316.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EL,2006-01-01,17806.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EL,2007-01-01,22772.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EL,2008-01-01,28443.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EL,2009-01-01,33944.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EL,2010-01-01,36953.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EL,2011-01-01,39939.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EL,2012-01-01,37036.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EL,2013-01-01,29280.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EL,2014-01-01,27542.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EL,2015-01-01,26392.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EL,2016-01-01,21218.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,EL,2017-01-01,20239.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,ES,1995-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,ES,1996-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,ES,1997-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,ES,1998-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,ES,1999-01-01,108877.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,ES,2000-01-01,152946.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,ES,2001-01-01,173911.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,ES,2002-01-01,165713.0 
