sex,unit,geotime,date,value
T,PC_POP,PL,2006-01-01,63
T,PC_POP,PL,2007-01-01,63
T,PC_POP,PL,2008-01-01,63
T,PC_POP,PL,2009-01-01,64
T,PC_POP,PL,2010-01-01,65
T,PC_POP,PL,2011-01-01,65
T,PC_POP,PL,2012-01-01,66
T,PC_POP,PL,2013-01-01,67
T,PC_POP,PL,2014-01-01,67
T,PC_POP,PL,2015-01-01,68
T,PC_POP,PL,2016-01-01,68
T,PC_POP,PL,2017-01-01,69
T,PC_POP,PT,1995-01-01,67
T,PC_POP,PT,1996-01-01,67
T,PC_POP,PT,1997-01-01,68
T,PC_POP,PT,1998-01-01,70
T,PC_POP,PT,1999-01-01,70
T,PC_POP,PT,2000-01-01,71
T,PC_POP,PT,2001-01-01,72
T,PC_POP,PT,2002-01-01,72
T,PC_POP,PT,2003-01-01,72
T,PC_POP,PT,2004-01-01,72
T,PC_POP,PT,2005-01-01,73
T,PC_POP,PT,2006-01-01,73
T,PC_POP,PT,2007-01-01,73
T,PC_POP,PT,2008-01-01,73
T,PC_POP,PT,2009-01-01,73
T,PC_POP,PT,2010-01-01,73
T,PC_POP,PT,2011-01-01,73
T,PC_POP,PT,2012-01-01,73
T,PC_POP,PT,2013-01-01,73
T,PC_POP,PT,2014-01-01,73
T,PC_POP,PT,2015-01-01,73
T,PC_POP,PT,2016-01-01,73
T,PC_POP,PT,2017-01-01,74
T,PC_POP,RO,1995-01-01,
T,PC_POP,RO,1996-01-01,
T,PC_POP,RO,1997-01-01,
T,PC_POP,RO,1998-01-01,68
T,PC_POP,RO,1999-01-01,68
T,PC_POP,RO,2000-01-01,68
T,PC_POP,RO,2001-01-01,67
T,PC_POP,RO,2002-01-01,63
T,PC_POP,RO,2003-01-01,62
T,PC_POP,RO,2004-01-01,63
T,PC_POP,RO,2005-01-01,62
T,PC_POP,RO,2006-01-01,63
T,PC_POP,RO,2007-01-01,63
T,PC_POP,RO,2008-01-01,62
T,PC_POP,RO,2009-01-01,63
T,PC_POP,RO,2010-01-01,64
T,PC_POP,RO,2011-01-01,64
T,PC_POP,RO,2012-01-01,64
T,PC_POP,RO,2013-01-01,64
T,PC_POP,RO,2014-01-01,65
T,PC_POP,RO,2015-01-01,66
T,PC_POP,RO,2016-01-01,65
T,PC_POP,RO,2017-01-01,67
T,PC_POP,SE,1995-01-01,
T,PC_POP,SE,1996-01-01,76
T,PC_POP,SE,1997-01-01,76
T,PC_POP,SE,1998-01-01,75
T,PC_POP,SE,1999-01-01,76
T,PC_POP,SE,2000-01-01,76
T,PC_POP,SE,2001-01-01,77
T,PC_POP,SE,2002-01-01,77
T,PC_POP,SE,2003-01-01,77
T,PC_POP,SE,2004-01-01,77
T,PC_POP,SE,2005-01-01,78
T,PC_POP,SE,2006-01-01,78
T,PC_POP,SE,2007-01-01,79
T,PC_POP,SE,2008-01-01,79
T,PC_POP,SE,2009-01-01,78
T,PC_POP,SE,2010-01-01,79
T,PC_POP,SE,2011-01-01,79
T,PC_POP,SE,2012-01-01,80
T,PC_POP,SE,2013-01-01,81
T,PC_POP,SE,2014-01-01,81
T,PC_POP,SE,2015-01-01,81
T,PC_POP,SE,2016-01-01,82
T,PC_POP,SE,2017-01-01,82
T,PC_POP,SI,1995-01-01,
T,PC_POP,SI,1996-01-01,
T,PC_POP,SI,1997-01-01,67
T,PC_POP,SI,1998-01-01,68
T,PC_POP,SI,1999-01-01,67
T,PC_POP,SI,2000-01-01,67
T,PC_POP,SI,2001-01-01,68
T,PC_POP,SI,2002-01-01,67
T,PC_POP,SI,2003-01-01,67
T,PC_POP,SI,2004-01-01,69
T,PC_POP,SI,2005-01-01,70
T,PC_POP,SI,2006-01-01,70
T,PC_POP,SI,2007-01-01,71
T,PC_POP,SI,2008-01-01,71
T,PC_POP,SI,2009-01-01,71
T,PC_POP,SI,2010-01-01,71
T,PC_POP,SI,2011-01-01,70
T,PC_POP,SI,2012-01-01,70
T,PC_POP,SI,2013-01-01,70
T,PC_POP,SI,2014-01-01,70
T,PC_POP,SI,2015-01-01,71
T,PC_POP,SI,2016-01-01,71
T,PC_POP,SI,2017-01-01,74
T,PC_POP,SK,1995-01-01,
T,PC_POP,SK,1996-01-01,
T,PC_POP,SK,1997-01-01,69
T,PC_POP,SK,1998-01-01,69
T,PC_POP,SK,1999-01-01,69
T,PC_POP,SK,2000-01-01,69
T,PC_POP,SK,2001-01-01,70
T,PC_POP,SK,2002-01-01,69
T,PC_POP,SK,2003-01-01,70
T,PC_POP,SK,2004-01-01,69
T,PC_POP,SK,2005-01-01,68
T,PC_POP,SK,2006-01-01,68
T,PC_POP,SK,2007-01-01,68
T,PC_POP,SK,2008-01-01,68
T,PC_POP,SK,2009-01-01,68
T,PC_POP,SK,2010-01-01,68
T,PC_POP,SK,2011-01-01,68
T,PC_POP,SK,2012-01-01,69
T,PC_POP,SK,2013-01-01,69
T,PC_POP,SK,2014-01-01,70
T,PC_POP,SK,2015-01-01,70
T,PC_POP,SK,2016-01-01,71
T,PC_POP,SK,2017-01-01,72
T,PC_POP,UK,1995-01-01,75
T,PC_POP,UK,1996-01-01,75
T,PC_POP,UK,1997-01-01,75
T,PC_POP,UK,1998-01-01,75
T,PC_POP,UK,1999-01-01,75
T,PC_POP,UK,2000-01-01,75
T,PC_POP,UK,2001-01-01,75
T,PC_POP,UK,2002-01-01,75
T,PC_POP,UK,2003-01-01,75
T,PC_POP,UK,2004-01-01,75
T,PC_POP,UK,2005-01-01,75
T,PC_POP,UK,2006-01-01,75
T,PC_POP,UK,2007-01-01,75
T,PC_POP,UK,2008-01-01,75
T,PC_POP,UK,2009-01-01,75
T,PC_POP,UK,2010-01-01,75
T,PC_POP,UK,2011-01-01,75
T,PC_POP,UK,2012-01-01,76
T,PC_POP,UK,2013-01-01,76
T,PC_POP,UK,2014-01-01,76
T,PC_POP,UK,2015-01-01,76
T,PC_POP,UK,2016-01-01,77
T,PC_POP,UK,2017-01-01,77
T,PPCH_3Y,AT,1995-01-01,
T,PPCH_3Y,AT,1996-01-01,
T,PPCH_3Y,AT,1997-01-01,
T,PPCH_3Y,AT,1998-01-01,0
T,PPCH_3Y,AT,1999-01-01,0
T,PPCH_3Y,AT,2000-01-01,0
T,PPCH_3Y,AT,2001-01-01,0
T,PPCH_3Y,AT,2002-01-01,0
T,PPCH_3Y,AT,2003-01-01,1
T,PPCH_3Y,AT,2004-01-01,0
T,PPCH_3Y,AT,2005-01-01,0
T,PPCH_3Y,AT,2006-01-01,0
T,PPCH_3Y,AT,2007-01-01,3
T,PPCH_3Y,AT,2008-01-01,2
T,PPCH_3Y,AT,2009-01-01,1
T,PPCH_3Y,AT,2010-01-01,0
T,PPCH_3Y,AT,2011-01-01,0
T,PPCH_3Y,AT,2012-01-01,0
T,PPCH_3Y,AT,2013-01-01,1
T,PPCH_3Y,AT,2014-01-01,0
T,PPCH_3Y,AT,2015-01-01,0
T,PPCH_3Y,AT,2016-01-01,0
T,PPCH_3Y,AT,2017-01-01,1
T,PPCH_3Y,BE,1995-01-01,
T,PPCH_3Y,BE,1996-01-01,1
T,PPCH_3Y,BE,1997-01-01,1
T,PPCH_3Y,BE,1998-01-01,1
T,PPCH_3Y,BE,1999-01-01,2
T,PPCH_3Y,BE,2000-01-01,1
T,PPCH_3Y,BE,2001-01-01,0
T,PPCH_3Y,BE,2002-01-01,0
T,PPCH_3Y,BE,2003-01-01,0
T,PPCH_3Y,BE,2004-01-01,1
T,PPCH_3Y,BE,2005-01-01,1
T,PPCH_3Y,BE,2006-01-01,1
T,PPCH_3Y,BE,2007-01-01,1
T,PPCH_3Y,BE,2008-01-01,0
T,PPCH_3Y,BE,2009-01-01,0
T,PPCH_3Y,BE,2010-01-01,0
T,PPCH_3Y,BE,2011-01-01,0
T,PPCH_3Y,BE,2012-01-01,0
T,PPCH_3Y,BE,2013-01-01,0
T,PPCH_3Y,BE,2014-01-01,1
