sex,age,typtrai,wstatus,unit,geo\time,date,value
F,Y15-24,NO_FED_NFE,NEMP,PC,ME,2005-01-01,: 
F,Y15-24,NO_FED_NFE,NEMP,PC,ME,2006-01-01,: 
F,Y15-24,NO_FED_NFE,NEMP,PC,ME,2007-01-01,: 
F,Y15-24,NO_FED_NFE,NEMP,PC,ME,2008-01-01,: 
F,Y15-24,NO_FED_NFE,NEMP,PC,ME,2009-01-01,: 
F,Y15-24,NO_FED_NFE,NEMP,PC,ME,2010-01-01,: 
F,Y15-24,NO_FED_NFE,NEMP,PC,ME,2011-01-01,18.1 
F,Y15-24,NO_FED_NFE,NEMP,PC,ME,2012-01-01,17.1
F,Y15-24,NO_FED_NFE,NEMP,PC,ME,2013-01-01,16.9 
F,Y15-24,NO_FED_NFE,NEMP,PC,ME,2014-01-01,16.4 
F,Y15-24,NO_FED_NFE,NEMP,PC,ME,2015-01-01,18.3 
