,coicop,unit,geo\time,date,value
369,CP07,I15,PL,2018-06-01,103.4 
370,CP07,I15,PL,2018-07-01,103.6 
371,CP07,I15,PL,2018-08-01,104.1 
372,CP07,I15,PL,2018-09-01,103.7 
373,CP07,I15,PT,2017-10-01,102.15 
374,CP07,I15,PT,2017-11-01,102.43 
375,CP07,I15,PT,2017-12-01,104.05 
376,CP07,I15,PT,2018-01-01,104.49 
377,CP07,I15,PT,2018-02-01,103.38 
378,CP07,I15,PT,2018-03-01,103.73 
379,CP07,I15,PT,2018-04-01,104.87 
380,CP07,I15,PT,2018-05-01,105.46 
381,CP07,I15,PT,2018-06-01,106.25 
382,CP07,I15,PT,2018-07-01,107.19 
383,CP07,I15,PT,2018-08-01,107.87 
384,CP07,I15,PT,2018-09-01,107.00 
385,CP07,I15,RO,2017-10-01,99.15 
386,CP07,I15,RO,2017-11-01,100.78 
387,CP07,I15,RO,2017-12-01,100.83 
388,CP07,I15,RO,2018-01-01,102.15 
389,CP07,I15,RO,2018-02-01,101.61 
390,CP07,I15,RO,2018-03-01,101.82 
391,CP07,I15,RO,2018-04-01,102.93 
392,CP07,I15,RO,2018-05-01,104.47 
393,CP07,I15,RO,2018-06-01,105.08 
394,CP07,I15,RO,2018-07-01,104.96 
395,CP07,I15,RO,2018-08-01,104.86 
396,CP07,I15,RO,2018-09-01,105.68 
397,CP07,I15,RS,2017-10-01,102.0 d
398,CP07,I15,RS,2017-11-01,102.4 d
399,CP07,I15,RS,2017-12-01,102.7 d
400,CP07,I15,RS,2018-01-01,103.0 d
401,CP07,I15,RS,2018-02-01,103.4 d
402,CP07,I15,RS,2018-03-01,103.2 d
403,CP07,I15,RS,2018-04-01,103.8 d
404,CP07,I15,RS,2018-05-01,105.2 d
405,CP07,I15,RS,2018-06-01,106.4 d
406,CP07,I15,RS,2018-07-01,106.7 d
407,CP07,I15,RS,2018-08-01,107.0 d
408,CP07,I15,RS,2018-09-01,107.5 d
409,CP07,I15,SE,2017-10-01,102.72 
410,CP07,I15,SE,2017-11-01,103.18 
411,CP07,I15,SE,2017-12-01,104.39 
412,CP07,I15,SE,2018-01-01,103.18 
413,CP07,I15,SE,2018-02-01,103.46 
414,CP07,I15,SE,2018-03-01,104.02 
415,CP07,I15,SE,2018-04-01,105.29 
416,CP07,I15,SE,2018-05-01,105.97 
417,CP07,I15,SE,2018-06-01,107.12 
418,CP07,I15,SE,2018-07-01,109.21 
419,CP07,I15,SE,2018-08-01,107.32 
420,CP07,I15,SE,2018-09-01,107.04 
421,CP07,I15,SI,2017-10-01,98.55 
422,CP07,I15,SI,2017-11-01,99.33 
423,CP07,I15,SI,2017-12-01,99.66 
424,CP07,I15,SI,2018-01-01,99.46 
425,CP07,I15,SI,2018-02-01,99.89 
426,CP07,I15,SI,2018-03-01,99.29 
427,CP07,I15,SI,2018-04-01,99.34 
