s_adj,sectpart,sector10,bop_item,stk_flow,partner,unit,geotime,date,value
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,1995-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,1995-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,1995-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,1996-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,1996-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,1996-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,1996-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,1997-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,1997-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,1997-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,1997-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,1998-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,1998-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,1998-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,1998-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,1999-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,1999-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,1999-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,1999-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,2000-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,2000-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,2000-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,2000-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,2001-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,2001-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY,2001-07-01,
