hhtyp,incgrp,unit,age,sex,geotime,date,value
TOTAL,TOTAL,PC_POP,TOTAL,F,LT,2015-01-01,5.4
TOTAL,TOTAL,PC_POP,TOTAL,F,LT,2016-01-01,5.6
TOTAL,TOTAL,PC_POP,TOTAL,F,LT,2017-01-01,6.1
TOTAL,TOTAL,PC_POP,TOTAL,F,LU,2006-01-01,5.2
TOTAL,TOTAL,PC_POP,TOTAL,F,LU,2007-01-01,5.2
TOTAL,TOTAL,PC_POP,TOTAL,F,LU,2008-01-01,5.4
TOTAL,TOTAL,PC_POP,TOTAL,F,LU,2009-01-01,6.8
TOTAL,TOTAL,PC_POP,TOTAL,F,LU,2010-01-01,4.4
TOTAL,TOTAL,PC_POP,TOTAL,F,LU,2011-01-01,4.0
TOTAL,TOTAL,PC_POP,TOTAL,F,LU,2012-01-01,6.4
TOTAL,TOTAL,PC_POP,TOTAL,F,LU,2013-01-01,7.5
TOTAL,TOTAL,PC_POP,TOTAL,F,LU,2014-01-01,5.6
TOTAL,TOTAL,PC_POP,TOTAL,F,LU,2015-01-01,7.0
TOTAL,TOTAL,PC_POP,TOTAL,F,LU,2016-01-01,9.4
TOTAL,TOTAL,PC_POP,TOTAL,F,LU,2017-01-01,7.6
TOTAL,TOTAL,PC_POP,TOTAL,F,LV,2006-01-01,12.5
TOTAL,TOTAL,PC_POP,TOTAL,F,LV,2007-01-01,11.0
TOTAL,TOTAL,PC_POP,TOTAL,F,LV,2008-01-01,11.8
TOTAL,TOTAL,PC_POP,TOTAL,F,LV,2009-01-01,11.1
TOTAL,TOTAL,PC_POP,TOTAL,F,LV,2010-01-01,10.9
TOTAL,TOTAL,PC_POP,TOTAL,F,LV,2011-01-01,9.7
TOTAL,TOTAL,PC_POP,TOTAL,F,LV,2012-01-01,10.0
TOTAL,TOTAL,PC_POP,TOTAL,F,LV,2013-01-01,9.0
TOTAL,TOTAL,PC_POP,TOTAL,F,LV,2014-01-01,8.7
TOTAL,TOTAL,PC_POP,TOTAL,F,LV,2015-01-01,8.5
TOTAL,TOTAL,PC_POP,TOTAL,F,LV,2016-01-01,8.8
TOTAL,TOTAL,PC_POP,TOTAL,F,LV,2017-01-01,8.9
TOTAL,TOTAL,PC_POP,TOTAL,F,MK,2006-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,MK,2007-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,MK,2008-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,MK,2009-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,MK,2010-01-01,7.9
TOTAL,TOTAL,PC_POP,TOTAL,F,MK,2011-01-01,4.5
TOTAL,TOTAL,PC_POP,TOTAL,F,MK,2012-01-01,4.5
TOTAL,TOTAL,PC_POP,TOTAL,F,MK,2013-01-01,3.1
TOTAL,TOTAL,PC_POP,TOTAL,F,MK,2014-01-01,4.4
TOTAL,TOTAL,PC_POP,TOTAL,F,MK,2015-01-01,3.8
TOTAL,TOTAL,PC_POP,TOTAL,F,MK,2016-01-01,4.5
TOTAL,TOTAL,PC_POP,TOTAL,F,MK,2017-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,MT,2006-01-01,5.9
TOTAL,TOTAL,PC_POP,TOTAL,F,MT,2007-01-01,4.7
TOTAL,TOTAL,PC_POP,TOTAL,F,MT,2008-01-01,4.8
TOTAL,TOTAL,PC_POP,TOTAL,F,MT,2009-01-01,6.6
TOTAL,TOTAL,PC_POP,TOTAL,F,MT,2010-01-01,7.5
TOTAL,TOTAL,PC_POP,TOTAL,F,MT,2011-01-01,8.4
TOTAL,TOTAL,PC_POP,TOTAL,F,MT,2012-01-01,7.1
TOTAL,TOTAL,PC_POP,TOTAL,F,MT,2013-01-01,7.1
TOTAL,TOTAL,PC_POP,TOTAL,F,MT,2014-01-01,7.2
TOTAL,TOTAL,PC_POP,TOTAL,F,MT,2015-01-01,7.1
TOTAL,TOTAL,PC_POP,TOTAL,F,MT,2016-01-01,7.3
TOTAL,TOTAL,PC_POP,TOTAL,F,MT,2017-01-01,7.1
TOTAL,TOTAL,PC_POP,TOTAL,F,NL,2006-01-01,4.8
TOTAL,TOTAL,PC_POP,TOTAL,F,NL,2007-01-01,5.3
TOTAL,TOTAL,PC_POP,TOTAL,F,NL,2008-01-01,3.9
TOTAL,TOTAL,PC_POP,TOTAL,F,NL,2009-01-01,3.6
TOTAL,TOTAL,PC_POP,TOTAL,F,NL,2010-01-01,3.7
TOTAL,TOTAL,PC_POP,TOTAL,F,NL,2011-01-01,3.7
TOTAL,TOTAL,PC_POP,TOTAL,F,NL,2012-01-01,3.9
TOTAL,TOTAL,PC_POP,TOTAL,F,NL,2013-01-01,3.7
TOTAL,TOTAL,PC_POP,TOTAL,F,NL,2014-01-01,4.8
TOTAL,TOTAL,PC_POP,TOTAL,F,NL,2015-01-01,4.8
TOTAL,TOTAL,PC_POP,TOTAL,F,NL,2016-01-01,3.6
TOTAL,TOTAL,PC_POP,TOTAL,F,NL,2017-01-01,3.4
TOTAL,TOTAL,PC_POP,TOTAL,F,NO,2006-01-01,3.9
TOTAL,TOTAL,PC_POP,TOTAL,F,NO,2007-01-01,3.5
TOTAL,TOTAL,PC_POP,TOTAL,F,NO,2008-01-01,4.0
TOTAL,TOTAL,PC_POP,TOTAL,F,NO,2009-01-01,4.0
TOTAL,TOTAL,PC_POP,TOTAL,F,NO,2010-01-01,4.0
