unit,nace_r2,tax,geotime,date,value
MIO_EUR,TOTAL_HH_NRES,NRG,EA19,2009-01-01,161155
MIO_EUR,TOTAL_HH_NRES,NRG,EA19,2010-01-01,165472
MIO_EUR,TOTAL_HH_NRES,NRG,EA19,2011-01-01,175307
MIO_EUR,TOTAL_HH_NRES,NRG,EA19,2012-01-01,180928
MIO_EUR,TOTAL_HH_NRES,NRG,EA19,2013-01-01,185610
MIO_EUR,TOTAL_HH_NRES,NRG,EA19,2014-01-01,190193
MIO_EUR,TOTAL_HH_NRES,NRG,EA19,2015-01-01,194221
MIO_EUR,TOTAL_HH_NRES,NRG,EA19,2016-01-01,201099
MIO_EUR,TOTAL_HH_NRES,NRG,EE,1995-01-01,16
MIO_EUR,TOTAL_HH_NRES,NRG,EE,1996-01-01,38
MIO_EUR,TOTAL_HH_NRES,NRG,EE,1997-01-01,53
MIO_EUR,TOTAL_HH_NRES,NRG,EE,1998-01-01,79
MIO_EUR,TOTAL_HH_NRES,NRG,EE,1999-01-01,72
MIO_EUR,TOTAL_HH_NRES,NRG,EE,2000-01-01,76
MIO_EUR,TOTAL_HH_NRES,NRG,EE,2001-01-01,111
MIO_EUR,TOTAL_HH_NRES,NRG,EE,2002-01-01,116
MIO_EUR,TOTAL_HH_NRES,NRG,EE,2003-01-01,133
MIO_EUR,TOTAL_HH_NRES,NRG,EE,2004-01-01,173
MIO_EUR,TOTAL_HH_NRES,NRG,EE,2005-01-01,215
MIO_EUR,TOTAL_HH_NRES,NRG,EE,2006-01-01,243
MIO_EUR,TOTAL_HH_NRES,NRG,EE,2007-01-01,291
MIO_EUR,TOTAL_HH_NRES,NRG,EE,2008-01-01,317
MIO_EUR,TOTAL_HH_NRES,NRG,EE,2009-01-01,352
MIO_EUR,TOTAL_HH_NRES,NRG,EE,2010-01-01,378
MIO_EUR,TOTAL_HH_NRES,NRG,EE,2011-01-01,395
MIO_EUR,TOTAL_HH_NRES,NRG,EE,2012-01-01,431
MIO_EUR,TOTAL_HH_NRES,NRG,EE,2013-01-01,420
MIO_EUR,TOTAL_HH_NRES,NRG,EE,2014-01-01,463
MIO_EUR,TOTAL_HH_NRES,NRG,EE,2015-01-01,491
MIO_EUR,TOTAL_HH_NRES,NRG,EE,2016-01-01,567
MIO_EUR,TOTAL_HH_NRES,NRG,EL,1995-01-01,2410
MIO_EUR,TOTAL_HH_NRES,NRG,EL,1996-01-01,2647
MIO_EUR,TOTAL_HH_NRES,NRG,EL,1997-01-01,2619
MIO_EUR,TOTAL_HH_NRES,NRG,EL,1998-01-01,2396
MIO_EUR,TOTAL_HH_NRES,NRG,EL,1999-01-01,2257
MIO_EUR,TOTAL_HH_NRES,NRG,EL,2000-01-01,2040
MIO_EUR,TOTAL_HH_NRES,NRG,EL,2001-01-01,2142
MIO_EUR,TOTAL_HH_NRES,NRG,EL,2002-01-01,2174
MIO_EUR,TOTAL_HH_NRES,NRG,EL,2003-01-01,2329
MIO_EUR,TOTAL_HH_NRES,NRG,EL,2004-01-01,2378
MIO_EUR,TOTAL_HH_NRES,NRG,EL,2005-01-01,2446
MIO_EUR,TOTAL_HH_NRES,NRG,EL,2006-01-01,2496
MIO_EUR,TOTAL_HH_NRES,NRG,EL,2007-01-01,2756
MIO_EUR,TOTAL_HH_NRES,NRG,EL,2008-01-01,2696
MIO_EUR,TOTAL_HH_NRES,NRG,EL,2009-01-01,2801
MIO_EUR,TOTAL_HH_NRES,NRG,EL,2010-01-01,4216
MIO_EUR,TOTAL_HH_NRES,NRG,EL,2011-01-01,4310
MIO_EUR,TOTAL_HH_NRES,NRG,EL,2012-01-01,4802
MIO_EUR,TOTAL_HH_NRES,NRG,EL,2013-01-01,5141
MIO_EUR,TOTAL_HH_NRES,NRG,EL,2014-01-01,5214
MIO_EUR,TOTAL_HH_NRES,NRG,EL,2015-01-01,5189
MIO_EUR,TOTAL_HH_NRES,NRG,EL,2016-01-01,5266
MIO_EUR,TOTAL_HH_NRES,NRG,ES,1995-01-01,8160
MIO_EUR,TOTAL_HH_NRES,NRG,ES,1996-01-01,8789
MIO_EUR,TOTAL_HH_NRES,NRG,ES,1997-01-01,8784
MIO_EUR,TOTAL_HH_NRES,NRG,ES,1998-01-01,9937
MIO_EUR,TOTAL_HH_NRES,NRG,ES,1999-01-01,10703
MIO_EUR,TOTAL_HH_NRES,NRG,ES,2000-01-01,10956
MIO_EUR,TOTAL_HH_NRES,NRG,ES,2001-01-01,11218
MIO_EUR,TOTAL_HH_NRES,NRG,ES,2002-01-01,12089
MIO_EUR,TOTAL_HH_NRES,NRG,ES,2003-01-01,12786
MIO_EUR,TOTAL_HH_NRES,NRG,ES,2004-01-01,13303
MIO_EUR,TOTAL_HH_NRES,NRG,ES,2005-01-01,13698
MIO_EUR,TOTAL_HH_NRES,NRG,ES,2006-01-01,14071
MIO_EUR,TOTAL_HH_NRES,NRG,ES,2007-01-01,14589
MIO_EUR,TOTAL_HH_NRES,NRG,ES,2008-01-01,14448
MIO_EUR,TOTAL_HH_NRES,NRG,ES,2009-01-01,14083
MIO_EUR,TOTAL_HH_NRES,NRG,ES,2010-01-01,14420
MIO_EUR,TOTAL_HH_NRES,NRG,ES,2011-01-01,13808
MIO_EUR,TOTAL_HH_NRES,NRG,ES,2012-01-01,13292
MIO_EUR,TOTAL_HH_NRES,NRG,ES,2013-01-01,16158
MIO_EUR,TOTAL_HH_NRES,NRG,ES,2014-01-01,16144
MIO_EUR,TOTAL_HH_NRES,NRG,ES,2015-01-01,17429
MIO_EUR,TOTAL_HH_NRES,NRG,ES,2016-01-01,17130
MIO_EUR,TOTAL_HH_NRES,NRG,EU28,1995-01-01,144865
MIO_EUR,TOTAL_HH_NRES,NRG,EU28,1996-01-01,154901
MIO_EUR,TOTAL_HH_NRES,NRG,EU28,1997-01-01,162647
MIO_EUR,TOTAL_HH_NRES,NRG,EU28,1998-01-01,171220
MIO_EUR,TOTAL_HH_NRES,NRG,EU28,1999-01-01,184815
