age,unit,indic_em,geo\time,date,value
Y20-64,PC_POP,EMP_LFS,FR,2005-01-01,: 
Y20-64,PC_POP,EMP_LFS,FR,2006-01-01,: 
Y20-64,PC_POP,EMP_LFS,FR,2007-01-01,: 
Y20-64,PC_POP,EMP_LFS,FR,2008-01-01,: 
Y20-64,PC_POP,EMP_LFS,FR,2009-01-01,: 
Y20-64,PC_POP,EMP_LFS,FR,2010-01-01,: 
Y20-64,PC_POP,EMP_LFS,FR,2011-01-01,: 
Y20-64,PC_POP,EMP_LFS,FR,2012-01-01,: 
Y20-64,PC_POP,EMP_LFS,FR,2013-01-01,: 
Y20-64,PC_POP,EMP_LFS,FR,2014-01-01,7.5 
Y20-64,PC_POP,EMP_LFS,FR,2015-01-01,7.2 
Y20-64,PC_POP,EMP_LFS,FR,2016-01-01,7.5 
Y20-64,PC_POP,EMP_LFS,FR,2017-01-01,7.9 
Y20-64,PC_POP,EMP_LFS,FX,2000-01-01,15.5 e
Y20-64,PC_POP,EMP_LFS,FX,2001-01-01,15.1 e
Y20-64,PC_POP,EMP_LFS,FX,2002-01-01,13.6 e
Y20-64,PC_POP,EMP_LFS,FX,2003-01-01,12.6 b
Y20-64,PC_POP,EMP_LFS,FX,2004-01-01,12.3 
Y20-64,PC_POP,EMP_LFS,FX,2005-01-01,11.7 
Y20-64,PC_POP,EMP_LFS,FX,2006-01-01,11.2 
Y20-64,PC_POP,EMP_LFS,FX,2007-01-01,10.2 
Y20-64,PC_POP,EMP_LFS,FX,2008-01-01,10.1 
Y20-64,PC_POP,EMP_LFS,FX,2009-01-01,9.3 
Y20-64,PC_POP,EMP_LFS,FX,2010-01-01,9.1 
Y20-64,PC_POP,EMP_LFS,FX,2011-01-01,9.3 
Y20-64,PC_POP,EMP_LFS,FX,2012-01-01,8.8 
Y20-64,PC_POP,EMP_LFS,FX,2013-01-01,8.1 
Y20-64,PC_POP,EMP_LFS,FX,2014-01-01,7.4 
Y20-64,PC_POP,EMP_LFS,FX,2015-01-01,7.1 
Y20-64,PC_POP,EMP_LFS,FX,2016-01-01,7.4 
Y20-64,PC_POP,EMP_LFS,FX,2017-01-01,7.8 
Y20-64,PC_POP,EMP_LFS,HR,2000-01-01,: 
Y20-64,PC_POP,EMP_LFS,HR,2001-01-01,: 
Y20-64,PC_POP,EMP_LFS,HR,2002-01-01,: 
Y20-64,PC_POP,EMP_LFS,HR,2003-01-01,15.0 e
Y20-64,PC_POP,EMP_LFS,HR,2004-01-01,15.3 e
Y20-64,PC_POP,EMP_LFS,HR,2005-01-01,14.5 e
Y20-64,PC_POP,EMP_LFS,HR,2006-01-01,14.1 e
Y20-64,PC_POP,EMP_LFS,HR,2007-01-01,16.2 
Y20-64,PC_POP,EMP_LFS,HR,2008-01-01,15.9 
Y20-64,PC_POP,EMP_LFS,HR,2009-01-01,12.5 
Y20-64,PC_POP,EMP_LFS,HR,2010-01-01,11.5 
Y20-64,PC_POP,EMP_LFS,HR,2011-01-01,12.5 
Y20-64,PC_POP,EMP_LFS,HR,2012-01-01,11.1 
Y20-64,PC_POP,EMP_LFS,HR,2013-01-01,8.8 
Y20-64,PC_POP,EMP_LFS,HR,2014-01-01,10.0 
Y20-64,PC_POP,EMP_LFS,HR,2015-01-01,9.5 
Y20-64,PC_POP,EMP_LFS,HR,2016-01-01,9.6 
Y20-64,PC_POP,EMP_LFS,HR,2017-01-01,10.6 
Y20-64,PC_POP,EMP_LFS,HU,2000-01-01,15.0 
Y20-64,PC_POP,EMP_LFS,HU,2001-01-01,14.8 b
Y20-64,PC_POP,EMP_LFS,HU,2002-01-01,14.7 
Y20-64,PC_POP,EMP_LFS,HU,2003-01-01,14.1 
Y20-64,PC_POP,EMP_LFS,HU,2004-01-01,13.9 
Y20-64,PC_POP,EMP_LFS,HU,2005-01-01,13.6 
