coicop,unit,geo\time,date,value
CP06,I15,RO,2018-07-01,101.86 
CP06,I15,RO,2018-08-01,101.95 
CP06,I15,RO,2018-09-01,102.09 
CP06,I15,RS,2017-10-01,105.3 d
CP06,I15,RS,2017-11-01,105.3 d
CP06,I15,RS,2017-12-01,105.3 d
CP06,I15,RS,2018-01-01,105.5 d
CP06,I15,RS,2018-02-01,105.4 d
CP06,I15,RS,2018-03-01,105.9 d
CP06,I15,RS,2018-04-01,106.0 d
CP06,I15,RS,2018-05-01,106.4 d
CP06,I15,RS,2018-06-01,106.3 d
CP06,I15,RS,2018-07-01,106.4 d
CP06,I15,RS,2018-08-01,106.5 d
CP06,I15,RS,2018-09-01,106.9 d
CP06,I15,SE,2017-10-01,100.55 
CP06,I15,SE,2017-11-01,101.34 
CP06,I15,SE,2017-12-01,101.18 
CP06,I15,SE,2018-01-01,100.87 
CP06,I15,SE,2018-02-01,101.34 
CP06,I15,SE,2018-03-01,101.00 
CP06,I15,SE,2018-04-01,101.31 
CP06,I15,SE,2018-05-01,102.23 
CP06,I15,SE,2018-06-01,101.94 
CP06,I15,SE,2018-07-01,101.24 
CP06,I15,SE,2018-08-01,101.26 
CP06,I15,SE,2018-09-01,100.11 
CP06,I15,SI,2017-10-01,101.28 
CP06,I15,SI,2017-11-01,101.24 
CP06,I15,SI,2017-12-01,101.25 
CP06,I15,SI,2018-01-01,101.12 
CP06,I15,SI,2018-02-01,101.29 
CP06,I15,SI,2018-03-01,103.22 
CP06,I15,SI,2018-04-01,103.08 
CP06,I15,SI,2018-05-01,103.01 
CP06,I15,SI,2018-06-01,102.96 
CP06,I15,SI,2018-07-01,103.08 
CP06,I15,SI,2018-08-01,102.92 
CP06,I15,SI,2018-09-01,102.89 
CP06,I15,SK,2017-10-01,104.50 
CP06,I15,SK,2017-11-01,104.45 
CP06,I15,SK,2017-12-01,104.42 
CP06,I15,SK,2018-01-01,104.96 
CP06,I15,SK,2018-02-01,105.25 
CP06,I15,SK,2018-03-01,105.55 
CP06,I15,SK,2018-04-01,105.74 
CP06,I15,SK,2018-05-01,105.86 
CP06,I15,SK,2018-06-01,106.07 
CP06,I15,SK,2018-07-01,106.24 
CP06,I15,SK,2018-08-01,106.25 
CP06,I15,SK,2018-09-01,106.08 
CP06,I15,TR,2017-10-01,125.14 d
CP06,I15,TR,2017-11-01,125.40 d
CP06,I15,TR,2017-12-01,125.69 d
CP06,I15,TR,2018-01-01,128.73 d
CP06,I15,TR,2018-02-01,132.04 d
CP06,I15,TR,2018-03-01,134.55 d
CP06,I15,TR,2018-04-01,135.16 d
CP06,I15,TR,2018-05-01,135.63 d
CP06,I15,TR,2018-06-01,136.77 d
CP06,I15,TR,2018-07-01,138.41 d
CP06,I15,TR,2018-08-01,139.62 d
CP06,I15,TR,2018-09-01,142.84 d
CP06,I15,UK,2017-10-01,105.4 
CP06,I15,UK,2017-11-01,105.5 
CP06,I15,UK,2017-12-01,105.6 
CP06,I15,UK,2018-01-01,106.2 
CP06,I15,UK,2018-02-01,106.3 
CP06,I15,UK,2018-03-01,106.4 
CP06,I15,UK,2018-04-01,107.5 
CP06,I15,UK,2018-05-01,107.4 
CP06,I15,UK,2018-06-01,107.6 
CP06,I15,UK,2018-07-01,107.7 
CP06,I15,UK,2018-08-01,108.0 
CP06,I15,UK,2018-09-01,: 
CP06,I15,US,2017-10-01,106.44 d
CP06,I15,US,2017-11-01,106.54 d
CP06,I15,US,2017-12-01,106.70 d
CP06,I15,US,2018-01-01,107.46 d
CP06,I15,US,2018-02-01,107.87 d
CP06,I15,US,2018-03-01,108.14 d
CP06,I15,US,2018-04-01,108.17 d
CP06,I15,US,2018-05-01,108.38 d
CP06,I15,US,2018-06-01,108.64 d
CP06,I15,US,2018-07-01,108.44 d
CP06,I15,US,2018-08-01,108.23 d
CP06,I15,US,2018-09-01,108.18 d
CP06,PCH_M1,AT,2017-10-01,0.6 
CP06,PCH_M1,AT,2017-11-01,0.2 
CP06,PCH_M1,AT,2017-12-01,0.2 
CP06,PCH_M1,AT,2018-01-01,1.3 
CP06,PCH_M1,AT,2018-02-01,-0.3 
CP06,PCH_M1,AT,2018-03-01,-0.2 
CP06,PCH_M1,AT,2018-04-01,0.4 
CP06,PCH_M1,AT,2018-05-01,0.1 
CP06,PCH_M1,AT,2018-06-01,0.4 
CP06,PCH_M1,AT,2018-07-01,0.4 
CP06,PCH_M1,AT,2018-08-01,-0.3 
CP06,PCH_M1,AT,2018-09-01,0.0 
CP06,PCH_M1,BE,2017-10-01,0.1 
CP06,PCH_M1,BE,2017-11-01,0.1 
CP06,PCH_M1,BE,2017-12-01,0.1 
CP06,PCH_M1,BE,2018-01-01,0.9 
CP06,PCH_M1,BE,2018-02-01,0.2 
CP06,PCH_M1,BE,2018-03-01,0.1 
CP06,PCH_M1,BE,2018-04-01,-0.1 
CP06,PCH_M1,BE,2018-05-01,0.0 
CP06,PCH_M1,BE,2018-06-01,0.1 
CP06,PCH_M1,BE,2018-07-01,0.1 
CP06,PCH_M1,BE,2018-08-01,0.1 
CP06,PCH_M1,BE,2018-09-01,0.0 
CP06,PCH_M1,BG,2017-10-01,0.0 
CP06,PCH_M1,BG,2017-11-01,0.1 
CP06,PCH_M1,BG,2017-12-01,0.0 
CP06,PCH_M1,BG,2018-01-01,0.0 
CP06,PCH_M1,BG,2018-02-01,0.1 
CP06,PCH_M1,BG,2018-03-01,-0.1 
CP06,PCH_M1,BG,2018-04-01,0.0 
CP06,PCH_M1,BG,2018-05-01,0.0 
CP06,PCH_M1,BG,2018-06-01,0.1 
CP06,PCH_M1,BG,2018-07-01,0.0 
CP06,PCH_M1,BG,2018-08-01,0.1 
CP06,PCH_M1,BG,2018-09-01,0.0 
CP06,PCH_M1,CH,2017-10-01,0.0 
CP06,PCH_M1,CH,2017-11-01,0.0 
CP06,PCH_M1,CH,2017-12-01,0.0 
CP06,PCH_M1,CH,2018-01-01,-0.7 
CP06,PCH_M1,CH,2018-02-01,-0.1 
CP06,PCH_M1,CH,2018-03-01,-0.4 
CP06,PCH_M1,CH,2018-04-01,-0.1 
CP06,PCH_M1,CH,2018-05-01,-0.1 
CP06,PCH_M1,CH,2018-06-01,0.1 
CP06,PCH_M1,CH,2018-07-01,0.7 
CP06,PCH_M1,CH,2018-08-01,0.0 
CP06,PCH_M1,CH,2018-09-01,-0.1 
CP06,PCH_M1,CY,2017-10-01,0.0 
CP06,PCH_M1,CY,2017-11-01,0.0 
CP06,PCH_M1,CY,2017-12-01,0.0 
CP06,PCH_M1,CY,2018-01-01,-0.1 
CP06,PCH_M1,CY,2018-02-01,0.0 
CP06,PCH_M1,CY,2018-03-01,-0.1 
CP06,PCH_M1,CY,2018-04-01,0.0 
CP06,PCH_M1,CY,2018-05-01,0.1 
CP06,PCH_M1,CY,2018-06-01,-0.6 
CP06,PCH_M1,CY,2018-07-01,0.4 
CP06,PCH_M1,CY,2018-08-01,0.0 
CP06,PCH_M1,CY,2018-09-01,0.0 
CP06,PCH_M1,CZ,2017-10-01,-0.4 
CP06,PCH_M1,CZ,2017-11-01,-0.1 
CP06,PCH_M1,CZ,2017-12-01,-0.2 
CP06,PCH_M1,CZ,2018-01-01,0.7 
CP06,PCH_M1,CZ,2018-02-01,0.2 
CP06,PCH_M1,CZ,2018-03-01,0.6 
CP06,PCH_M1,CZ,2018-04-01,0.6 
CP06,PCH_M1,CZ,2018-05-01,0.6 
CP06,PCH_M1,CZ,2018-06-01,0.4 
CP06,PCH_M1,CZ,2018-07-01,0.3 
CP06,PCH_M1,CZ,2018-08-01,0.3 
CP06,PCH_M1,CZ,2018-09-01,-0.3 
CP06,PCH_M1,DE,2017-10-01,0.0 
CP06,PCH_M1,DE,2017-11-01,0.0 
CP06,PCH_M1,DE,2017-12-01,0.0 
CP06,PCH_M1,DE,2018-01-01,0.2 
CP06,PCH_M1,DE,2018-02-01,0.1 
CP06,PCH_M1,DE,2018-03-01,0.2 
CP06,PCH_M1,DE,2018-04-01,0.2 
CP06,PCH_M1,DE,2018-05-01,0.1 
CP06,PCH_M1,DE,2018-06-01,0.1 
CP06,PCH_M1,DE,2018-07-01,0.1 
CP06,PCH_M1,DE,2018-08-01,0.1 
CP06,PCH_M1,DE,2018-09-01,0.1 
CP06,PCH_M1,DK,2017-10-01,1.0 
CP06,PCH_M1,DK,2017-11-01,0.0 
CP06,PCH_M1,DK,2017-12-01,-0.2 
CP06,PCH_M1,DK,2018-01-01,-0.7 
CP06,PCH_M1,DK,2018-02-01,0.4 
CP06,PCH_M1,DK,2018-03-01,0.4 
CP06,PCH_M1,DK,2018-04-01,0.4 
CP06,PCH_M1,DK,2018-05-01,-0.2 
CP06,PCH_M1,DK,2018-06-01,0.1 
CP06,PCH_M1,DK,2018-07-01,-0.1 
CP06,PCH_M1,DK,2018-08-01,0.0 
CP06,PCH_M1,DK,2018-09-01,-0.2 
CP06,PCH_M1,EA,2017-10-01,0.1 
CP06,PCH_M1,EA,2017-11-01,0.0 
CP06,PCH_M1,EA,2017-12-01,0.1 
CP06,PCH_M1,EA,2018-01-01,0.2 
CP06,PCH_M1,EA,2018-02-01,0.1 
CP06,PCH_M1,EA,2018-03-01,0.0 
CP06,PCH_M1,EA,2018-04-01,0.2 
CP06,PCH_M1,EA,2018-05-01,0.1 
CP06,PCH_M1,EA,2018-06-01,0.1 
CP06,PCH_M1,EA,2018-07-01,0.0 
CP06,PCH_M1,EA,2018-08-01,-0.2 
CP06,PCH_M1,EA,2018-09-01,0.2 
CP06,PCH_M1,EA18,2017-10-01,0.1 
CP06,PCH_M1,EA18,2017-11-01,0.0 
CP06,PCH_M1,EA18,2017-12-01,0.1 
CP06,PCH_M1,EA18,2018-01-01,0.2 
CP06,PCH_M1,EA18,2018-02-01,0.1 
CP06,PCH_M1,EA18,2018-03-01,0.0 
CP06,PCH_M1,EA18,2018-04-01,0.2 
CP06,PCH_M1,EA18,2018-05-01,0.0 
CP06,PCH_M1,EA18,2018-06-01,0.1 
CP06,PCH_M1,EA18,2018-07-01,0.0 
CP06,PCH_M1,EA18,2018-08-01,-0.2 
CP06,PCH_M1,EA18,2018-09-01,0.2 
CP06,PCH_M1,EA19,2017-10-01,0.1 
CP06,PCH_M1,EA19,2017-11-01,0.0 
CP06,PCH_M1,EA19,2017-12-01,0.1 
