unit,indic,geotime,date,value
PC,INV_GOV,EE,2001-01-01,4
PC,INV_GOV,EE,2002-01-01,5
PC,INV_GOV,EE,2003-01-01,5
PC,INV_GOV,EE,2004-01-01,4
PC,INV_GOV,EE,2005-01-01,4
PC,INV_GOV,EE,2006-01-01,5
PC,INV_GOV,EE,2007-01-01,6
PC,INV_GOV,EE,2008-01-01,6
PC,INV_GOV,EE,2009-01-01,6
PC,INV_GOV,EE,2010-01-01,4
PC,INV_GOV,EE,2011-01-01,4
PC,INV_GOV,EE,2012-01-01,6
PC,INV_GOV,EE,2013-01-01,5
PC,INV_GOV,EE,2014-01-01,5
PC,INV_GOV,EE,2015-01-01,5
PC,INV_GOV,EE,2016-01-01,4
PC,INV_GOV,EE,2017-01-01,
PC,INV_GOV,EL,2000-01-01,5
PC,INV_GOV,EL,2001-01-01,5
PC,INV_GOV,EL,2002-01-01,4
PC,INV_GOV,EL,2003-01-01,5
PC,INV_GOV,EL,2004-01-01,5
PC,INV_GOV,EL,2005-01-01,4
PC,INV_GOV,EL,2006-01-01,5
PC,INV_GOV,EL,2007-01-01,4
PC,INV_GOV,EL,2008-01-01,5
PC,INV_GOV,EL,2009-01-01,5
PC,INV_GOV,EL,2010-01-01,3
PC,INV_GOV,EL,2011-01-01,2
PC,INV_GOV,EL,2012-01-01,2
PC,INV_GOV,EL,2013-01-01,3
PC,INV_GOV,EL,2014-01-01,3
PC,INV_GOV,EL,2015-01-01,3
PC,INV_GOV,EL,2016-01-01,3
PC,INV_GOV,EL,2017-01-01,
PC,INV_GOV,ES,2000-01-01,3
PC,INV_GOV,ES,2001-01-01,3
PC,INV_GOV,ES,2002-01-01,4
PC,INV_GOV,ES,2003-01-01,4
PC,INV_GOV,ES,2004-01-01,3
PC,INV_GOV,ES,2005-01-01,4
PC,INV_GOV,ES,2006-01-01,4
PC,INV_GOV,ES,2007-01-01,4
PC,INV_GOV,ES,2008-01-01,4
PC,INV_GOV,ES,2009-01-01,5
PC,INV_GOV,ES,2010-01-01,4
PC,INV_GOV,ES,2011-01-01,3
PC,INV_GOV,ES,2012-01-01,2
PC,INV_GOV,ES,2013-01-01,2
PC,INV_GOV,ES,2014-01-01,2
PC,INV_GOV,ES,2015-01-01,2
PC,INV_GOV,ES,2016-01-01,1
PC,INV_GOV,ES,2017-01-01,
PC,INV_GOV,EU28,2000-01-01,2
PC,INV_GOV,EU28,2001-01-01,2
PC,INV_GOV,EU28,2002-01-01,2
PC,INV_GOV,EU28,2003-01-01,3
PC,INV_GOV,EU28,2004-01-01,3
PC,INV_GOV,EU28,2005-01-01,3
PC,INV_GOV,EU28,2006-01-01,3
PC,INV_GOV,EU28,2007-01-01,3
PC,INV_GOV,EU28,2008-01-01,3
PC,INV_GOV,EU28,2009-01-01,3
PC,INV_GOV,EU28,2010-01-01,3
PC,INV_GOV,EU28,2011-01-01,3
PC,INV_GOV,EU28,2012-01-01,3
PC,INV_GOV,EU28,2013-01-01,2
PC,INV_GOV,EU28,2014-01-01,2
PC,INV_GOV,EU28,2015-01-01,2
PC,INV_GOV,EU28,2016-01-01,2
PC,INV_GOV,EU28,2017-01-01,2
PC,INV_GOV,FI,2000-01-01,3
PC,INV_GOV,FI,2001-01-01,3
PC,INV_GOV,FI,2002-01-01,3
PC,INV_GOV,FI,2003-01-01,3
PC,INV_GOV,FI,2004-01-01,3
PC,INV_GOV,FI,2005-01-01,3
PC,INV_GOV,FI,2006-01-01,3
PC,INV_GOV,FI,2007-01-01,3
PC,INV_GOV,FI,2008-01-01,3
PC,INV_GOV,FI,2009-01-01,3
