coicop,unit,geotime,date,value
CP00,PCH_M1,BG,2018-03-01,-0.2
CP00,PCH_M1,BG,2018-04-01,0.3
CP00,PCH_M1,BG,2018-05-01,0.4
CP00,PCH_M1,BG,2018-06-01,0.5
CP00,PCH_M1,BG,2018-07-01,1.0
CP00,PCH_M1,BG,2018-08-01,0.3
CP00,PCH_M1,BG,2018-09-01,-0.3
CP00,PCH_M1,CH,2017-10-01,0.1
CP00,PCH_M1,CH,2017-11-01,-0.3
CP00,PCH_M1,CH,2017-12-01,0.2
CP00,PCH_M1,CH,2018-01-01,-0.5
CP00,PCH_M1,CH,2018-02-01,0.3
CP00,PCH_M1,CH,2018-03-01,0.3
CP00,PCH_M1,CH,2018-04-01,0.2
CP00,PCH_M1,CH,2018-05-01,0.4
CP00,PCH_M1,CH,2018-06-01,0.0
CP00,PCH_M1,CH,2018-07-01,0.4
CP00,PCH_M1,CH,2018-08-01,0.0
CP00,PCH_M1,CH,2018-09-01,0.0
CP00,PCH_M1,CY,2017-10-01,-0.6
CP00,PCH_M1,CY,2017-11-01,-1.2
CP00,PCH_M1,CY,2017-12-01,-0.3
CP00,PCH_M1,CY,2018-01-01,-1.9
CP00,PCH_M1,CY,2018-02-01,1.2
CP00,PCH_M1,CY,2018-03-01,0.9
CP00,PCH_M1,CY,2018-04-01,1.1
CP00,PCH_M1,CY,2018-05-01,1.4
CP00,PCH_M1,CY,2018-06-01,1.0
CP00,PCH_M1,CY,2018-07-01,-0.2
CP00,PCH_M1,CY,2018-08-01,1.2
CP00,PCH_M1,CY,2018-09-01,-0.8
CP00,PCH_M1,CZ,2017-10-01,0.5
CP00,PCH_M1,CZ,2017-11-01,0.1
CP00,PCH_M1,CZ,2017-12-01,0.0
CP00,PCH_M1,CZ,2018-01-01,0.7
CP00,PCH_M1,CZ,2018-02-01,-0.1
CP00,PCH_M1,CZ,2018-03-01,0.0
CP00,PCH_M1,CZ,2018-04-01,0.3
CP00,PCH_M1,CZ,2018-05-01,0.5
CP00,PCH_M1,CZ,2018-06-01,0.4
CP00,PCH_M1,CZ,2018-07-01,0.2
CP00,PCH_M1,CZ,2018-08-01,0.0
CP00,PCH_M1,CZ,2018-09-01,-0.4
CP00,PCH_M1,DE,2017-10-01,-0.1
CP00,PCH_M1,DE,2017-11-01,0.3
CP00,PCH_M1,DE,2017-12-01,0.8
CP00,PCH_M1,DE,2018-01-01,-1.0
CP00,PCH_M1,DE,2018-02-01,0.5
CP00,PCH_M1,DE,2018-03-01,0.4
CP00,PCH_M1,DE,2018-04-01,-0.1
CP00,PCH_M1,DE,2018-05-01,0.6
CP00,PCH_M1,DE,2018-06-01,0.1
CP00,PCH_M1,DE,2018-07-01,0.4
CP00,PCH_M1,DE,2018-08-01,0.0
CP00,PCH_M1,DE,2018-09-01,0.4
CP00,PCH_M1,DK,2017-10-01,0.1
CP00,PCH_M1,DK,2017-11-01,-0.3
CP00,PCH_M1,DK,2017-12-01,-0.4
CP00,PCH_M1,DK,2018-01-01,-0.3
CP00,PCH_M1,DK,2018-02-01,0.6
CP00,PCH_M1,DK,2018-03-01,0.0
CP00,PCH_M1,DK,2018-04-01,0.6
CP00,PCH_M1,DK,2018-05-01,0.2
CP00,PCH_M1,DK,2018-06-01,-0.1
CP00,PCH_M1,DK,2018-07-01,0.8
CP00,PCH_M1,DK,2018-08-01,-0.5
CP00,PCH_M1,DK,2018-09-01,-0.2
CP00,PCH_M1,EA,2017-10-01,0.1
CP00,PCH_M1,EA,2017-11-01,0.1
CP00,PCH_M1,EA,2017-12-01,0.4
CP00,PCH_M1,EA,2018-01-01,-0.9
CP00,PCH_M1,EA,2018-02-01,0.2
CP00,PCH_M1,EA,2018-03-01,1.0
CP00,PCH_M1,EA,2018-04-01,0.3
CP00,PCH_M1,EA,2018-05-01,0.5
CP00,PCH_M1,EA,2018-06-01,0.1
CP00,PCH_M1,EA,2018-07-01,-0.3
CP00,PCH_M1,EA,2018-08-01,0.2
CP00,PCH_M1,EA,2018-09-01,0.5
CP00,PCH_M1,EA18,2017-10-01,0.1
CP00,PCH_M1,EA18,2017-11-01,0.1
CP00,PCH_M1,EA18,2017-12-01,0.4
CP00,PCH_M1,EA18,2018-01-01,-0.9
CP00,PCH_M1,EA18,2018-02-01,0.2
CP00,PCH_M1,EA18,2018-03-01,1.0
CP00,PCH_M1,EA18,2018-04-01,0.3
CP00,PCH_M1,EA18,2018-05-01,0.5
CP00,PCH_M1,EA18,2018-06-01,0.1
CP00,PCH_M1,EA18,2018-07-01,-0.3
CP00,PCH_M1,EA18,2018-08-01,0.1
CP00,PCH_M1,EA18,2018-09-01,0.5
CP00,PCH_M1,EA19,2017-10-01,0.1
CP00,PCH_M1,EA19,2017-11-01,0.1
CP00,PCH_M1,EA19,2017-12-01,0.4
CP00,PCH_M1,EA19,2018-01-01,-0.9
CP00,PCH_M1,EA19,2018-02-01,0.2
CP00,PCH_M1,EA19,2018-03-01,1.0
CP00,PCH_M1,EA19,2018-04-01,0.3
CP00,PCH_M1,EA19,2018-05-01,0.5
CP00,PCH_M1,EA19,2018-06-01,0.1
CP00,PCH_M1,EA19,2018-07-01,-0.3
CP00,PCH_M1,EA19,2018-08-01,0.2
CP00,PCH_M1,EA19,2018-09-01,0.5
CP00,PCH_M1,EE,2017-10-01,-0.4
CP00,PCH_M1,EE,2017-11-01,0.4
CP00,PCH_M1,EE,2017-12-01,-0.4
CP00,PCH_M1,EE,2018-01-01,0.1
CP00,PCH_M1,EE,2018-02-01,1.0
CP00,PCH_M1,EE,2018-03-01,0.1
CP00,PCH_M1,EE,2018-04-01,0.6
CP00,PCH_M1,EE,2018-05-01,0.5
CP00,PCH_M1,EE,2018-06-01,1.0
CP00,PCH_M1,EE,2018-07-01,0.2
CP00,PCH_M1,EE,2018-08-01,0.6
CP00,PCH_M1,EE,2018-09-01,-0.3
CP00,PCH_M1,EL,2017-10-01,-0.1
CP00,PCH_M1,EL,2017-11-01,-0.9
CP00,PCH_M1,EL,2017-12-01,0.3
CP00,PCH_M1,EL,2018-01-01,-1.2
CP00,PCH_M1,EL,2018-02-01,0.1
