waste,stk_flow,wst_oper,unit,geotime,date,value
W1501,DOM,RCY,PC,IT,2005-01-01,53
W1501,DOM,RCY,PC,IT,2006-01-01,54
W1501,DOM,RCY,PC,IT,2007-01-01,56
W1501,DOM,RCY,PC,IT,2008-01-01,59
W1501,DOM,RCY,PC,IT,2009-01-01,64
W1501,DOM,RCY,PC,IT,2010-01-01,64
W1501,DOM,RCY,PC,IT,2011-01-01,64
W1501,DOM,RCY,PC,IT,2012-01-01,
W1501,DOM,RCY,PC,IT,2013-01-01,66
W1501,DOM,RCY,PC,IT,2014-01-01,65
W1501,DOM,RCY,PC,IT,2015-01-01,
W1501,DOM,RCY,PC,IT,2016-01-01,66
W1501,DOM,RCY,PC,LI,2000-01-01,
W1501,DOM,RCY,PC,LI,2001-01-01,
W1501,DOM,RCY,PC,LI,2002-01-01,
W1501,DOM,RCY,PC,LI,2003-01-01,
W1501,DOM,RCY,PC,LI,2004-01-01,
W1501,DOM,RCY,PC,LI,2005-01-01,
W1501,DOM,RCY,PC,LI,2006-01-01,48
W1501,DOM,RCY,PC,LI,2007-01-01,48
W1501,DOM,RCY,PC,LI,2008-01-01,47
W1501,DOM,RCY,PC,LI,2009-01-01,50
W1501,DOM,RCY,PC,LI,2010-01-01,45
W1501,DOM,RCY,PC,LI,2011-01-01,48
W1501,DOM,RCY,PC,LI,2012-01-01,
W1501,DOM,RCY,PC,LI,2013-01-01,50
W1501,DOM,RCY,PC,LI,2014-01-01,51
W1501,DOM,RCY,PC,LI,2015-01-01,
W1501,DOM,RCY,PC,LI,2016-01-01,65
W1501,DOM,RCY,PC,LT,2000-01-01,
W1501,DOM,RCY,PC,LT,2001-01-01,
W1501,DOM,RCY,PC,LT,2002-01-01,
W1501,DOM,RCY,PC,LT,2003-01-01,
W1501,DOM,RCY,PC,LT,2004-01-01,32
W1501,DOM,RCY,PC,LT,2005-01-01,32
W1501,DOM,RCY,PC,LT,2006-01-01,37
W1501,DOM,RCY,PC,LT,2007-01-01,42
W1501,DOM,RCY,PC,LT,2008-01-01,51
W1501,DOM,RCY,PC,LT,2009-01-01,57
W1501,DOM,RCY,PC,LT,2010-01-01,60
W1501,DOM,RCY,PC,LT,2011-01-01,62
W1501,DOM,RCY,PC,LT,2012-01-01,
W1501,DOM,RCY,PC,LT,2013-01-01,53
W1501,DOM,RCY,PC,LT,2014-01-01,57
W1501,DOM,RCY,PC,LT,2015-01-01,
W1501,DOM,RCY,PC,LT,2016-01-01,69
W1501,DOM,RCY,PC,LU,2000-01-01,45
W1501,DOM,RCY,PC,LU,2001-01-01,57
W1501,DOM,RCY,PC,LU,2002-01-01,56
W1501,DOM,RCY,PC,LU,2003-01-01,60
W1501,DOM,RCY,PC,LU,2004-01-01,61
W1501,DOM,RCY,PC,LU,2005-01-01,62
