unit,icha11_hf,geotime,date,value
PC_CHE,HF3,PT,2011-01-01,26
PC_CHE,HF3,PT,2012-01-01,28
PC_CHE,HF3,PT,2013-01-01,26
PC_CHE,HF3,PT,2014-01-01,27
PC_CHE,HF3,PT,2015-01-01,27
PC_CHE,HF3,PT,2016-01-01,27
PC_CHE,HF3,RO,2005-01-01,
PC_CHE,HF3,RO,2006-01-01,
PC_CHE,HF3,RO,2007-01-01,
PC_CHE,HF3,RO,2008-01-01,
PC_CHE,HF3,RO,2009-01-01,
PC_CHE,HF3,RO,2010-01-01,
PC_CHE,HF3,RO,2011-01-01,24
PC_CHE,HF3,RO,2012-01-01,22
PC_CHE,HF3,RO,2013-01-01,20
PC_CHE,HF3,RO,2014-01-01,20
PC_CHE,HF3,RO,2015-01-01,21
PC_CHE,HF3,RO,2016-01-01,
PC_CHE,HF3,SE,2005-01-01,17
PC_CHE,HF3,SE,2006-01-01,17
PC_CHE,HF3,SE,2007-01-01,16
PC_CHE,HF3,SE,2008-01-01,16
PC_CHE,HF3,SE,2009-01-01,16
PC_CHE,HF3,SE,2010-01-01,16
PC_CHE,HF3,SE,2011-01-01,15
PC_CHE,HF3,SE,2012-01-01,15
PC_CHE,HF3,SE,2013-01-01,15
PC_CHE,HF3,SE,2014-01-01,15
PC_CHE,HF3,SE,2015-01-01,15
PC_CHE,HF3,SE,2016-01-01,15
PC_CHE,HF3,SI,2005-01-01,
PC_CHE,HF3,SI,2006-01-01,
PC_CHE,HF3,SI,2007-01-01,
PC_CHE,HF3,SI,2008-01-01,
PC_CHE,HF3,SI,2009-01-01,
PC_CHE,HF3,SI,2010-01-01,
PC_CHE,HF3,SI,2011-01-01,
PC_CHE,HF3,SI,2012-01-01,
PC_CHE,HF3,SI,2013-01-01,
PC_CHE,HF3,SI,2014-01-01,13
PC_CHE,HF3,SI,2015-01-01,12
PC_CHE,HF3,SI,2016-01-01,
PC_CHE,HF3,SK,2005-01-01,
PC_CHE,HF3,SK,2006-01-01,
PC_CHE,HF3,SK,2007-01-01,
PC_CHE,HF3,SK,2008-01-01,
PC_CHE,HF3,SK,2009-01-01,
PC_CHE,HF3,SK,2010-01-01,
PC_CHE,HF3,SK,2011-01-01,
PC_CHE,HF3,SK,2012-01-01,23
PC_CHE,HF3,SK,2013-01-01,23
PC_CHE,HF3,SK,2014-01-01,18
PC_CHE,HF3,SK,2015-01-01,18
PC_CHE,HF3,SK,2016-01-01,
PC_CHE,HF3,UK,2005-01-01,
