duration,sex,age,unit,geotime,date,value
M0-11,T,Y20-64,PC,LU,2016-01-01,11
M0-11,T,Y20-64,PC,LU,2017-01-01,12
M0-11,T,Y20-64,PC,LV,2005-01-01,16
M0-11,T,Y20-64,PC,LV,2006-01-01,18
M0-11,T,Y20-64,PC,LV,2007-01-01,17
M0-11,T,Y20-64,PC,LV,2008-01-01,16
M0-11,T,Y20-64,PC,LV,2009-01-01,13
M0-11,T,Y20-64,PC,LV,2010-01-01,18
M0-11,T,Y20-64,PC,LV,2011-01-01,18
M0-11,T,Y20-64,PC,LV,2012-01-01,17
M0-11,T,Y20-64,PC,LV,2013-01-01,16
M0-11,T,Y20-64,PC,LV,2014-01-01,14
M0-11,T,Y20-64,PC,LV,2015-01-01,14
M0-11,T,Y20-64,PC,LV,2016-01-01,13
M0-11,T,Y20-64,PC,LV,2017-01-01,15
M0-11,T,Y20-64,PC,ME,2005-01-01,
M0-11,T,Y20-64,PC,ME,2006-01-01,
M0-11,T,Y20-64,PC,ME,2007-01-01,
M0-11,T,Y20-64,PC,ME,2008-01-01,
M0-11,T,Y20-64,PC,ME,2009-01-01,
M0-11,T,Y20-64,PC,ME,2010-01-01,
M0-11,T,Y20-64,PC,ME,2011-01-01,10
M0-11,T,Y20-64,PC,ME,2012-01-01,9
M0-11,T,Y20-64,PC,ME,2013-01-01,11
M0-11,T,Y20-64,PC,ME,2014-01-01,11
M0-11,T,Y20-64,PC,ME,2015-01-01,13
M0-11,T,Y20-64,PC,ME,2016-01-01,14
M0-11,T,Y20-64,PC,ME,2017-01-01,12
M0-11,T,Y20-64,PC,MK,2005-01-01,
M0-11,T,Y20-64,PC,MK,2006-01-01,13
M0-11,T,Y20-64,PC,MK,2007-01-01,13
M0-11,T,Y20-64,PC,MK,2008-01-01,14
M0-11,T,Y20-64,PC,MK,2009-01-01,12
M0-11,T,Y20-64,PC,MK,2010-01-01,11
M0-11,T,Y20-64,PC,MK,2011-01-01,11
M0-11,T,Y20-64,PC,MK,2012-01-01,11
M0-11,T,Y20-64,PC,MK,2013-01-01,11
M0-11,T,Y20-64,PC,MK,2014-01-01,9
M0-11,T,Y20-64,PC,MK,2015-01-01,12
M0-11,T,Y20-64,PC,MK,2016-01-01,11
M0-11,T,Y20-64,PC,MK,2017-01-01,10
M0-11,T,Y20-64,PC,MT,2005-01-01,7
M0-11,T,Y20-64,PC,MT,2006-01-01,7
M0-11,T,Y20-64,PC,MT,2007-01-01,10
M0-11,T,Y20-64,PC,MT,2008-01-01,9
M0-11,T,Y20-64,PC,MT,2009-01-01,8
M0-11,T,Y20-64,PC,MT,2010-01-01,9
M0-11,T,Y20-64,PC,MT,2011-01-01,9
M0-11,T,Y20-64,PC,MT,2012-01-01,10
M0-11,T,Y20-64,PC,MT,2013-01-01,10
M0-11,T,Y20-64,PC,MT,2014-01-01,9
M0-11,T,Y20-64,PC,MT,2015-01-01,10
M0-11,T,Y20-64,PC,MT,2016-01-01,12
M0-11,T,Y20-64,PC,MT,2017-01-01,13
M0-11,T,Y20-64,PC,NL,2005-01-01,5
M0-11,T,Y20-64,PC,NL,2006-01-01,6
M0-11,T,Y20-64,PC,NL,2007-01-01,7
M0-11,T,Y20-64,PC,NL,2008-01-01,7
M0-11,T,Y20-64,PC,NL,2009-01-01,6
M0-11,T,Y20-64,PC,NL,2010-01-01,8
M0-11,T,Y20-64,PC,NL,2011-01-01,12
M0-11,T,Y20-64,PC,NL,2012-01-01,12
M0-11,T,Y20-64,PC,NL,2013-01-01,11
M0-11,T,Y20-64,PC,NL,2014-01-01,11
M0-11,T,Y20-64,PC,NL,2015-01-01,13
M0-11,T,Y20-64,PC,NL,2016-01-01,13
M0-11,T,Y20-64,PC,NL,2017-01-01,14
M0-11,T,Y20-64,PC,NO,2005-01-01,3
M0-11,T,Y20-64,PC,NO,2006-01-01,13
M0-11,T,Y20-64,PC,NO,2007-01-01,16
M0-11,T,Y20-64,PC,NO,2008-01-01,16
M0-11,T,Y20-64,PC,NO,2009-01-01,14
M0-11,T,Y20-64,PC,NO,2010-01-01,13
M0-11,T,Y20-64,PC,NO,2011-01-01,14
M0-11,T,Y20-64,PC,NO,2012-01-01,14
M0-11,T,Y20-64,PC,NO,2013-01-01,13
M0-11,T,Y20-64,PC,NO,2014-01-01,13
M0-11,T,Y20-64,PC,NO,2015-01-01,13
M0-11,T,Y20-64,PC,NO,2016-01-01,12
M0-11,T,Y20-64,PC,NO,2017-01-01,13
M0-11,T,Y20-64,PC,PL,2005-01-01,12
M0-11,T,Y20-64,PC,PL,2006-01-01,14
M0-11,T,Y20-64,PC,PL,2007-01-01,15
M0-11,T,Y20-64,PC,PL,2008-01-01,14
M0-11,T,Y20-64,PC,PL,2009-01-01,12
M0-11,T,Y20-64,PC,PL,2010-01-01,12
M0-11,T,Y20-64,PC,PL,2011-01-01,11
M0-11,T,Y20-64,PC,PL,2012-01-01,11
M0-11,T,Y20-64,PC,PL,2013-01-01,11
M0-11,T,Y20-64,PC,PL,2014-01-01,11
M0-11,T,Y20-64,PC,PL,2015-01-01,11
M0-11,T,Y20-64,PC,PL,2016-01-01,11
M0-11,T,Y20-64,PC,PL,2017-01-01,11
M0-11,T,Y20-64,PC,PT,2005-01-01,10
M0-11,T,Y20-64,PC,PT,2006-01-01,11
M0-11,T,Y20-64,PC,PT,2007-01-01,12
M0-11,T,Y20-64,PC,PT,2008-01-01,12
M0-11,T,Y20-64,PC,PT,2009-01-01,11
M0-11,T,Y20-64,PC,PT,2010-01-01,11
M0-11,T,Y20-64,PC,PT,2011-01-01,12
M0-11,T,Y20-64,PC,PT,2012-01-01,11
M0-11,T,Y20-64,PC,PT,2013-01-01,11
M0-11,T,Y20-64,PC,PT,2014-01-01,13
M0-11,T,Y20-64,PC,PT,2015-01-01,14
M0-11,T,Y20-64,PC,PT,2016-01-01,14
M0-11,T,Y20-64,PC,PT,2017-01-01,14
M0-11,T,Y20-64,PC,RO,2005-01-01,11
M0-11,T,Y20-64,PC,RO,2006-01-01,11
M0-11,T,Y20-64,PC,RO,2007-01-01,9
M0-11,T,Y20-64,PC,RO,2008-01-01,7
M0-11,T,Y20-64,PC,RO,2009-01-01,6
M0-11,T,Y20-64,PC,RO,2010-01-01,5
M0-11,T,Y20-64,PC,RO,2011-01-01,5
M0-11,T,Y20-64,PC,RO,2012-01-01,5
M0-11,T,Y20-64,PC,RO,2013-01-01,5
M0-11,T,Y20-64,PC,RO,2014-01-01,5
M0-11,T,Y20-64,PC,RO,2015-01-01,6
M0-11,T,Y20-64,PC,RO,2016-01-01,4
M0-11,T,Y20-64,PC,RO,2017-01-01,5
M0-11,T,Y20-64,PC,SE,2005-01-01,15
M0-11,T,Y20-64,PC,SE,2006-01-01,16
M0-11,T,Y20-64,PC,SE,2007-01-01,18
M0-11,T,Y20-64,PC,SE,2008-01-01,17
M0-11,T,Y20-64,PC,SE,2009-01-01,15
M0-11,T,Y20-64,PC,SE,2010-01-01,16
M0-11,T,Y20-64,PC,SE,2011-01-01,18
M0-11,T,Y20-64,PC,SE,2012-01-01,17
M0-11,T,Y20-64,PC,SE,2013-01-01,17
M0-11,T,Y20-64,PC,SE,2014-01-01,17
M0-11,T,Y20-64,PC,SE,2015-01-01,18
M0-11,T,Y20-64,PC,SE,2016-01-01,18
M0-11,T,Y20-64,PC,SE,2017-01-01,19
M0-11,T,Y20-64,PC,SI,2005-01-01,12
M0-11,T,Y20-64,PC,SI,2006-01-01,8
M0-11,T,Y20-64,PC,SI,2007-01-01,12
M0-11,T,Y20-64,PC,SI,2008-01-01,13
M0-11,T,Y20-64,PC,SI,2009-01-01,10
M0-11,T,Y20-64,PC,SI,2010-01-01,10
M0-11,T,Y20-64,PC,SI,2011-01-01,10
M0-11,T,Y20-64,PC,SI,2012-01-01,11
M0-11,T,Y20-64,PC,SI,2013-01-01,10
M0-11,T,Y20-64,PC,SI,2014-01-01,8
M0-11,T,Y20-64,PC,SI,2015-01-01,12
M0-11,T,Y20-64,PC,SI,2016-01-01,10
M0-11,T,Y20-64,PC,SI,2017-01-01,13
M0-11,T,Y20-64,PC,SK,2005-01-01,12
M0-11,T,Y20-64,PC,SK,2006-01-01,11
M0-11,T,Y20-64,PC,SK,2007-01-01,11
M0-11,T,Y20-64,PC,SK,2008-01-01,10
M0-11,T,Y20-64,PC,SK,2009-01-01,8
M0-11,T,Y20-64,PC,SK,2010-01-01,9
M0-11,T,Y20-64,PC,SK,2011-01-01,9
M0-11,T,Y20-64,PC,SK,2012-01-01,8
M0-11,T,Y20-64,PC,SK,2013-01-01,8
M0-11,T,Y20-64,PC,SK,2014-01-01,9
M0-11,T,Y20-64,PC,SK,2015-01-01,11
M0-11,T,Y20-64,PC,SK,2016-01-01,12
M0-11,T,Y20-64,PC,SK,2017-01-01,12
M0-11,T,Y20-64,PC,TR,2005-01-01,
M0-11,T,Y20-64,PC,TR,2006-01-01,17
M0-11,T,Y20-64,PC,TR,2007-01-01,17
M0-11,T,Y20-64,PC,TR,2008-01-01,19
M0-11,T,Y20-64,PC,TR,2009-01-01,20
M0-11,T,Y20-64,PC,TR,2010-01-01,22
M0-11,T,Y20-64,PC,TR,2011-01-01,23
M0-11,T,Y20-64,PC,TR,2012-01-01,23
M0-11,T,Y20-64,PC,TR,2013-01-01,23
M0-11,T,Y20-64,PC,TR,2014-01-01,25
M0-11,T,Y20-64,PC,TR,2015-01-01,25
M0-11,T,Y20-64,PC,TR,2016-01-01,24
M0-11,T,Y20-64,PC,TR,2017-01-01,24
M0-11,T,Y20-64,PC,UK,2005-01-01,16
M0-11,T,Y20-64,PC,UK,2006-01-01,15
M0-11,T,Y20-64,PC,UK,2007-01-01,15
M0-11,T,Y20-64,PC,UK,2008-01-01,15
M0-11,T,Y20-64,PC,UK,2009-01-01,12
M0-11,T,Y20-64,PC,UK,2010-01-01,12
M0-11,T,Y20-64,PC,UK,2011-01-01,13
M0-11,T,Y20-64,PC,UK,2012-01-01,13
M0-11,T,Y20-64,PC,UK,2013-01-01,13
M0-11,T,Y20-64,PC,UK,2014-01-01,14
M0-11,T,Y20-64,PC,UK,2015-01-01,15
M0-11,T,Y20-64,PC,UK,2016-01-01,15
M0-11,T,Y20-64,PC,UK,2017-01-01,15
