currency,bop_item,sector10,sectpart,s_adj,stk_flow,partner,geotime,date,value
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EE,2016-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EE,2017-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EE,2017-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EE,2017-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EE,2017-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EE,2018-01-01,44
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EE,2018-04-01,155
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EL,2015-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EL,2015-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EL,2016-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EL,2016-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EL,2016-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EL,2016-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EL,2017-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EL,2017-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EL,2017-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EL,2017-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EL,2018-01-01,2725
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EL,2018-04-01,1110
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,ES,2015-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,ES,2015-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,ES,2016-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,ES,2016-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,ES,2016-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,ES,2016-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,ES,2017-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,ES,2017-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,ES,2017-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,ES,2017-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,ES,2018-01-01,1342
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,ES,2018-04-01,2976
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EU28,2015-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EU28,2015-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EU28,2016-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EU28,2016-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EU28,2016-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EU28,2016-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EU28,2017-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EU28,2017-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EU28,2017-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EU28,2017-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EU28,2018-01-01,48848
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,EU28,2018-04-01,33690
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,FI,2015-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,FI,2015-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,FI,2016-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,FI,2016-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,FI,2016-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,FI,2016-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,FI,2017-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,FI,2017-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,FI,2017-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,FI,2017-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,FI,2018-01-01,656
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,FI,2018-04-01,2021
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,FR,2015-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,FR,2015-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,FR,2016-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,FR,2016-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,FR,2016-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,FR,2016-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,FR,2017-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,FR,2017-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,FR,2017-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,FR,2017-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,FR,2018-01-01,12075
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,FR,2018-04-01,631
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,HR,2015-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,HR,2015-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,HR,2016-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,HR,2016-04-01,
