age,sex,reason,unit,quantile,geotime,date,value
Y_GE16,F,TOOEFW,PC,TOTAL,RS,2012-01-01,
Y_GE16,F,TOOEFW,PC,TOTAL,RS,2013-01-01,9.2
Y_GE16,F,TOOEFW,PC,TOTAL,RS,2014-01-01,7.6
Y_GE16,F,TOOEFW,PC,TOTAL,RS,2015-01-01,7.0
Y_GE16,F,TOOEFW,PC,TOTAL,RS,2016-01-01,5.0
Y_GE16,F,TOOEFW,PC,TOTAL,RS,2017-01-01,
Y_GE16,F,TOOEFW,PC,TOTAL,SE,2008-01-01,2.5
Y_GE16,F,TOOEFW,PC,TOTAL,SE,2009-01-01,2.8
Y_GE16,F,TOOEFW,PC,TOTAL,SE,2010-01-01,2.5
Y_GE16,F,TOOEFW,PC,TOTAL,SE,2011-01-01,1.9
Y_GE16,F,TOOEFW,PC,TOTAL,SE,2012-01-01,1.6
Y_GE16,F,TOOEFW,PC,TOTAL,SE,2013-01-01,2.1
