unit,age,sex,lmp_type,geotime,date,value
RT,TOTAL,M,TOT2_7,RO,2012-01-01,3
RT,TOTAL,M,TOT2_7,RO,2013-01-01,2
RT,TOTAL,M,TOT2_7,RO,2014-01-01,2
RT,TOTAL,M,TOT2_7,RO,2015-01-01,3
RT,TOTAL,M,TOT2_7,RO,2016-01-01,3
RT,TOTAL,M,TOT2_7,SE,2005-01-01,36
RT,TOTAL,M,TOT2_7,SE,2006-01-01,39
RT,TOTAL,M,TOT2_7,SE,2007-01-01,36
RT,TOTAL,M,TOT2_7,SE,2008-01-01,34
RT,TOTAL,M,TOT2_7,SE,2009-01-01,27
RT,TOTAL,M,TOT2_7,SE,2010-01-01,34
RT,TOTAL,M,TOT2_7,SE,2011-01-01,40
RT,TOTAL,M,TOT2_7,SE,2012-01-01,40
RT,TOTAL,M,TOT2_7,SE,2013-01-01,43
RT,TOTAL,M,TOT2_7,SE,2014-01-01,45
RT,TOTAL,M,TOT2_7,SE,2015-01-01,47
RT,TOTAL,M,TOT2_7,SE,2016-01-01,46
RT,TOTAL,M,TOT2_7,SI,2005-01-01,9
RT,TOTAL,M,TOT2_7,SI,2006-01-01,13
RT,TOTAL,M,TOT2_7,SI,2007-01-01,9
RT,TOTAL,M,TOT2_7,SI,2008-01-01,6
RT,TOTAL,M,TOT2_7,SI,2009-01-01,39
RT,TOTAL,M,TOT2_7,SI,2010-01-01,19
RT,TOTAL,M,TOT2_7,SI,2011-01-01,14
RT,TOTAL,M,TOT2_7,SI,2012-01-01,8
RT,TOTAL,M,TOT2_7,SI,2013-01-01,11
RT,TOTAL,M,TOT2_7,SI,2014-01-01,10
RT,TOTAL,M,TOT2_7,SI,2015-01-01,7
RT,TOTAL,M,TOT2_7,SI,2016-01-01,5
RT,TOTAL,M,TOT2_7,SK,2005-01-01,30
RT,TOTAL,M,TOT2_7,SK,2006-01-01,35
RT,TOTAL,M,TOT2_7,SK,2007-01-01,26
RT,TOTAL,M,TOT2_7,SK,2008-01-01,29
RT,TOTAL,M,TOT2_7,SK,2009-01-01,16
RT,TOTAL,M,TOT2_7,SK,2010-01-01,21
RT,TOTAL,M,TOT2_7,SK,2011-01-01,16
RT,TOTAL,M,TOT2_7,SK,2012-01-01,15
RT,TOTAL,M,TOT2_7,SK,2013-01-01,12
RT,TOTAL,M,TOT2_7,SK,2014-01-01,13
RT,TOTAL,M,TOT2_7,SK,2015-01-01,13
RT,TOTAL,M,TOT2_7,SK,2016-01-01,19
RT,TOTAL,T,TOT2_7,AT,2005-01-01,19
RT,TOTAL,T,TOT2_7,AT,2006-01-01,26
RT,TOTAL,T,TOT2_7,AT,2007-01-01,27
RT,TOTAL,T,TOT2_7,AT,2008-01-01,30
RT,TOTAL,T,TOT2_7,AT,2009-01-01,32
RT,TOTAL,T,TOT2_7,AT,2010-01-01,27
RT,TOTAL,T,TOT2_7,AT,2011-01-01,25
RT,TOTAL,T,TOT2_7,AT,2012-01-01,24
RT,TOTAL,T,TOT2_7,AT,2013-01-01,25
