airpol,geotime,date,value
PM2_5,BE,2003-01-01,15
PM2_5,BE,2004-01-01,13
PM2_5,BE,2005-01-01,15
PM2_5,BE,2006-01-01,18
PM2_5,BE,2007-01-01,21
PM2_5,BE,2008-01-01,18
PM2_5,BE,2009-01-01,18
PM2_5,BE,2010-01-01,17
PM2_5,BE,2011-01-01,17
PM2_5,BE,2012-01-01,16
PM2_5,BE,2013-01-01,17
PM2_5,BE,2014-01-01,14
PM2_5,BE,2015-01-01,13
PM2_5,BE,2016-01-01,
PM2_5,BG,1992-01-01,
PM2_5,BG,1993-01-01,
PM2_5,BG,1994-01-01,
PM2_5,BG,1995-01-01,
PM2_5,BG,1996-01-01,
PM2_5,BG,1997-01-01,
PM2_5,BG,1998-01-01,
PM2_5,BG,1999-01-01,
PM2_5,BG,2000-01-01,
PM2_5,BG,2001-01-01,
PM2_5,BG,2002-01-01,
PM2_5,BG,2003-01-01,
PM2_5,BG,2004-01-01,
PM2_5,BG,2005-01-01,
PM2_5,BG,2006-01-01,44
PM2_5,BG,2007-01-01,41
PM2_5,BG,2008-01-01,41
PM2_5,BG,2009-01-01,24
PM2_5,BG,2010-01-01,31
PM2_5,BG,2011-01-01,41
PM2_5,BG,2012-01-01,29
PM2_5,BG,2013-01-01,26
PM2_5,BG,2014-01-01,26
PM2_5,BG,2015-01-01,
PM2_5,BG,2016-01-01,
PM2_5,CH,1992-01-01,
PM2_5,CH,1993-01-01,
PM2_5,CH,1994-01-01,
PM2_5,CH,1995-01-01,
PM2_5,CH,1996-01-01,
PM2_5,CH,1997-01-01,
PM2_5,CH,1998-01-01,18
PM2_5,CH,1999-01-01,18
PM2_5,CH,2000-01-01,17
PM2_5,CH,2001-01-01,18
PM2_5,CH,2002-01-01,19
PM2_5,CH,2003-01-01,22
PM2_5,CH,2004-01-01,18
PM2_5,CH,2005-01-01,18
PM2_5,CH,2006-01-01,18
PM2_5,CH,2007-01-01,15
PM2_5,CH,2008-01-01,14
PM2_5,CH,2009-01-01,14
PM2_5,CH,2010-01-01,
PM2_5,CH,2011-01-01,
PM2_5,CH,2012-01-01,
PM2_5,CH,2013-01-01,
PM2_5,CH,2014-01-01,
PM2_5,CH,2015-01-01,11
PM2_5,CH,2016-01-01,
PM2_5,CY,1992-01-01,
