unit,nace_r2,geo\time,date,value
PC,B-S_X_O,RS,2010-01-01,: 
PC,B-S_X_O,RS,2011-01-01,: 
PC,B-S_X_O,RS,2012-01-01,: 
PC,B-S_X_O,RS,2013-01-01,: 
PC,B-S_X_O,RS,2014-01-01,8.7
PC,B-S_X_O,RS,2015-01-01,: 
PC,B-S_X_O,RS,2016-01-01,: 
PC,B-S_X_O,SE,2002-01-01,: 
PC,B-S_X_O,SE,2006-01-01,16.5 
PC,B-S_X_O,SE,2007-01-01,17.8 
PC,B-S_X_O,SE,2008-01-01,16.9 
PC,B-S_X_O,SE,2009-01-01,15.7 
PC,B-S_X_O,SE,2010-01-01,15.4 
PC,B-S_X_O,SE,2011-01-01,15.6 
PC,B-S_X_O,SE,2012-01-01,15.5 
PC,B-S_X_O,SE,2013-01-01,14.6 
PC,B-S_X_O,SE,2014-01-01,13.8
PC,B-S_X_O,SE,2015-01-01,14.0 
PC,B-S_X_O,SE,2016-01-01,13.3 
PC,B-S_X_O,SI,2002-01-01,6.1 
PC,B-S_X_O,SI,2006-01-01,8.0 
PC,B-S_X_O,SI,2007-01-01,5.0 
PC,B-S_X_O,SI,2008-01-01,4.1 
PC,B-S_X_O,SI,2009-01-01,-0.9 
PC,B-S_X_O,SI,2010-01-01,0.9 
PC,B-S_X_O,SI,2011-01-01,3.3 
PC,B-S_X_O,SI,2012-01-01,4.5 
PC,B-S_X_O,SI,2013-01-01,6.3 
PC,B-S_X_O,SI,2014-01-01,7.0
PC,B-S_X_O,SI,2015-01-01,8.1 
PC,B-S_X_O,SI,2016-01-01,7.8 
PC,B-S_X_O,SK,2002-01-01,27.7 
PC,B-S_X_O,SK,2006-01-01,25.8 
PC,B-S_X_O,SK,2007-01-01,23.6 
PC,B-S_X_O,SK,2008-01-01,20.9 
PC,B-S_X_O,SK,2009-01-01,21.9 
PC,B-S_X_O,SK,2010-01-01,19.6 
PC,B-S_X_O,SK,2011-01-01,20.1 
PC,B-S_X_O,SK,2012-01-01,20.8 
PC,B-S_X_O,SK,2013-01-01,18.8 
PC,B-S_X_O,SK,2014-01-01,19.7
PC,B-S_X_O,SK,2015-01-01,19.6 
PC,B-S_X_O,SK,2016-01-01,19.0 
PC,B-S_X_O,TR,2002-01-01,: 
PC,B-S_X_O,TR,2006-01-01,-2.2 
PC,B-S_X_O,TR,2007-01-01,: 
PC,B-S_X_O,TR,2008-01-01,: 
PC,B-S_X_O,TR,2009-01-01,: 
PC,B-S_X_O,TR,2010-01-01,: 
PC,B-S_X_O,TR,2011-01-01,: 
PC,B-S_X_O,TR,2012-01-01,: 
PC,B-S_X_O,TR,2013-01-01,: 
PC,B-S_X_O,TR,2014-01-01,-1.3
PC,B-S_X_O,TR,2015-01-01,: 
PC,B-S_X_O,TR,2016-01-01,: 
PC,B-S_X_O,UK,2002-01-01,27.3 
PC,B-S_X_O,UK,2006-01-01,24.3 
PC,B-S_X_O,UK,2007-01-01,20.8 
PC,B-S_X_O,UK,2008-01-01,21.4 
PC,B-S_X_O,UK,2009-01-01,20.6 
PC,B-S_X_O,UK,2010-01-01,23.3 b
PC,B-S_X_O,UK,2011-01-01,21.8 
PC,B-S_X_O,UK,2012-01-01,22.6 
PC,B-S_X_O,UK,2013-01-01,21.0 
PC,B-S_X_O,UK,2014-01-01,20.9
PC,B-S_X_O,UK,2015-01-01,21.0 
PC,B-S_X_O,UK,2016-01-01,21 p
