age,sex,workint,indic_il,hhtyp,geotime,date,value
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EU28,2009-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EU28,2010-01-01,67.0 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EU28,2011-01-01,66.6 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EU28,2012-01-01,66.4 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EU28,2013-01-01,63.7
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EU28,2014-01-01,65.8 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EU28,2015-01-01,67.6
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EU28,2016-01-01,68.3 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EU28,2017-01-01,72.2 e
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,FI,2006-01-01,53.0 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,FI,2007-01-01,51.7 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,FI,2008-01-01,60.4 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,FI,2009-01-01,70.8 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,FI,2010-01-01,64.6 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,FI,2011-01-01,60.5 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,FI,2012-01-01,63.1 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,FI,2013-01-01,53.9
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,FI,2014-01-01,45.8 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,FI,2015-01-01,47.6
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,FI,2016-01-01,46.4 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,FI,2017-01-01,52.4 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,FR,2006-01-01,70.3 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,FR,2007-01-01,69.3 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,FR,2008-01-01,63.1 b
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,FR,2009-01-01,68.3 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,FR,2010-01-01,69.3 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,FR,2011-01-01,71.5 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,FR,2012-01-01,75.0 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,FR,2013-01-01,75.0
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,FR,2014-01-01,67.1 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,FR,2015-01-01,78.9
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,FR,2016-01-01,67.9 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,FR,2017-01-01,73.7 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,HR,2006-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,HR,2007-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,HR,2008-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,HR,2009-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,HR,2010-01-01,82.0 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,HR,2011-01-01,71.7 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,HR,2012-01-01,70.0 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,HR,2013-01-01,71.2
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,HR,2014-01-01,74.1 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,HR,2015-01-01,75.7
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,HR,2016-01-01,78.7 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,HR,2017-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,HU,2006-01-01,76.6 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,HU,2007-01-01,68.6 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,HU,2008-01-01,65.7 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,HU,2009-01-01,65.2 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,HU,2010-01-01,67.1 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,HU,2011-01-01,70.5 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,HU,2012-01-01,71.9 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,HU,2013-01-01,75.0
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,HU,2014-01-01,79.6 
