sex,age,typtrai,wstatus,unit,geotime,date,value
F,Y15-29,NO_FED_NFE,NEMP,PC,HR,2008-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,HR,2009-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,HR,2010-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,HR,2011-01-01,18
F,Y15-29,NO_FED_NFE,NEMP,PC,HR,2012-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,HR,2013-01-01,22
F,Y15-29,NO_FED_NFE,NEMP,PC,HR,2014-01-01,21
F,Y15-29,NO_FED_NFE,NEMP,PC,HR,2015-01-01,19
F,Y15-29,NO_FED_NFE,NEMP,PC,HR,2016-01-01,19
F,Y15-29,NO_FED_NFE,NEMP,PC,HR,2017-01-01,19
F,Y15-29,NO_FED_NFE,NEMP,PC,HU,2000-01-01,25
F,Y15-29,NO_FED_NFE,NEMP,PC,HU,2001-01-01,24
F,Y15-29,NO_FED_NFE,NEMP,PC,HU,2002-01-01,23
F,Y15-29,NO_FED_NFE,NEMP,PC,HU,2003-01-01,22
F,Y15-29,NO_FED_NFE,NEMP,PC,HU,2004-01-01,22
F,Y15-29,NO_FED_NFE,NEMP,PC,HU,2005-01-01,22
F,Y15-29,NO_FED_NFE,NEMP,PC,HU,2006-01-01,21
F,Y15-29,NO_FED_NFE,NEMP,PC,HU,2007-01-01,20
F,Y15-29,NO_FED_NFE,NEMP,PC,HU,2008-01-01,20
F,Y15-29,NO_FED_NFE,NEMP,PC,HU,2009-01-01,21
F,Y15-29,NO_FED_NFE,NEMP,PC,HU,2010-01-01,21
F,Y15-29,NO_FED_NFE,NEMP,PC,HU,2011-01-01,21
F,Y15-29,NO_FED_NFE,NEMP,PC,HU,2012-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,HU,2013-01-01,22
F,Y15-29,NO_FED_NFE,NEMP,PC,HU,2014-01-01,20
F,Y15-29,NO_FED_NFE,NEMP,PC,HU,2015-01-01,19
F,Y15-29,NO_FED_NFE,NEMP,PC,HU,2016-01-01,18
F,Y15-29,NO_FED_NFE,NEMP,PC,HU,2017-01-01,19
F,Y15-29,NO_FED_NFE,NEMP,PC,IE,2000-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,IE,2001-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,IE,2002-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,IE,2003-01-01,14
F,Y15-29,NO_FED_NFE,NEMP,PC,IE,2004-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,IE,2005-01-01,14
F,Y15-29,NO_FED_NFE,NEMP,PC,IE,2006-01-01,13
F,Y15-29,NO_FED_NFE,NEMP,PC,IE,2007-01-01,12
F,Y15-29,NO_FED_NFE,NEMP,PC,IE,2008-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,IE,2009-01-01,18
F,Y15-29,NO_FED_NFE,NEMP,PC,IE,2010-01-01,20
F,Y15-29,NO_FED_NFE,NEMP,PC,IE,2011-01-01,20
F,Y15-29,NO_FED_NFE,NEMP,PC,IE,2012-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,IE,2013-01-01,18
F,Y15-29,NO_FED_NFE,NEMP,PC,IE,2014-01-01,18
F,Y15-29,NO_FED_NFE,NEMP,PC,IE,2015-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,IE,2016-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,IE,2017-01-01,13
F,Y15-29,NO_FED_NFE,NEMP,PC,IS,2000-01-01,7
F,Y15-29,NO_FED_NFE,NEMP,PC,IS,2001-01-01,5
F,Y15-29,NO_FED_NFE,NEMP,PC,IS,2002-01-01,5
