org_inst,sex,unit,geotime,date,value
GOV_NAT,F,PC_WMN,LV,2013-01-01,28
GOV_NAT,F,PC_WMN,LV,2014-01-01,24
GOV_NAT,F,PC_WMN,LV,2015-01-01,25
GOV_NAT,F,PC_WMN,LV,2016-01-01,21
GOV_NAT,F,PC_WMN,LV,2017-01-01,22
GOV_NAT,F,PC_WMN,LV,2018-01-01,22
GOV_NAT,F,PC_WMN,ME,2003-01-01,
GOV_NAT,F,PC_WMN,ME,2004-01-01,
GOV_NAT,F,PC_WMN,ME,2005-01-01,
GOV_NAT,F,PC_WMN,ME,2006-01-01,
GOV_NAT,F,PC_WMN,ME,2007-01-01,
GOV_NAT,F,PC_WMN,ME,2008-01-01,
GOV_NAT,F,PC_WMN,ME,2009-01-01,
GOV_NAT,F,PC_WMN,ME,2010-01-01,
GOV_NAT,F,PC_WMN,ME,2011-01-01,
GOV_NAT,F,PC_WMN,ME,2012-01-01,
GOV_NAT,F,PC_WMN,ME,2013-01-01,
GOV_NAT,F,PC_WMN,ME,2014-01-01,
GOV_NAT,F,PC_WMN,ME,2015-01-01,25
GOV_NAT,F,PC_WMN,ME,2016-01-01,18
GOV_NAT,F,PC_WMN,ME,2017-01-01,20
GOV_NAT,F,PC_WMN,ME,2018-01-01,20
GOV_NAT,F,PC_WMN,MK,2003-01-01,
GOV_NAT,F,PC_WMN,MK,2004-01-01,
GOV_NAT,F,PC_WMN,MK,2005-01-01,
GOV_NAT,F,PC_WMN,MK,2006-01-01,
GOV_NAT,F,PC_WMN,MK,2007-01-01,
GOV_NAT,F,PC_WMN,MK,2008-01-01,8
GOV_NAT,F,PC_WMN,MK,2009-01-01,13
GOV_NAT,F,PC_WMN,MK,2010-01-01,13
GOV_NAT,F,PC_WMN,MK,2011-01-01,13
GOV_NAT,F,PC_WMN,MK,2012-01-01,15
GOV_NAT,F,PC_WMN,MK,2013-01-01,10
GOV_NAT,F,PC_WMN,MK,2014-01-01,12
GOV_NAT,F,PC_WMN,MK,2015-01-01,10
GOV_NAT,F,PC_WMN,MK,2016-01-01,12
GOV_NAT,F,PC_WMN,MK,2017-01-01,14
GOV_NAT,F,PC_WMN,MK,2018-01-01,15
GOV_NAT,F,PC_WMN,MT,2003-01-01,
GOV_NAT,F,PC_WMN,MT,2004-01-01,15
GOV_NAT,F,PC_WMN,MT,2005-01-01,16
GOV_NAT,F,PC_WMN,MT,2006-01-01,15
GOV_NAT,F,PC_WMN,MT,2007-01-01,15
GOV_NAT,F,PC_WMN,MT,2008-01-01,13
GOV_NAT,F,PC_WMN,MT,2009-01-01,13
GOV_NAT,F,PC_WMN,MT,2010-01-01,15
GOV_NAT,F,PC_WMN,MT,2011-01-01,14
GOV_NAT,F,PC_WMN,MT,2012-01-01,15
GOV_NAT,F,PC_WMN,MT,2013-01-01,8
GOV_NAT,F,PC_WMN,MT,2014-01-01,8
GOV_NAT,F,PC_WMN,MT,2015-01-01,8
GOV_NAT,F,PC_WMN,MT,2016-01-01,13
GOV_NAT,F,PC_WMN,MT,2017-01-01,12
