age,sex,workint,indic_il,hhtyp,geotime,date,value
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EE,2014-01-01,70
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EE,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EE,2016-01-01,78
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EE,2017-01-01,71
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EL,2006-01-01,43
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EL,2007-01-01,41
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EL,2008-01-01,40
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EL,2009-01-01,35
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EL,2010-01-01,39
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EL,2011-01-01,54
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EL,2012-01-01,56
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EL,2013-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EL,2014-01-01,51
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EL,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EL,2016-01-01,52
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EL,2017-01-01,51
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,ES,2006-01-01,60
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,ES,2007-01-01,57
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,ES,2008-01-01,51
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,ES,2009-01-01,55
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,ES,2010-01-01,58
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,ES,2011-01-01,57
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,ES,2012-01-01,61
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,ES,2013-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,ES,2014-01-01,63
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,ES,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,ES,2016-01-01,63
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,ES,2017-01-01,65
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EU27,2006-01-01,53
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EU27,2007-01-01,54
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EU27,2008-01-01,55
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EU27,2009-01-01,56
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EU27,2010-01-01,57
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EU27,2011-01-01,56
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EU27,2012-01-01,57
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EU27,2013-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EU27,2014-01-01,58
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EU27,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EU27,2016-01-01,59
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EU27,2017-01-01,62
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EU28,2006-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EU28,2007-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EU28,2008-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EU28,2009-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EU28,2010-01-01,57
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EU28,2011-01-01,57
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EU28,2012-01-01,57
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EU28,2013-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EU28,2014-01-01,58
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EU28,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EU28,2016-01-01,60
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EU28,2017-01-01,62
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,FI,2006-01-01,50
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,FI,2007-01-01,50
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,FI,2008-01-01,56
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,FI,2009-01-01,63
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,FI,2010-01-01,60
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,FI,2011-01-01,57
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,FI,2012-01-01,59
