worktime,age,unit,geotime,date,value
PT,Y20-64,PC_EMP,MK,2013-01-01,0.6
PT,Y20-64,PC_EMP,MK,2014-01-01,-1.3
PT,Y20-64,PC_EMP,MK,2015-01-01,0.2
PT,Y20-64,PC_EMP,MK,2016-01-01,0.9
PT,Y20-64,PC_EMP,MK,2017-01-01,0.5
PT,Y20-64,PC_EMP,MT,2005-01-01,15.7
PT,Y20-64,PC_EMP,MT,2006-01-01,17.0
PT,Y20-64,PC_EMP,MT,2007-01-01,20.5
PT,Y20-64,PC_EMP,MT,2008-01-01,20.8
PT,Y20-64,PC_EMP,MT,2009-01-01,18.7
PT,Y20-64,PC_EMP,MT,2010-01-01,19.1
PT,Y20-64,PC_EMP,MT,2011-01-01,20.1
PT,Y20-64,PC_EMP,MT,2012-01-01,19.7
PT,Y20-64,PC_EMP,MT,2013-01-01,19.6
PT,Y20-64,PC_EMP,MT,2014-01-01,21.1
PT,Y20-64,PC_EMP,MT,2015-01-01,20.0
PT,Y20-64,PC_EMP,MT,2016-01-01,19.7
PT,Y20-64,PC_EMP,MT,2017-01-01,18.0
PT,Y20-64,PC_EMP,NL,2005-01-01,55.9
PT,Y20-64,PC_EMP,NL,2006-01-01,55.2
PT,Y20-64,PC_EMP,NL,2007-01-01,55.0
PT,Y20-64,PC_EMP,NL,2008-01-01,55.3
PT,Y20-64,PC_EMP,NL,2009-01-01,54.9
PT,Y20-64,PC_EMP,NL,2010-01-01,54.6
PT,Y20-64,PC_EMP,NL,2011-01-01,55.0
PT,Y20-64,PC_EMP,NL,2012-01-01,54.8
PT,Y20-64,PC_EMP,NL,2013-01-01,53.5
PT,Y20-64,PC_EMP,NL,2014-01-01,53.0
PT,Y20-64,PC_EMP,NL,2015-01-01,52.9
PT,Y20-64,PC_EMP,NL,2016-01-01,52.7
PT,Y20-64,PC_EMP,NL,2017-01-01,51.5
PT,Y20-64,PC_EMP,NO,2005-01-01,30.7
PT,Y20-64,PC_EMP,NO,2006-01-01,31.8
PT,Y20-64,PC_EMP,NO,2007-01-01,30.6
PT,Y20-64,PC_EMP,NO,2008-01-01,29.5
PT,Y20-64,PC_EMP,NO,2009-01-01,28.3
PT,Y20-64,PC_EMP,NO,2010-01-01,28.0
PT,Y20-64,PC_EMP,NO,2011-01-01,28.2
PT,Y20-64,PC_EMP,NO,2012-01-01,26.5
PT,Y20-64,PC_EMP,NO,2013-01-01,26.5
PT,Y20-64,PC_EMP,NO,2014-01-01,24.5
PT,Y20-64,PC_EMP,NO,2015-01-01,23.1
PT,Y20-64,PC_EMP,NO,2016-01-01,22.6
PT,Y20-64,PC_EMP,NO,2017-01-01,21.1
PT,Y20-64,PC_EMP,PL,2005-01-01,6.6
PT,Y20-64,PC_EMP,PL,2006-01-01,6.2
PT,Y20-64,PC_EMP,PL,2007-01-01,6.2
PT,Y20-64,PC_EMP,PL,2008-01-01,6.0
PT,Y20-64,PC_EMP,PL,2009-01-01,6.0
PT,Y20-64,PC_EMP,PL,2010-01-01,6.0
PT,Y20-64,PC_EMP,PL,2011-01-01,5.9
PT,Y20-64,PC_EMP,PL,2012-01-01,6.2
PT,Y20-64,PC_EMP,PL,2013-01-01,6.0
PT,Y20-64,PC_EMP,PL,2014-01-01,6.1
PT,Y20-64,PC_EMP,PL,2015-01-01,5.9
PT,Y20-64,PC_EMP,PL,2016-01-01,6.0
PT,Y20-64,PC_EMP,PL,2017-01-01,6.3
PT,Y20-64,PC_EMP,PT,2005-01-01,9.5
PT,Y20-64,PC_EMP,PT,2006-01-01,8.6
PT,Y20-64,PC_EMP,PT,2007-01-01,9.1
PT,Y20-64,PC_EMP,PT,2008-01-01,10.0
PT,Y20-64,PC_EMP,PT,2009-01-01,8.8
PT,Y20-64,PC_EMP,PT,2010-01-01,7.4
PT,Y20-64,PC_EMP,PT,2011-01-01,6.6
PT,Y20-64,PC_EMP,PT,2012-01-01,5.9
PT,Y20-64,PC_EMP,PT,2013-01-01,5.7
PT,Y20-64,PC_EMP,PT,2014-01-01,4.9
PT,Y20-64,PC_EMP,PT,2015-01-01,5.4
PT,Y20-64,PC_EMP,PT,2016-01-01,5.3
PT,Y20-64,PC_EMP,PT,2017-01-01,5.6
PT,Y20-64,PC_EMP,RO,2005-01-01,0.3
PT,Y20-64,PC_EMP,RO,2006-01-01,0.0
PT,Y20-64,PC_EMP,RO,2007-01-01,0.9
PT,Y20-64,PC_EMP,RO,2008-01-01,1.4
PT,Y20-64,PC_EMP,RO,2009-01-01,1.3
PT,Y20-64,PC_EMP,RO,2010-01-01,0.3
PT,Y20-64,PC_EMP,RO,2011-01-01,1.5
PT,Y20-64,PC_EMP,RO,2012-01-01,1.2
PT,Y20-64,PC_EMP,RO,2013-01-01,0.9
PT,Y20-64,PC_EMP,RO,2014-01-01,1.2
PT,Y20-64,PC_EMP,RO,2015-01-01,0.6
PT,Y20-64,PC_EMP,RO,2016-01-01,0.4
PT,Y20-64,PC_EMP,RO,2017-01-01,0.2
PT,Y20-64,PC_EMP,SE,2005-01-01,27.1
PT,Y20-64,PC_EMP,SE,2006-01-01,28.1
PT,Y20-64,PC_EMP,SE,2007-01-01,27.8
PT,Y20-64,PC_EMP,SE,2008-01-01,28.6
PT,Y20-64,PC_EMP,SE,2009-01-01,27.6
PT,Y20-64,PC_EMP,SE,2010-01-01,27.4
PT,Y20-64,PC_EMP,SE,2011-01-01,26.8
PT,Y20-64,PC_EMP,SE,2012-01-01,25.7
PT,Y20-64,PC_EMP,SE,2013-01-01,24.7
PT,Y20-64,PC_EMP,SE,2014-01-01,24.1
PT,Y20-64,PC_EMP,SE,2015-01-01,22.8
PT,Y20-64,PC_EMP,SE,2016-01-01,22.4
PT,Y20-64,PC_EMP,SE,2017-01-01,21.0
PT,Y20-64,PC_EMP,SI,2005-01-01,4.0
PT,Y20-64,PC_EMP,SI,2006-01-01,4.5
PT,Y20-64,PC_EMP,SI,2007-01-01,3.6
PT,Y20-64,PC_EMP,SI,2008-01-01,4.2
PT,Y20-64,PC_EMP,SI,2009-01-01,4.5
PT,Y20-64,PC_EMP,SI,2010-01-01,6.0
PT,Y20-64,PC_EMP,SI,2011-01-01,5.2
PT,Y20-64,PC_EMP,SI,2012-01-01,6.0
