currency,bop_item,sector10,sectpart,stk_flow,partner,s_adj,geotime,date,value
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LT,2018-06-01,61.7 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LT,2018-07-01,112.3 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LT,2018-08-01,136.8 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LU,2017-09-01,-611.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LU,2017-10-01,529.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LU,2017-11-01,780.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LU,2017-12-01,-1152.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LU,2018-01-01,1305.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LU,2018-02-01,1129.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LU,2018-03-01,69.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LU,2018-04-01,-429.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LU,2018-05-01,-1083.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LU,2018-06-01,614.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LU,2018-07-01,552.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LU,2018-08-01,676.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LV,2017-09-01,-41.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LV,2017-10-01,54.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LV,2017-11-01,93.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LV,2017-12-01,113.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LV,2018-01-01,104.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LV,2018-02-01,165.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LV,2018-03-01,-68.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LV,2018-04-01,42.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LV,2018-05-01,10.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LV,2018-06-01,-17.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LV,2018-07-01,-29.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,LV,2018-08-01,-57.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,MK,2017-09-01,59.5 
