sex,age,unit,isced11,geotime,date,value
T,Y20-29,PC,TOTAL,IS,2011-01-01,71
T,Y20-29,PC,TOTAL,IS,2012-01-01,
T,Y20-29,PC,TOTAL,IS,2013-01-01,
T,Y20-29,PC,TOTAL,IS,2014-01-01,77
T,Y20-29,PC,TOTAL,IS,2015-01-01,81
T,Y20-29,PC,TOTAL,IS,2016-01-01,84
T,Y20-29,PC,TOTAL,IS,2017-01-01,82
T,Y20-29,PC,TOTAL,IT,2005-01-01,53
T,Y20-29,PC,TOTAL,IT,2006-01-01,54
T,Y20-29,PC,TOTAL,IT,2007-01-01,53
T,Y20-29,PC,TOTAL,IT,2008-01-01,53
T,Y20-29,PC,TOTAL,IT,2009-01-01,49
T,Y20-29,PC,TOTAL,IT,2010-01-01,47
T,Y20-29,PC,TOTAL,IT,2011-01-01,46
T,Y20-29,PC,TOTAL,IT,2012-01-01,
T,Y20-29,PC,TOTAL,IT,2013-01-01,
T,Y20-29,PC,TOTAL,IT,2014-01-01,40
T,Y20-29,PC,TOTAL,IT,2015-01-01,40
T,Y20-29,PC,TOTAL,IT,2016-01-01,42
T,Y20-29,PC,TOTAL,IT,2017-01-01,42
T,Y20-29,PC,TOTAL,LT,2005-01-01,59
T,Y20-29,PC,TOTAL,LT,2006-01-01,62
T,Y20-29,PC,TOTAL,LT,2007-01-01,62
T,Y20-29,PC,TOTAL,LT,2008-01-01,61
T,Y20-29,PC,TOTAL,LT,2009-01-01,55
T,Y20-29,PC,TOTAL,LT,2010-01-01,50
T,Y20-29,PC,TOTAL,LT,2011-01-01,52
T,Y20-29,PC,TOTAL,LT,2012-01-01,
T,Y20-29,PC,TOTAL,LT,2013-01-01,
T,Y20-29,PC,TOTAL,LT,2014-01-01,62
T,Y20-29,PC,TOTAL,LT,2015-01-01,64
T,Y20-29,PC,TOTAL,LT,2016-01-01,66
T,Y20-29,PC,TOTAL,LT,2017-01-01,67
T,Y20-29,PC,TOTAL,LU,2005-01-01,63
T,Y20-29,PC,TOTAL,LU,2006-01-01,62
T,Y20-29,PC,TOTAL,LU,2007-01-01,61
T,Y20-29,PC,TOTAL,LU,2008-01-01,59
T,Y20-29,PC,TOTAL,LU,2009-01-01,63
T,Y20-29,PC,TOTAL,LU,2010-01-01,60
T,Y20-29,PC,TOTAL,LU,2011-01-01,59
T,Y20-29,PC,TOTAL,LU,2012-01-01,
T,Y20-29,PC,TOTAL,LU,2013-01-01,
T,Y20-29,PC,TOTAL,LU,2014-01-01,60
T,Y20-29,PC,TOTAL,LU,2015-01-01,63
T,Y20-29,PC,TOTAL,LU,2016-01-01,63
T,Y20-29,PC,TOTAL,LU,2017-01-01,63
T,Y20-29,PC,TOTAL,LV,2005-01-01,64
T,Y20-29,PC,TOTAL,LV,2006-01-01,68
T,Y20-29,PC,TOTAL,LV,2007-01-01,70
T,Y20-29,PC,TOTAL,LV,2008-01-01,71
T,Y20-29,PC,TOTAL,LV,2009-01-01,57
T,Y20-29,PC,TOTAL,LV,2010-01-01,56
T,Y20-29,PC,TOTAL,LV,2011-01-01,57
T,Y20-29,PC,TOTAL,LV,2012-01-01,
T,Y20-29,PC,TOTAL,LV,2013-01-01,
T,Y20-29,PC,TOTAL,LV,2014-01-01,65
T,Y20-29,PC,TOTAL,LV,2015-01-01,67
T,Y20-29,PC,TOTAL,LV,2016-01-01,67
T,Y20-29,PC,TOTAL,LV,2017-01-01,70
T,Y20-29,PC,TOTAL,ME,2005-01-01,
T,Y20-29,PC,TOTAL,ME,2006-01-01,
T,Y20-29,PC,TOTAL,ME,2007-01-01,
T,Y20-29,PC,TOTAL,ME,2008-01-01,
T,Y20-29,PC,TOTAL,ME,2009-01-01,
T,Y20-29,PC,TOTAL,ME,2010-01-01,
T,Y20-29,PC,TOTAL,ME,2011-01-01,38
T,Y20-29,PC,TOTAL,ME,2012-01-01,
T,Y20-29,PC,TOTAL,ME,2013-01-01,
T,Y20-29,PC,TOTAL,ME,2014-01-01,44
T,Y20-29,PC,TOTAL,ME,2015-01-01,46
T,Y20-29,PC,TOTAL,ME,2016-01-01,48
T,Y20-29,PC,TOTAL,ME,2017-01-01,48
T,Y20-29,PC,TOTAL,MK,2005-01-01,
T,Y20-29,PC,TOTAL,MK,2006-01-01,31
T,Y20-29,PC,TOTAL,MK,2007-01-01,33
