reason,sex,age,unit,geotime,date,value
FAMRESP,M,Y20-64,PC_INAC,MT,2005-01-01,3.6
FAMRESP,M,Y20-64,PC_INAC,MT,2006-01-01,2.8
FAMRESP,M,Y20-64,PC_INAC,MT,2007-01-01,2.4
FAMRESP,M,Y20-64,PC_INAC,MT,2008-01-01,4.6
FAMRESP,M,Y20-64,PC_INAC,MT,2009-01-01,4.6
FAMRESP,M,Y20-64,PC_INAC,MT,2010-01-01,3.1
FAMRESP,M,Y20-64,PC_INAC,MT,2011-01-01,3.1
FAMRESP,M,Y20-64,PC_INAC,MT,2012-01-01,3.6
FAMRESP,M,Y20-64,PC_INAC,MT,2013-01-01,3.9
FAMRESP,M,Y20-64,PC_INAC,MT,2014-01-01,3.4
FAMRESP,M,Y20-64,PC_INAC,MT,2015-01-01,2.9
FAMRESP,M,Y20-64,PC_INAC,MT,2016-01-01,3.3
FAMRESP,M,Y20-64,PC_INAC,MT,2017-01-01,3.7
FAMRESP,M,Y20-64,PC_INAC,NL,2000-01-01,1.1
FAMRESP,M,Y20-64,PC_INAC,NL,2001-01-01,1.3
FAMRESP,M,Y20-64,PC_INAC,NL,2002-01-01,0.7
FAMRESP,M,Y20-64,PC_INAC,NL,2003-01-01,1.2
FAMRESP,M,Y20-64,PC_INAC,NL,2004-01-01,0.8
FAMRESP,M,Y20-64,PC_INAC,NL,2005-01-01,0.8
FAMRESP,M,Y20-64,PC_INAC,NL,2006-01-01,1.6
FAMRESP,M,Y20-64,PC_INAC,NL,2007-01-01,2.1
FAMRESP,M,Y20-64,PC_INAC,NL,2008-01-01,1.6
FAMRESP,M,Y20-64,PC_INAC,NL,2009-01-01,1.6
FAMRESP,M,Y20-64,PC_INAC,NL,2010-01-01,0.9
FAMRESP,M,Y20-64,PC_INAC,NL,2011-01-01,1.2
FAMRESP,M,Y20-64,PC_INAC,NL,2012-01-01,1.0
FAMRESP,M,Y20-64,PC_INAC,NL,2013-01-01,1.2
FAMRESP,M,Y20-64,PC_INAC,NL,2014-01-01,1.6
FAMRESP,M,Y20-64,PC_INAC,NL,2015-01-01,1.9
FAMRESP,M,Y20-64,PC_INAC,NL,2016-01-01,1.6
FAMRESP,M,Y20-64,PC_INAC,NL,2017-01-01,2.3
FAMRESP,M,Y20-64,PC_INAC,NO,2000-01-01,0.9
FAMRESP,M,Y20-64,PC_INAC,NO,2001-01-01,1.1
FAMRESP,M,Y20-64,PC_INAC,NO,2002-01-01,1.5
FAMRESP,M,Y20-64,PC_INAC,NO,2003-01-01,0.9
FAMRESP,M,Y20-64,PC_INAC,NO,2004-01-01,0.8
FAMRESP,M,Y20-64,PC_INAC,NO,2005-01-01,1.1
FAMRESP,M,Y20-64,PC_INAC,NO,2006-01-01,2.2
FAMRESP,M,Y20-64,PC_INAC,NO,2007-01-01,1.9
FAMRESP,M,Y20-64,PC_INAC,NO,2008-01-01,1.3
FAMRESP,M,Y20-64,PC_INAC,NO,2009-01-01,1.3
FAMRESP,M,Y20-64,PC_INAC,NO,2010-01-01,2.0
FAMRESP,M,Y20-64,PC_INAC,NO,2011-01-01,1.4
FAMRESP,M,Y20-64,PC_INAC,NO,2012-01-01,1.7
FAMRESP,M,Y20-64,PC_INAC,NO,2013-01-01,
FAMRESP,M,Y20-64,PC_INAC,NO,2014-01-01,1.4
FAMRESP,M,Y20-64,PC_INAC,NO,2015-01-01,1.1
FAMRESP,M,Y20-64,PC_INAC,NO,2016-01-01,
FAMRESP,M,Y20-64,PC_INAC,NO,2017-01-01,1.5
FAMRESP,M,Y20-64,PC_INAC,PL,2000-01-01,1.6
FAMRESP,M,Y20-64,PC_INAC,PL,2001-01-01,0.8
FAMRESP,M,Y20-64,PC_INAC,PL,2002-01-01,0.6
FAMRESP,M,Y20-64,PC_INAC,PL,2003-01-01,0.8
FAMRESP,M,Y20-64,PC_INAC,PL,2004-01-01,1.0
FAMRESP,M,Y20-64,PC_INAC,PL,2005-01-01,1.2
FAMRESP,M,Y20-64,PC_INAC,PL,2006-01-01,4.1
FAMRESP,M,Y20-64,PC_INAC,PL,2007-01-01,5.3
FAMRESP,M,Y20-64,PC_INAC,PL,2008-01-01,5.4
FAMRESP,M,Y20-64,PC_INAC,PL,2009-01-01,5.3
FAMRESP,M,Y20-64,PC_INAC,PL,2010-01-01,5.9
FAMRESP,M,Y20-64,PC_INAC,PL,2011-01-01,6.1
FAMRESP,M,Y20-64,PC_INAC,PL,2012-01-01,6.7
FAMRESP,M,Y20-64,PC_INAC,PL,2013-01-01,7.2
FAMRESP,M,Y20-64,PC_INAC,PL,2014-01-01,7.8
FAMRESP,M,Y20-64,PC_INAC,PL,2015-01-01,8.9
FAMRESP,M,Y20-64,PC_INAC,PL,2016-01-01,9.8
FAMRESP,M,Y20-64,PC_INAC,PL,2017-01-01,10.0
FAMRESP,M,Y20-64,PC_INAC,PT,2000-01-01,
FAMRESP,M,Y20-64,PC_INAC,PT,2001-01-01,
FAMRESP,M,Y20-64,PC_INAC,PT,2002-01-01,
FAMRESP,M,Y20-64,PC_INAC,PT,2003-01-01,
FAMRESP,M,Y20-64,PC_INAC,PT,2004-01-01,
FAMRESP,M,Y20-64,PC_INAC,PT,2005-01-01,
FAMRESP,M,Y20-64,PC_INAC,PT,2006-01-01,3.5
FAMRESP,M,Y20-64,PC_INAC,PT,2007-01-01,3.4
FAMRESP,M,Y20-64,PC_INAC,PT,2008-01-01,3.1
FAMRESP,M,Y20-64,PC_INAC,PT,2009-01-01,3.7
FAMRESP,M,Y20-64,PC_INAC,PT,2010-01-01,3.8
FAMRESP,M,Y20-64,PC_INAC,PT,2011-01-01,2.0
FAMRESP,M,Y20-64,PC_INAC,PT,2012-01-01,2.0
FAMRESP,M,Y20-64,PC_INAC,PT,2013-01-01,1.8
FAMRESP,M,Y20-64,PC_INAC,PT,2014-01-01,1.7
FAMRESP,M,Y20-64,PC_INAC,PT,2015-01-01,2.2
FAMRESP,M,Y20-64,PC_INAC,PT,2016-01-01,2.7
FAMRESP,M,Y20-64,PC_INAC,PT,2017-01-01,3.3
FAMRESP,M,Y20-64,PC_INAC,RO,2000-01-01,0.2
FAMRESP,M,Y20-64,PC_INAC,RO,2001-01-01,0.3
FAMRESP,M,Y20-64,PC_INAC,RO,2002-01-01,0.9
FAMRESP,M,Y20-64,PC_INAC,RO,2003-01-01,1.1
FAMRESP,M,Y20-64,PC_INAC,RO,2004-01-01,0.8
FAMRESP,M,Y20-64,PC_INAC,RO,2005-01-01,
FAMRESP,M,Y20-64,PC_INAC,RO,2006-01-01,0.6
FAMRESP,M,Y20-64,PC_INAC,RO,2007-01-01,0.5
FAMRESP,M,Y20-64,PC_INAC,RO,2008-01-01,
FAMRESP,M,Y20-64,PC_INAC,RO,2009-01-01,0.5
FAMRESP,M,Y20-64,PC_INAC,RO,2010-01-01,1.4
FAMRESP,M,Y20-64,PC_INAC,RO,2011-01-01,1.3
FAMRESP,M,Y20-64,PC_INAC,RO,2012-01-01,1.2
FAMRESP,M,Y20-64,PC_INAC,RO,2013-01-01,1.3
