indic_il,sex,age,geotime,date,value
LI_GAP_MD60,T,Y16-64,RS,2016-01-01,40.7
LI_GAP_MD60,T,Y16-64,RS,2017-01-01,
LI_GAP_MD60,T,Y16-64,SE,2006-01-01,27.4
LI_GAP_MD60,T,Y16-64,SE,2007-01-01,24.4
LI_GAP_MD60,T,Y16-64,SE,2008-01-01,23.3
LI_GAP_MD60,T,Y16-64,SE,2009-01-01,22.5
LI_GAP_MD60,T,Y16-64,SE,2010-01-01,25.0
LI_GAP_MD60,T,Y16-64,SE,2011-01-01,22.6
LI_GAP_MD60,T,Y16-64,SE,2012-01-01,26.3
LI_GAP_MD60,T,Y16-64,SE,2013-01-01,22.5
LI_GAP_MD60,T,Y16-64,SE,2014-01-01,25.2
LI_GAP_MD60,T,Y16-64,SE,2015-01-01,24.6
LI_GAP_MD60,T,Y16-64,SE,2016-01-01,25.3
LI_GAP_MD60,T,Y16-64,SE,2017-01-01,24.2
LI_GAP_MD60,T,Y16-64,SI,2006-01-01,19.4
LI_GAP_MD60,T,Y16-64,SI,2007-01-01,19.3
LI_GAP_MD60,T,Y16-64,SI,2008-01-01,19.8
LI_GAP_MD60,T,Y16-64,SI,2009-01-01,20.9
LI_GAP_MD60,T,Y16-64,SI,2010-01-01,20.4
LI_GAP_MD60,T,Y16-64,SI,2011-01-01,19.9
LI_GAP_MD60,T,Y16-64,SI,2012-01-01,19.5
LI_GAP_MD60,T,Y16-64,SI,2013-01-01,21.2
LI_GAP_MD60,T,Y16-64,SI,2014-01-01,22.8
LI_GAP_MD60,T,Y16-64,SI,2015-01-01,21.8
LI_GAP_MD60,T,Y16-64,SI,2016-01-01,22.0
LI_GAP_MD60,T,Y16-64,SI,2017-01-01,21.3
LI_GAP_MD60,T,Y16-64,SK,2006-01-01,20.6
LI_GAP_MD60,T,Y16-64,SK,2007-01-01,20.7
