unit,bop_item,sector10,sectpart,stk_flow,partner,s_adj,geotime,date,value
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FR,2008-01-01,13513
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FR,2009-01-01,10321
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FR,2010-01-01,12403
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FR,2011-01-01,17847
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FR,2012-01-01,23545
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FR,2013-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FR,2014-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FR,2015-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FR,2016-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,FR,2017-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,HR,1995-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,HR,1996-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,HR,1997-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,HR,1998-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,HR,1999-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,HR,2000-01-01,4114
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,HR,2001-01-01,4789
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,HR,2002-01-01,11368
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,HR,2003-01-01,13301
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,HR,2004-01-01,10480
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,HR,2005-01-01,13992
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,HR,2006-01-01,20557
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,HR,2007-01-01,23252
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,HR,2008-01-01,31175
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,HR,2009-01-01,16974
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,HR,2010-01-01,3595
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,HR,2011-01-01,2351
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,HR,2012-01-01,461
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,HR,2013-01-01,
