sex,unit,age,geotime,date,value
T,PPCH_3Y,TOTAL,BG,2014-01-01,-10.5
T,PPCH_3Y,TOTAL,BG,2015-01-01,-9.9
T,PPCH_3Y,TOTAL,BG,2016-01-01,-11.1
T,PPCH_3Y,TOTAL,BG,2017-01-01,-3.1
T,PPCH_3Y,TOTAL,CY,2003-01-01,
T,PPCH_3Y,TOTAL,CY,2004-01-01,
T,PPCH_3Y,TOTAL,CY,2005-01-01,
T,PPCH_3Y,TOTAL,CY,2006-01-01,
T,PPCH_3Y,TOTAL,CY,2007-01-01,
T,PPCH_3Y,TOTAL,CY,2008-01-01,-3.1
T,PPCH_3Y,TOTAL,CY,2009-01-01,-3.1
T,PPCH_3Y,TOTAL,CY,2010-01-01,-2.1
T,PPCH_3Y,TOTAL,CY,2011-01-01,2.6
T,PPCH_3Y,TOTAL,CY,2012-01-01,5.5
T,PPCH_3Y,TOTAL,CY,2013-01-01,4.9
T,PPCH_3Y,TOTAL,CY,2014-01-01,3.6
T,PPCH_3Y,TOTAL,CY,2015-01-01,0.4
T,PPCH_3Y,TOTAL,CY,2016-01-01,-2.5
T,PPCH_3Y,TOTAL,CY,2017-01-01,-3.8
T,PPCH_3Y,TOTAL,CZ,2003-01-01,
T,PPCH_3Y,TOTAL,CZ,2004-01-01,
T,PPCH_3Y,TOTAL,CZ,2005-01-01,
T,PPCH_3Y,TOTAL,CZ,2006-01-01,
T,PPCH_3Y,TOTAL,CZ,2007-01-01,
T,PPCH_3Y,TOTAL,CZ,2008-01-01,-5.0
T,PPCH_3Y,TOTAL,CZ,2009-01-01,-3.5
T,PPCH_3Y,TOTAL,CZ,2010-01-01,-1.2
T,PPCH_3Y,TOTAL,CZ,2011-01-01,-0.7
T,PPCH_3Y,TOTAL,CZ,2012-01-01,0.5
T,PPCH_3Y,TOTAL,CZ,2013-01-01,0.4
T,PPCH_3Y,TOTAL,CZ,2014-01-01,0.6
T,PPCH_3Y,TOTAL,CZ,2015-01-01,-1.0
T,PPCH_3Y,TOTAL,CZ,2016-01-01,-1.8
T,PPCH_3Y,TOTAL,CZ,2017-01-01,-3.0
T,PPCH_3Y,TOTAL,DE,2003-01-01,
T,PPCH_3Y,TOTAL,DE,2004-01-01,
