age,unit,indic_em,sex,geotime,date,value
Y20-64,PC_POP,EMP_LFS,F,LV,2013-01-01,67
Y20-64,PC_POP,EMP_LFS,F,LV,2014-01-01,68
Y20-64,PC_POP,EMP_LFS,F,LV,2015-01-01,70
Y20-64,PC_POP,EMP_LFS,F,LV,2016-01-01,71
Y20-64,PC_POP,EMP_LFS,F,LV,2017-01-01,72
Y20-64,PC_POP,EMP_LFS,F,ME,2005-01-01,
Y20-64,PC_POP,EMP_LFS,F,ME,2006-01-01,
Y20-64,PC_POP,EMP_LFS,F,ME,2007-01-01,
Y20-64,PC_POP,EMP_LFS,F,ME,2008-01-01,
Y20-64,PC_POP,EMP_LFS,F,ME,2009-01-01,
Y20-64,PC_POP,EMP_LFS,F,ME,2010-01-01,
Y20-64,PC_POP,EMP_LFS,F,ME,2011-01-01,44
Y20-64,PC_POP,EMP_LFS,F,ME,2012-01-01,46
Y20-64,PC_POP,EMP_LFS,F,ME,2013-01-01,47
Y20-64,PC_POP,EMP_LFS,F,ME,2014-01-01,49
Y20-64,PC_POP,EMP_LFS,F,ME,2015-01-01,51
Y20-64,PC_POP,EMP_LFS,F,ME,2016-01-01,51
Y20-64,PC_POP,EMP_LFS,F,ME,2017-01-01,51
Y20-64,PC_POP,EMP_LFS,F,MK,2005-01-01,
Y20-64,PC_POP,EMP_LFS,F,MK,2006-01-01,34
Y20-64,PC_POP,EMP_LFS,F,MK,2007-01-01,35
Y20-64,PC_POP,EMP_LFS,F,MK,2008-01-01,36
Y20-64,PC_POP,EMP_LFS,F,MK,2009-01-01,37
Y20-64,PC_POP,EMP_LFS,F,MK,2010-01-01,37
Y20-64,PC_POP,EMP_LFS,F,MK,2011-01-01,38
Y20-64,PC_POP,EMP_LFS,F,MK,2012-01-01,38
Y20-64,PC_POP,EMP_LFS,F,MK,2013-01-01,40
Y20-64,PC_POP,EMP_LFS,F,MK,2014-01-01,40
Y20-64,PC_POP,EMP_LFS,F,MK,2015-01-01,42
Y20-64,PC_POP,EMP_LFS,F,MK,2016-01-01,42
Y20-64,PC_POP,EMP_LFS,F,MK,2017-01-01,43
Y20-64,PC_POP,EMP_LFS,F,MT,2005-01-01,34
Y20-64,PC_POP,EMP_LFS,F,MT,2006-01-01,35
Y20-64,PC_POP,EMP_LFS,F,MT,2007-01-01,37
Y20-64,PC_POP,EMP_LFS,F,MT,2008-01-01,39
Y20-64,PC_POP,EMP_LFS,F,MT,2009-01-01,40
Y20-64,PC_POP,EMP_LFS,F,MT,2010-01-01,41
Y20-64,PC_POP,EMP_LFS,F,MT,2011-01-01,43
Y20-64,PC_POP,EMP_LFS,F,MT,2012-01-01,48
