indic_nrg,unit,product,geotime,date,value
B_101550,PC,0000,MK,2006-01-01,43
B_101550,PC,0000,MK,2007-01-01,46
B_101550,PC,0000,MK,2008-01-01,44
B_101550,PC,0000,MK,2009-01-01,43
B_101550,PC,0000,MK,2010-01-01,43
B_101550,PC,0000,MK,2011-01-01,44
B_101550,PC,0000,MK,2012-01-01,47
B_101550,PC,0000,MK,2013-01-01,46
B_101550,PC,0000,MK,2014-01-01,51
B_101550,PC,0000,MK,2015-01-01,52
B_101550,PC,0000,MK,2016-01-01,58
B_101550,PC,0000,MT,2000-01-01,100
B_101550,PC,0000,MT,2001-01-01,99
B_101550,PC,0000,MT,2002-01-01,99
B_101550,PC,0000,MT,2003-01-01,99
B_101550,PC,0000,MT,2004-01-01,99
B_101550,PC,0000,MT,2005-01-01,100
B_101550,PC,0000,MT,2006-01-01,100
B_101550,PC,0000,MT,2007-01-01,100
B_101550,PC,0000,MT,2008-01-01,100
B_101550,PC,0000,MT,2009-01-01,99
B_101550,PC,0000,MT,2010-01-01,99
B_101550,PC,0000,MT,2011-01-01,101
B_101550,PC,0000,MT,2012-01-01,101
B_101550,PC,0000,MT,2013-01-01,104
B_101550,PC,0000,MT,2014-01-01,97
B_101550,PC,0000,MT,2015-01-01,97
B_101550,PC,0000,MT,2016-01-01,100
B_101550,PC,0000,NL,2000-01-01,38
B_101550,PC,0000,NL,2001-01-01,34
B_101550,PC,0000,NL,2002-01-01,34
B_101550,PC,0000,NL,2003-01-01,38
B_101550,PC,0000,NL,2004-01-01,31
B_101550,PC,0000,NL,2005-01-01,37
B_101550,PC,0000,NL,2006-01-01,38
B_101550,PC,0000,NL,2007-01-01,37
B_101550,PC,0000,NL,2008-01-01,34
B_101550,PC,0000,NL,2009-01-01,36
B_101550,PC,0000,NL,2010-01-01,29
B_101550,PC,0000,NL,2011-01-01,29
B_101550,PC,0000,NL,2012-01-01,29
B_101550,PC,0000,NL,2013-01-01,25
B_101550,PC,0000,NL,2014-01-01,32
B_101550,PC,0000,NL,2015-01-01,51
B_101550,PC,0000,NL,2016-01-01,45
B_101550,PC,0000,NO,2000-01-01,733
B_101550,PC,0000,NO,2001-01-01,716
B_101550,PC,0000,NO,2002-01-01,803
B_101550,PC,0000,NO,2003-01-01,739
B_101550,PC,0000,NO,2004-01-01,740
B_101550,PC,0000,NO,2005-01-01,703
B_101550,PC,0000,NO,2006-01-01,667
B_101550,PC,0000,NO,2007-01-01,657
B_101550,PC,0000,NO,2008-01-01,570
B_101550,PC,0000,NO,2009-01-01,580
B_101550,PC,0000,NO,2010-01-01,571
B_101550,PC,0000,NO,2011-01-01,614
B_101550,PC,0000,NO,2012-01-01,604
B_101550,PC,0000,NO,2013-01-01,548
B_101550,PC,0000,NO,2014-01-01,569
B_101550,PC,0000,NO,2015-01-01,596
B_101550,PC,0000,NO,2016-01-01,644
B_101550,PC,0000,PL,2000-01-01,9
B_101550,PC,0000,PL,2001-01-01,9
B_101550,PC,0000,PL,2002-01-01,10
B_101550,PC,0000,PL,2003-01-01,13
B_101550,PC,0000,PL,2004-01-01,14
B_101550,PC,0000,PL,2005-01-01,17
B_101550,PC,0000,PL,2006-01-01,19
B_101550,PC,0000,PL,2007-01-01,25
B_101550,PC,0000,PL,2008-01-01,30
B_101550,PC,0000,PL,2009-01-01,31
B_101550,PC,0000,PL,2010-01-01,31
