unit,indic_he,geo\time,date,value
YR,F_65_DFLE,RO,2010-01-01,5.1 b
YR,F_65_DFLE,RO,2011-01-01,4.7 
YR,F_65_DFLE,RO,2012-01-01,5.1 
YR,F_65_DFLE,RO,2013-01-01,5.2 
YR,F_65_DFLE,RO,2014-01-01,5.7 
YR,F_65_DFLE,RO,2015-01-01,5.7 
YR,F_65_DFLE,RO,2016-01-01,5.6 
YR,F_65_DFLE,SE,2005-01-01,11.1 
YR,F_65_DFLE,SE,2006-01-01,14.2 bd
YR,F_65_DFLE,SE,2007-01-01,13.9 
YR,F_65_DFLE,SE,2008-01-01,14.0 b
YR,F_65_DFLE,SE,2009-01-01,14.7 
YR,F_65_DFLE,SE,2010-01-01,13.7 b
YR,F_65_DFLE,SE,2011-01-01,13.2 
YR,F_65_DFLE,SE,2012-01-01,: 
YR,F_65_DFLE,SE,2013-01-01,13.8 
YR,F_65_DFLE,SE,2014-01-01,16.7 b
YR,F_65_DFLE,SE,2015-01-01,16.8 
YR,F_65_DFLE,SE,2016-01-01,16.6 
YR,F_65_DFLE,SI,2005-01-01,8.6 d
YR,F_65_DFLE,SI,2006-01-01,9.6 
YR,F_65_DFLE,SI,2007-01-01,10.0 
YR,F_65_DFLE,SI,2008-01-01,9.4 
YR,F_65_DFLE,SI,2009-01-01,9.9 
YR,F_65_DFLE,SI,2010-01-01,7.2 b
YR,F_65_DFLE,SI,2011-01-01,6.9 
YR,F_65_DFLE,SI,2012-01-01,6.9 
YR,F_65_DFLE,SI,2013-01-01,7.6 
YR,F_65_DFLE,SI,2014-01-01,8.6 
YR,F_65_DFLE,SI,2015-01-01,7.6 
YR,F_65_DFLE,SI,2016-01-01,8.2 
YR,F_65_DFLE,SK,2005-01-01,5.4 d
YR,F_65_DFLE,SK,2006-01-01,3.8 bd
YR,F_65_DFLE,SK,2007-01-01,4.2 
YR,F_65_DFLE,SK,2008-01-01,2.7 b
YR,F_65_DFLE,SK,2009-01-01,2.9 
YR,F_65_DFLE,SK,2010-01-01,2.8 
YR,F_65_DFLE,SK,2011-01-01,2.9 
YR,F_65_DFLE,SK,2012-01-01,3.1 
YR,F_65_DFLE,SK,2013-01-01,3.7 
YR,F_65_DFLE,SK,2014-01-01,3.6 
YR,F_65_DFLE,SK,2015-01-01,3.8 
YR,F_65_DFLE,SK,2016-01-01,4.2 
YR,F_65_DFLE,UK,2005-01-01,11.4 d
YR,F_65_DFLE,UK,2006-01-01,11.1 
YR,F_65_DFLE,UK,2007-01-01,11.7 
YR,F_65_DFLE,UK,2008-01-01,11.7 
YR,F_65_DFLE,UK,2009-01-01,11.4 
YR,F_65_DFLE,UK,2010-01-01,11.8 
YR,F_65_DFLE,UK,2011-01-01,11.9 
YR,F_65_DFLE,UK,2012-01-01,10.5 
YR,F_65_DFLE,UK,2013-01-01,10.7 
YR,F_65_DFLE,UK,2014-01-01,10.6 
YR,F_65_DFLE,UK,2015-01-01,10.4 
YR,F_65_DFLE,UK,2016-01-01,11.1 
YR,F_65_LE,AL,2005-01-01,: 
YR,F_65_LE,AL,2006-01-01,: 
YR,F_65_LE,AL,2007-01-01,: 
YR,F_65_LE,AL,2008-01-01,: 
YR,F_65_LE,AL,2009-01-01,: 
YR,F_65_LE,AL,2010-01-01,: 
YR,F_65_LE,AL,2011-01-01,: 
YR,F_65_LE,AL,2012-01-01,: 
