age,sex,hhtyp,indic_il,workint,geotime,date,value
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,ES,2010-01-01,43.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,ES,2011-01-01,47.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,ES,2012-01-01,45.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,ES,2013-01-01,45.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,ES,2014-01-01,49.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,ES,2015-01-01,50.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,ES,2016-01-01,51.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,ES,2017-01-01,52.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EU27,2006-01-01,41.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EU27,2007-01-01,41.0
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EU27,2008-01-01,45.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EU27,2009-01-01,45.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EU27,2010-01-01,47.1
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EU27,2011-01-01,47.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EU27,2012-01-01,47.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EU27,2013-01-01,48.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EU27,2014-01-01,50.1
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EU27,2015-01-01,50.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EU27,2016-01-01,51.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EU27,2017-01-01,53.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EU28,2006-01-01,
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EU28,2007-01-01,
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EU28,2008-01-01,
