unit,vehicle,geotime,date,value
PC,BUS_TOT,LV,2015-01-01,15
PC,BUS_TOT,LV,2016-01-01,15
PC,BUS_TOT,MK,2000-01-01,13
PC,BUS_TOT,MK,2001-01-01,14
PC,BUS_TOT,MK,2002-01-01,16
PC,BUS_TOT,MK,2003-01-01,19
PC,BUS_TOT,MK,2004-01-01,19
PC,BUS_TOT,MK,2005-01-01,19
PC,BUS_TOT,MK,2006-01-01,17
PC,BUS_TOT,MK,2007-01-01,20
PC,BUS_TOT,MK,2008-01-01,22
PC,BUS_TOT,MK,2009-01-01,21
PC,BUS_TOT,MK,2010-01-01,22
PC,BUS_TOT,MK,2011-01-01,23
PC,BUS_TOT,MK,2012-01-01,21
PC,BUS_TOT,MK,2013-01-01,17
PC,BUS_TOT,MK,2014-01-01,15
PC,BUS_TOT,MK,2015-01-01,14
PC,BUS_TOT,MK,2016-01-01,13
PC,BUS_TOT,MT,2000-01-01,20
PC,BUS_TOT,MT,2001-01-01,20
PC,BUS_TOT,MT,2002-01-01,20
PC,BUS_TOT,MT,2003-01-01,20
PC,BUS_TOT,MT,2004-01-01,20
PC,BUS_TOT,MT,2005-01-01,19
PC,BUS_TOT,MT,2006-01-01,19
PC,BUS_TOT,MT,2007-01-01,19
PC,BUS_TOT,MT,2008-01-01,19
PC,BUS_TOT,MT,2009-01-01,18
PC,BUS_TOT,MT,2010-01-01,18
PC,BUS_TOT,MT,2011-01-01,17
PC,BUS_TOT,MT,2012-01-01,17
PC,BUS_TOT,MT,2013-01-01,17
PC,BUS_TOT,MT,2014-01-01,16
PC,BUS_TOT,MT,2015-01-01,17
PC,BUS_TOT,MT,2016-01-01,17
PC,BUS_TOT,NL,2000-01-01,2
PC,BUS_TOT,NL,2001-01-01,2
PC,BUS_TOT,NL,2002-01-01,2
PC,BUS_TOT,NL,2003-01-01,2
PC,BUS_TOT,NL,2004-01-01,2
PC,BUS_TOT,NL,2005-01-01,2
PC,BUS_TOT,NL,2006-01-01,2
PC,BUS_TOT,NL,2007-01-01,2
PC,BUS_TOT,NL,2008-01-01,3
PC,BUS_TOT,NL,2009-01-01,2
PC,BUS_TOT,NL,2010-01-01,2
PC,BUS_TOT,NL,2011-01-01,3
PC,BUS_TOT,NL,2012-01-01,2
PC,BUS_TOT,NL,2013-01-01,2
PC,BUS_TOT,NL,2014-01-01,2
PC,BUS_TOT,NL,2015-01-01,3
PC,BUS_TOT,NL,2016-01-01,3
PC,BUS_TOT,NO,2000-01-01,7
PC,BUS_TOT,NO,2001-01-01,6
PC,BUS_TOT,NO,2002-01-01,6
PC,BUS_TOT,NO,2003-01-01,7
PC,BUS_TOT,NO,2004-01-01,6
PC,BUS_TOT,NO,2005-01-01,7
PC,BUS_TOT,NO,2006-01-01,6
PC,BUS_TOT,NO,2007-01-01,6
PC,BUS_TOT,NO,2008-01-01,6
PC,BUS_TOT,NO,2009-01-01,6
PC,BUS_TOT,NO,2010-01-01,6
PC,BUS_TOT,NO,2011-01-01,7
PC,BUS_TOT,NO,2012-01-01,5
PC,BUS_TOT,NO,2013-01-01,5
PC,BUS_TOT,NO,2014-01-01,5
PC,BUS_TOT,NO,2015-01-01,5
PC,BUS_TOT,NO,2016-01-01,5
PC,BUS_TOT,PL,2000-01-01,27
PC,BUS_TOT,PL,2001-01-01,26
PC,BUS_TOT,PL,2002-01-01,24
PC,BUS_TOT,PL,2003-01-01,24
PC,BUS_TOT,PL,2004-01-01,23
PC,BUS_TOT,PL,2005-01-01,22
PC,BUS_TOT,PL,2006-01-01,21
PC,BUS_TOT,PL,2007-01-01,20
PC,BUS_TOT,PL,2008-01-01,19
PC,BUS_TOT,PL,2009-01-01,17
PC,BUS_TOT,PL,2010-01-01,16
PC,BUS_TOT,PL,2011-01-01,15
PC,BUS_TOT,PL,2012-01-01,16
PC,BUS_TOT,PL,2013-01-01,15
PC,BUS_TOT,PL,2014-01-01,15
PC,BUS_TOT,PL,2015-01-01,14
PC,BUS_TOT,PL,2016-01-01,14
PC,BUS_TOT,PT,2000-01-01,13
PC,BUS_TOT,PT,2001-01-01,12
PC,BUS_TOT,PT,2002-01-01,10
PC,BUS_TOT,PT,2003-01-01,11
PC,BUS_TOT,PT,2004-01-01,11
PC,BUS_TOT,PT,2005-01-01,6
PC,BUS_TOT,PT,2006-01-01,6
PC,BUS_TOT,PT,2007-01-01,6
PC,BUS_TOT,PT,2008-01-01,6
PC,BUS_TOT,PT,2009-01-01,6
PC,BUS_TOT,PT,2010-01-01,6
PC,BUS_TOT,PT,2011-01-01,6
PC,BUS_TOT,PT,2012-01-01,6
PC,BUS_TOT,PT,2013-01-01,6
PC,BUS_TOT,PT,2014-01-01,6
PC,BUS_TOT,PT,2015-01-01,6
PC,BUS_TOT,PT,2016-01-01,6
PC,BUS_TOT,RO,2000-01-01,12
PC,BUS_TOT,RO,2001-01-01,12
PC,BUS_TOT,RO,2002-01-01,12
PC,BUS_TOT,RO,2003-01-01,12
PC,BUS_TOT,RO,2004-01-01,12
PC,BUS_TOT,RO,2005-01-01,14
PC,BUS_TOT,RO,2006-01-01,14
PC,BUS_TOT,RO,2007-01-01,14
PC,BUS_TOT,RO,2008-01-01,20
PC,BUS_TOT,RO,2009-01-01,17
PC,BUS_TOT,RO,2010-01-01,16
PC,BUS_TOT,RO,2011-01-01,16
PC,BUS_TOT,RO,2012-01-01,17
PC,BUS_TOT,RO,2013-01-01,16
PC,BUS_TOT,RO,2014-01-01,16
PC,BUS_TOT,RO,2015-01-01,15
PC,BUS_TOT,RO,2016-01-01,15
PC,BUS_TOT,SE,2000-01-01,7
PC,BUS_TOT,SE,2001-01-01,7
PC,BUS_TOT,SE,2002-01-01,7
PC,BUS_TOT,SE,2003-01-01,7
PC,BUS_TOT,SE,2004-01-01,7
PC,BUS_TOT,SE,2005-01-01,7
PC,BUS_TOT,SE,2006-01-01,7
PC,BUS_TOT,SE,2007-01-01,7
PC,BUS_TOT,SE,2008-01-01,7
PC,BUS_TOT,SE,2009-01-01,7
PC,BUS_TOT,SE,2010-01-01,7
PC,BUS_TOT,SE,2011-01-01,7
PC,BUS_TOT,SE,2012-01-01,7
PC,BUS_TOT,SE,2013-01-01,7
PC,BUS_TOT,SE,2014-01-01,7
PC,BUS_TOT,SE,2015-01-01,7
PC,BUS_TOT,SE,2016-01-01,7
PC,BUS_TOT,SI,2000-01-01,14
PC,BUS_TOT,SI,2001-01-01,13
PC,BUS_TOT,SI,2002-01-01,13
PC,BUS_TOT,SI,2003-01-01,13
PC,BUS_TOT,SI,2004-01-01,12
PC,BUS_TOT,SI,2005-01-01,11
PC,BUS_TOT,SI,2006-01-01,11
PC,BUS_TOT,SI,2007-01-01,11
PC,BUS_TOT,SI,2008-01-01,10
PC,BUS_TOT,SI,2009-01-01,10
PC,BUS_TOT,SI,2010-01-01,10
PC,BUS_TOT,SI,2011-01-01,11
PC,BUS_TOT,SI,2012-01-01,11
PC,BUS_TOT,SI,2013-01-01,11
PC,BUS_TOT,SI,2014-01-01,11
PC,BUS_TOT,SI,2015-01-01,11
PC,BUS_TOT,SI,2016-01-01,11
PC,BUS_TOT,SK,2000-01-01,27
PC,BUS_TOT,SK,2001-01-01,27
PC,BUS_TOT,SK,2002-01-01,26
PC,BUS_TOT,SK,2003-01-01,24
PC,BUS_TOT,SK,2004-01-01,26
PC,BUS_TOT,SK,2005-01-01,24
PC,BUS_TOT,SK,2006-01-01,23
PC,BUS_TOT,SK,2007-01-01,22
PC,BUS_TOT,SK,2008-01-01,20
PC,BUS_TOT,SK,2009-01-01,15
PC,BUS_TOT,SK,2010-01-01,15
PC,BUS_TOT,SK,2011-01-01,15
PC,BUS_TOT,SK,2012-01-01,15
PC,BUS_TOT,SK,2013-01-01,15
