sector,s_adj,na_item,unit,geo\time,date,value
S14_S15,SCA,SRG_S14_S15,PC,AT,2016-10-01,13.04 
S14_S15,SCA,SRG_S14_S15,PC,AT,2017-01-01,11.94 
S14_S15,SCA,SRG_S14_S15,PC,AT,2017-04-01,12.74 
S14_S15,SCA,SRG_S14_S15,PC,AT,2017-07-01,11.94 
S14_S15,SCA,SRG_S14_S15,PC,AT,2017-10-01,12.07 
S14_S15,SCA,SRG_S14_S15,PC,AT,2018-01-01,12.58 
S14_S15,SCA,SRG_S14_S15,PC,AT,2018-04-01,11.48 
S14_S15,SCA,SRG_S14_S15,PC,BE,2015-07-01,11.49
S14_S15,SCA,SRG_S14_S15,PC,BE,2015-10-01,11.93
S14_S15,SCA,SRG_S14_S15,PC,BE,2016-01-01,11.71 
S14_S15,SCA,SRG_S14_S15,PC,BE,2016-04-01,10.47 
S14_S15,SCA,SRG_S14_S15,PC,BE,2016-07-01,11.06 
S14_S15,SCA,SRG_S14_S15,PC,BE,2016-10-01,11.49 
S14_S15,SCA,SRG_S14_S15,PC,BE,2017-01-01,10.90 
S14_S15,SCA,SRG_S14_S15,PC,BE,2017-04-01,11.56 
S14_S15,SCA,SRG_S14_S15,PC,BE,2017-07-01,11.08 
S14_S15,SCA,SRG_S14_S15,PC,BE,2017-10-01,11.56 
S14_S15,SCA,SRG_S14_S15,PC,BE,2018-01-01,10.65 
S14_S15,SCA,SRG_S14_S15,PC,BE,2018-04-01,: 
S14_S15,SCA,SRG_S14_S15,PC,CZ,2015-07-01,12.34
S14_S15,SCA,SRG_S14_S15,PC,CZ,2015-10-01,11.57
S14_S15,SCA,SRG_S14_S15,PC,CZ,2016-01-01,11.96 
S14_S15,SCA,SRG_S14_S15,PC,CZ,2016-04-01,12.26 
S14_S15,SCA,SRG_S14_S15,PC,CZ,2016-07-01,11.42 
S14_S15,SCA,SRG_S14_S15,PC,CZ,2016-10-01,10.89 
S14_S15,SCA,SRG_S14_S15,PC,CZ,2017-01-01,9.86 
S14_S15,SCA,SRG_S14_S15,PC,CZ,2017-04-01,9.35 
S14_S15,SCA,SRG_S14_S15,PC,CZ,2017-07-01,9.34 
S14_S15,SCA,SRG_S14_S15,PC,CZ,2017-10-01,9.46 
S14_S15,SCA,SRG_S14_S15,PC,CZ,2018-01-01,9.42 
S14_S15,SCA,SRG_S14_S15,PC,CZ,2018-04-01,9.95 
S14_S15,SCA,SRG_S14_S15,PC,DE,2015-07-01,17.0
S14_S15,SCA,SRG_S14_S15,PC,DE,2015-10-01,17.04
S14_S15,SCA,SRG_S14_S15,PC,DE,2016-01-01,16.96 
S14_S15,SCA,SRG_S14_S15,PC,DE,2016-04-01,17.14 
S14_S15,SCA,SRG_S14_S15,PC,DE,2016-07-01,17.10 
S14_S15,SCA,SRG_S14_S15,PC,DE,2016-10-01,17.21 
S14_S15,SCA,SRG_S14_S15,PC,DE,2017-01-01,17.13 
S14_S15,SCA,SRG_S14_S15,PC,DE,2017-04-01,17.14 
S14_S15,SCA,SRG_S14_S15,PC,DE,2017-07-01,17.32 
S14_S15,SCA,SRG_S14_S15,PC,DE,2017-10-01,17.55 
S14_S15,SCA,SRG_S14_S15,PC,DE,2018-01-01,17.41 
S14_S15,SCA,SRG_S14_S15,PC,DE,2018-04-01,: 
S14_S15,SCA,SRG_S14_S15,PC,EA19,2015-07-01,12.56
S14_S15,SCA,SRG_S14_S15,PC,EA19,2015-10-01,12.74
S14_S15,SCA,SRG_S14_S15,PC,EA19,2016-01-01,12.55 
S14_S15,SCA,SRG_S14_S15,PC,EA19,2016-04-01,12.60 
S14_S15,SCA,SRG_S14_S15,PC,EA19,2016-07-01,12.53 
S14_S15,SCA,SRG_S14_S15,PC,EA19,2016-10-01,12.00 
S14_S15,SCA,SRG_S14_S15,PC,EA19,2017-01-01,11.99 
S14_S15,SCA,SRG_S14_S15,PC,EA19,2017-04-01,11.76 
S14_S15,SCA,SRG_S14_S15,PC,EA19,2017-07-01,11.79 
S14_S15,SCA,SRG_S14_S15,PC,EA19,2017-10-01,11.98 
S14_S15,SCA,SRG_S14_S15,PC,EA19,2018-01-01,11.95 
S14_S15,SCA,SRG_S14_S15,PC,EA19,2018-04-01,12.08 
S14_S15,SCA,SRG_S14_S15,PC,ES,2015-07-01,8.32
S14_S15,SCA,SRG_S14_S15,PC,ES,2015-10-01,8.97
S14_S15,SCA,SRG_S14_S15,PC,ES,2016-01-01,8.61 
S14_S15,SCA,SRG_S14_S15,PC,ES,2016-04-01,8.16 
S14_S15,SCA,SRG_S14_S15,PC,ES,2016-07-01,7.61 
S14_S15,SCA,SRG_S14_S15,PC,ES,2016-10-01,6.54 
S14_S15,SCA,SRG_S14_S15,PC,ES,2017-01-01,6.15 
S14_S15,SCA,SRG_S14_S15,PC,ES,2017-04-01,6.13 
S14_S15,SCA,SRG_S14_S15,PC,ES,2017-07-01,5.75 
S14_S15,SCA,SRG_S14_S15,PC,ES,2017-10-01,4.94 
S14_S15,SCA,SRG_S14_S15,PC,ES,2018-01-01,5.00 
S14_S15,SCA,SRG_S14_S15,PC,ES,2018-04-01,: 
S14_S15,SCA,SRG_S14_S15,PC,EU28,2015-07-01,10.77
S14_S15,SCA,SRG_S14_S15,PC,EU28,2015-10-01,10.76
S14_S15,SCA,SRG_S14_S15,PC,EU28,2016-01-01,11.23 
S14_S15,SCA,SRG_S14_S15,PC,EU28,2016-04-01,10.96 
S14_S15,SCA,SRG_S14_S15,PC,EU28,2016-07-01,10.91 
S14_S15,SCA,SRG_S14_S15,PC,EU28,2016-10-01,10.12 
S14_S15,SCA,SRG_S14_S15,PC,EU28,2017-01-01,9.58 
S14_S15,SCA,SRG_S14_S15,PC,EU28,2017-04-01,9.83 
S14_S15,SCA,SRG_S14_S15,PC,EU28,2017-07-01,9.75 
S14_S15,SCA,SRG_S14_S15,PC,EU28,2017-10-01,10.23 
S14_S15,SCA,SRG_S14_S15,PC,EU28,2018-01-01,10.01 
S14_S15,SCA,SRG_S14_S15,PC,EU28,2018-04-01,: 
S14_S15,SCA,SRG_S14_S15,PC,FI,2015-07-01,6.99
S14_S15,SCA,SRG_S14_S15,PC,FI,2015-10-01,6.76
S14_S15,SCA,SRG_S14_S15,PC,FI,2016-01-01,7.64 
S14_S15,SCA,SRG_S14_S15,PC,FI,2016-04-01,6.01 
S14_S15,SCA,SRG_S14_S15,PC,FI,2016-07-01,5.06 
S14_S15,SCA,SRG_S14_S15,PC,FI,2016-10-01,5.82 
S14_S15,SCA,SRG_S14_S15,PC,FI,2017-01-01,5.70 
S14_S15,SCA,SRG_S14_S15,PC,FI,2017-04-01,5.68 
S14_S15,SCA,SRG_S14_S15,PC,FI,2017-07-01,6.08 
S14_S15,SCA,SRG_S14_S15,PC,FI,2017-10-01,5.40 
S14_S15,SCA,SRG_S14_S15,PC,FI,2018-01-01,7.12 
S14_S15,SCA,SRG_S14_S15,PC,FI,2018-04-01,6.66 
S14_S15,SCA,SRG_S14_S15,PC,FR,2015-07-01,13.68
S14_S15,SCA,SRG_S14_S15,PC,FR,2015-10-01,14.07
S14_S15,SCA,SRG_S14_S15,PC,FR,2016-01-01,13.57 
S14_S15,SCA,SRG_S14_S15,PC,FR,2016-04-01,13.19 
S14_S15,SCA,SRG_S14_S15,PC,FR,2016-07-01,14.08 
S14_S15,SCA,SRG_S14_S15,PC,FR,2016-10-01,13.45 
S14_S15,SCA,SRG_S14_S15,PC,FR,2017-01-01,13.62 
S14_S15,SCA,SRG_S14_S15,PC,FR,2017-04-01,13.91 
S14_S15,SCA,SRG_S14_S15,PC,FR,2017-07-01,13.98 
S14_S15,SCA,SRG_S14_S15,PC,FR,2017-10-01,13.99 
S14_S15,SCA,SRG_S14_S15,PC,FR,2018-01-01,13.18 
S14_S15,SCA,SRG_S14_S15,PC,FR,2018-04-01,: 
S14_S15,SCA,SRG_S14_S15,PC,IT,2015-07-01,10.79
S14_S15,SCA,SRG_S14_S15,PC,IT,2015-10-01,10.49
S14_S15,SCA,SRG_S14_S15,PC,IT,2016-01-01,10.68 
S14_S15,SCA,SRG_S14_S15,PC,IT,2016-04-01,10.86 
S14_S15,SCA,SRG_S14_S15,PC,IT,2016-07-01,10.39 
S14_S15,SCA,SRG_S14_S15,PC,IT,2016-10-01,9.90 
S14_S15,SCA,SRG_S14_S15,PC,IT,2017-01-01,9.70 
S14_S15,SCA,SRG_S14_S15,PC,IT,2017-04-01,9.45 
S14_S15,SCA,SRG_S14_S15,PC,IT,2017-07-01,9.76 
S14_S15,SCA,SRG_S14_S15,PC,IT,2017-10-01,10.20 
S14_S15,SCA,SRG_S14_S15,PC,IT,2018-01-01,9.55 
S14_S15,SCA,SRG_S14_S15,PC,IT,2018-04-01,: 
S14_S15,SCA,SRG_S14_S15,PC,NL,2015-07-01,16.52
S14_S15,SCA,SRG_S14_S15,PC,NL,2015-10-01,15.48
S14_S15,SCA,SRG_S14_S15,PC,NL,2016-01-01,16.14 
S14_S15,SCA,SRG_S14_S15,PC,NL,2016-04-01,16.36 
S14_S15,SCA,SRG_S14_S15,PC,NL,2016-07-01,16.51 
S14_S15,SCA,SRG_S14_S15,PC,NL,2016-10-01,15.91 
S14_S15,SCA,SRG_S14_S15,PC,NL,2017-01-01,15.88 
S14_S15,SCA,SRG_S14_S15,PC,NL,2017-04-01,15.36 
S14_S15,SCA,SRG_S14_S15,PC,NL,2017-07-01,14.90 
S14_S15,SCA,SRG_S14_S15,PC,NL,2017-10-01,15.22 
S14_S15,SCA,SRG_S14_S15,PC,NL,2018-01-01,14.23 
S14_S15,SCA,SRG_S14_S15,PC,NL,2018-04-01,14.85 
S14_S15,SCA,SRG_S14_S15,PC,PT,2015-07-01,4.98
S14_S15,SCA,SRG_S14_S15,PC,PT,2015-10-01,5.44
S14_S15,SCA,SRG_S14_S15,PC,PT,2016-01-01,5.46 
S14_S15,SCA,SRG_S14_S15,PC,PT,2016-04-01,4.59 
