unit,incgrp,hhtyp,n_item,geotime,date,value
PC,TOTAL,TOTAL,0,IT,2006-01-01,75
PC,TOTAL,TOTAL,0,IT,2007-01-01,75
PC,TOTAL,TOTAL,0,IT,2008-01-01,76
PC,TOTAL,TOTAL,0,IT,2009-01-01,76
PC,TOTAL,TOTAL,0,IT,2010-01-01,76
PC,TOTAL,TOTAL,0,IT,2011-01-01,72
PC,TOTAL,TOTAL,0,IT,2012-01-01,75
PC,TOTAL,TOTAL,0,IT,2013-01-01,73
PC,TOTAL,TOTAL,0,IT,2014-01-01,72
PC,TOTAL,TOTAL,0,IT,2015-01-01,73
PC,TOTAL,TOTAL,0,IT,2016-01-01,77
PC,TOTAL,TOTAL,0,IT,2017-01-01,82
PC,TOTAL,TOTAL,0,LT,2006-01-01,53
PC,TOTAL,TOTAL,0,LT,2007-01-01,59
PC,TOTAL,TOTAL,0,LT,2008-01-01,61
PC,TOTAL,TOTAL,0,LT,2009-01-01,66
PC,TOTAL,TOTAL,0,LT,2010-01-01,68
PC,TOTAL,TOTAL,0,LT,2011-01-01,68
PC,TOTAL,TOTAL,0,LT,2012-01-01,70
PC,TOTAL,TOTAL,0,LT,2013-01-01,69
PC,TOTAL,TOTAL,0,LT,2014-01-01,71
PC,TOTAL,TOTAL,0,LT,2015-01-01,74
PC,TOTAL,TOTAL,0,LT,2016-01-01,71
PC,TOTAL,TOTAL,0,LT,2017-01-01,74
PC,TOTAL,TOTAL,0,LU,2006-01-01,82
PC,TOTAL,TOTAL,0,LU,2007-01-01,82
PC,TOTAL,TOTAL,0,LU,2008-01-01,80
PC,TOTAL,TOTAL,0,LU,2009-01-01,78
PC,TOTAL,TOTAL,0,LU,2010-01-01,79
PC,TOTAL,TOTAL,0,LU,2011-01-01,82
PC,TOTAL,TOTAL,0,LU,2012-01-01,78
PC,TOTAL,TOTAL,0,LU,2013-01-01,80
PC,TOTAL,TOTAL,0,LU,2014-01-01,81
PC,TOTAL,TOTAL,0,LU,2015-01-01,80
PC,TOTAL,TOTAL,0,LU,2016-01-01,73
PC,TOTAL,TOTAL,0,LU,2017-01-01,77
PC,TOTAL,TOTAL,0,LV,2006-01-01,54
PC,TOTAL,TOTAL,0,LV,2007-01-01,57
PC,TOTAL,TOTAL,0,LV,2008-01-01,60
PC,TOTAL,TOTAL,0,LV,2009-01-01,60
PC,TOTAL,TOTAL,0,LV,2010-01-01,61
PC,TOTAL,TOTAL,0,LV,2011-01-01,61
PC,TOTAL,TOTAL,0,LV,2012-01-01,59
PC,TOTAL,TOTAL,0,LV,2013-01-01,61
PC,TOTAL,TOTAL,0,LV,2014-01-01,62
PC,TOTAL,TOTAL,0,LV,2015-01-01,65
PC,TOTAL,TOTAL,0,LV,2016-01-01,68
PC,TOTAL,TOTAL,0,LV,2017-01-01,68
PC,TOTAL,TOTAL,0,MK,2006-01-01,
PC,TOTAL,TOTAL,0,MK,2007-01-01,
PC,TOTAL,TOTAL,0,MK,2008-01-01,
PC,TOTAL,TOTAL,0,MK,2009-01-01,
PC,TOTAL,TOTAL,0,MK,2010-01-01,64
PC,TOTAL,TOTAL,0,MK,2011-01-01,74
PC,TOTAL,TOTAL,0,MK,2012-01-01,75
PC,TOTAL,TOTAL,0,MK,2013-01-01,79
PC,TOTAL,TOTAL,0,MK,2014-01-01,78
PC,TOTAL,TOTAL,0,MK,2015-01-01,83
PC,TOTAL,TOTAL,0,MK,2016-01-01,80
PC,TOTAL,TOTAL,0,MK,2017-01-01,
PC,TOTAL,TOTAL,0,MT,2006-01-01,88
PC,TOTAL,TOTAL,0,MT,2007-01-01,90
PC,TOTAL,TOTAL,0,MT,2008-01-01,89
PC,TOTAL,TOTAL,0,MT,2009-01-01,85
PC,TOTAL,TOTAL,0,MT,2010-01-01,83
PC,TOTAL,TOTAL,0,MT,2011-01-01,82
PC,TOTAL,TOTAL,0,MT,2012-01-01,83
PC,TOTAL,TOTAL,0,MT,2013-01-01,82
PC,TOTAL,TOTAL,0,MT,2014-01-01,83
PC,TOTAL,TOTAL,0,MT,2015-01-01,84
PC,TOTAL,TOTAL,0,MT,2016-01-01,85
PC,TOTAL,TOTAL,0,MT,2017-01-01,86
PC,TOTAL,TOTAL,0,NL,2006-01-01,79
PC,TOTAL,TOTAL,0,NL,2007-01-01,78
PC,TOTAL,TOTAL,0,NL,2008-01-01,81
PC,TOTAL,TOTAL,0,NL,2009-01-01,83
PC,TOTAL,TOTAL,0,NL,2010-01-01,82
PC,TOTAL,TOTAL,0,NL,2011-01-01,82
PC,TOTAL,TOTAL,0,NL,2012-01-01,81
PC,TOTAL,TOTAL,0,NL,2013-01-01,82
PC,TOTAL,TOTAL,0,NL,2014-01-01,81
PC,TOTAL,TOTAL,0,NL,2015-01-01,81
PC,TOTAL,TOTAL,0,NL,2016-01-01,81
PC,TOTAL,TOTAL,0,NL,2017-01-01,84
PC,TOTAL,TOTAL,0,NO,2006-01-01,89
PC,TOTAL,TOTAL,0,NO,2007-01-01,88
PC,TOTAL,TOTAL,0,NO,2008-01-01,88
PC,TOTAL,TOTAL,0,NO,2009-01-01,88
PC,TOTAL,TOTAL,0,NO,2010-01-01,89
PC,TOTAL,TOTAL,0,NO,2011-01-01,89
PC,TOTAL,TOTAL,0,NO,2012-01-01,88
PC,TOTAL,TOTAL,0,NO,2013-01-01,90
PC,TOTAL,TOTAL,0,NO,2014-01-01,92
PC,TOTAL,TOTAL,0,NO,2015-01-01,90
PC,TOTAL,TOTAL,0,NO,2016-01-01,91
PC,TOTAL,TOTAL,0,NO,2017-01-01,91
PC,TOTAL,TOTAL,0,PL,2006-01-01,54
PC,TOTAL,TOTAL,0,PL,2007-01-01,58
PC,TOTAL,TOTAL,0,PL,2008-01-01,72
PC,TOTAL,TOTAL,0,PL,2009-01-01,76
PC,TOTAL,TOTAL,0,PL,2010-01-01,78
PC,TOTAL,TOTAL,0,PL,2011-01-01,82
PC,TOTAL,TOTAL,0,PL,2012-01-01,83
PC,TOTAL,TOTAL,0,PL,2013-01-01,84
PC,TOTAL,TOTAL,0,PL,2014-01-01,85
PC,TOTAL,TOTAL,0,PL,2015-01-01,84
PC,TOTAL,TOTAL,0,PL,2016-01-01,84
PC,TOTAL,TOTAL,0,PL,2017-01-01,84
