stk_flow,geo\time,date,value
LOSS_CUM_EUR_HAB,PT,2010-01-01,: 
LOSS_CUM_EUR_HAB,PT,2011-01-01,: 
LOSS_CUM_EUR_HAB,PT,2012-01-01,: 
LOSS_CUM_EUR_HAB,PT,2013-01-01,: 
LOSS_CUM_EUR_HAB,PT,2014-01-01,: 
LOSS_CUM_EUR_HAB,PT,2015-01-01,: 
LOSS_CUM_EUR_HAB,PT,2016-01-01,597
LOSS_CUM_EUR_HAB,RO,1980-01-01,: 
LOSS_CUM_EUR_HAB,RO,1981-01-01,: 
LOSS_CUM_EUR_HAB,RO,1982-01-01,: 
LOSS_CUM_EUR_HAB,RO,1983-01-01,: 
LOSS_CUM_EUR_HAB,RO,1984-01-01,: 
LOSS_CUM_EUR_HAB,RO,1985-01-01,: 
LOSS_CUM_EUR_HAB,RO,1986-01-01,: 
LOSS_CUM_EUR_HAB,RO,1987-01-01,: 
LOSS_CUM_EUR_HAB,RO,1988-01-01,: 
LOSS_CUM_EUR_HAB,RO,1989-01-01,: 
LOSS_CUM_EUR_HAB,RO,1990-01-01,: 
LOSS_CUM_EUR_HAB,RO,1991-01-01,: 
LOSS_CUM_EUR_HAB,RO,1992-01-01,: 
LOSS_CUM_EUR_HAB,RO,1993-01-01,: 
LOSS_CUM_EUR_HAB,RO,1994-01-01,: 
LOSS_CUM_EUR_HAB,RO,1995-01-01,: 
LOSS_CUM_EUR_HAB,RO,1996-01-01,: 
LOSS_CUM_EUR_HAB,RO,1997-01-01,: 
LOSS_CUM_EUR_HAB,RO,1998-01-01,: 
LOSS_CUM_EUR_HAB,RO,1999-01-01,: 
LOSS_CUM_EUR_HAB,RO,2000-01-01,: 
LOSS_CUM_EUR_HAB,RO,2001-01-01,: 
LOSS_CUM_EUR_HAB,RO,2002-01-01,: 
LOSS_CUM_EUR_HAB,RO,2003-01-01,: 
LOSS_CUM_EUR_HAB,RO,2004-01-01,: 
