indic_il,sex,age,geotime,date,value
LI_GAP_MD60,T,TOTAL,IS,2013-01-01,17.8
LI_GAP_MD60,T,TOTAL,IS,2014-01-01,16.4
LI_GAP_MD60,T,TOTAL,IS,2015-01-01,18.5
LI_GAP_MD60,T,TOTAL,IS,2016-01-01,15.3
LI_GAP_MD60,T,TOTAL,IS,2017-01-01,
LI_GAP_MD60,T,TOTAL,IT,2000-01-01,26.0
LI_GAP_MD60,T,TOTAL,IT,2001-01-01,28.0
LI_GAP_MD60,T,TOTAL,IT,2002-01-01,
LI_GAP_MD60,T,TOTAL,IT,2003-01-01,
LI_GAP_MD60,T,TOTAL,IT,2004-01-01,24.5
LI_GAP_MD60,T,TOTAL,IT,2005-01-01,24.0
LI_GAP_MD60,T,TOTAL,IT,2006-01-01,24.1
LI_GAP_MD60,T,TOTAL,IT,2007-01-01,22.7
LI_GAP_MD60,T,TOTAL,IT,2008-01-01,23.2
LI_GAP_MD60,T,TOTAL,IT,2009-01-01,23.1
LI_GAP_MD60,T,TOTAL,IT,2010-01-01,24.8
LI_GAP_MD60,T,TOTAL,IT,2011-01-01,26.6
LI_GAP_MD60,T,TOTAL,IT,2012-01-01,26.0
LI_GAP_MD60,T,TOTAL,IT,2013-01-01,28.2
LI_GAP_MD60,T,TOTAL,IT,2014-01-01,28.2
LI_GAP_MD60,T,TOTAL,IT,2015-01-01,29.3
LI_GAP_MD60,T,TOTAL,IT,2016-01-01,31.6
LI_GAP_MD60,T,TOTAL,IT,2017-01-01,28.1
LI_GAP_MD60,T,TOTAL,LT,2000-01-01,23.0
LI_GAP_MD60,T,TOTAL,LT,2001-01-01,22.0
LI_GAP_MD60,T,TOTAL,LT,2002-01-01,
LI_GAP_MD60,T,TOTAL,LT,2003-01-01,
LI_GAP_MD60,T,TOTAL,LT,2004-01-01,
LI_GAP_MD60,T,TOTAL,LT,2005-01-01,28.4
LI_GAP_MD60,T,TOTAL,LT,2006-01-01,29.1
LI_GAP_MD60,T,TOTAL,LT,2007-01-01,25.7
LI_GAP_MD60,T,TOTAL,LT,2008-01-01,25.6
LI_GAP_MD60,T,TOTAL,LT,2009-01-01,23.8
LI_GAP_MD60,T,TOTAL,LT,2010-01-01,32.6
LI_GAP_MD60,T,TOTAL,LT,2011-01-01,29.0
LI_GAP_MD60,T,TOTAL,LT,2012-01-01,22.6
LI_GAP_MD60,T,TOTAL,LT,2013-01-01,24.8
LI_GAP_MD60,T,TOTAL,LT,2014-01-01,22.7
LI_GAP_MD60,T,TOTAL,LT,2015-01-01,26.0
LI_GAP_MD60,T,TOTAL,LT,2016-01-01,28.0
LI_GAP_MD60,T,TOTAL,LT,2017-01-01,28.0
LI_GAP_MD60,T,TOTAL,LU,2000-01-01,17.0
LI_GAP_MD60,T,TOTAL,LU,2001-01-01,17.0
LI_GAP_MD60,T,TOTAL,LU,2002-01-01,
LI_GAP_MD60,T,TOTAL,LU,2003-01-01,17.9
LI_GAP_MD60,T,TOTAL,LU,2004-01-01,16.4
LI_GAP_MD60,T,TOTAL,LU,2005-01-01,18.6
LI_GAP_MD60,T,TOTAL,LU,2006-01-01,19.7
LI_GAP_MD60,T,TOTAL,LU,2007-01-01,18.8
LI_GAP_MD60,T,TOTAL,LU,2008-01-01,16.6
LI_GAP_MD60,T,TOTAL,LU,2009-01-01,17.6
LI_GAP_MD60,T,TOTAL,LU,2010-01-01,18.6
LI_GAP_MD60,T,TOTAL,LU,2011-01-01,15.7
LI_GAP_MD60,T,TOTAL,LU,2012-01-01,15.0
LI_GAP_MD60,T,TOTAL,LU,2013-01-01,17.5
LI_GAP_MD60,T,TOTAL,LU,2014-01-01,16.3
LI_GAP_MD60,T,TOTAL,LU,2015-01-01,17.4
LI_GAP_MD60,T,TOTAL,LU,2016-01-01,23.2
LI_GAP_MD60,T,TOTAL,LU,2017-01-01,21.8
