indic_is,ind_type,unit,geotime,date,value
I_DSK_BAB,M_Y16_74,PC_IND,NL,2016-01-01,79.0
I_DSK_BAB,M_Y16_74,PC_IND,NL,2017-01-01,82.0
I_DSK_BAB,M_Y16_74,PC_IND,NO,2015-01-01,82.0
I_DSK_BAB,M_Y16_74,PC_IND,NO,2016-01-01,76.0
I_DSK_BAB,M_Y16_74,PC_IND,NO,2017-01-01,79.0
I_DSK_BAB,M_Y16_74,PC_IND,PL,2015-01-01,42.0
I_DSK_BAB,M_Y16_74,PC_IND,PL,2016-01-01,46.0
I_DSK_BAB,M_Y16_74,PC_IND,PL,2017-01-01,48.0
I_DSK_BAB,M_Y16_74,PC_IND,PT,2015-01-01,52.0
I_DSK_BAB,M_Y16_74,PC_IND,PT,2016-01-01,50.0
I_DSK_BAB,M_Y16_74,PC_IND,PT,2017-01-01,53.0
I_DSK_BAB,M_Y16_74,PC_IND,RO,2015-01-01,28.0
I_DSK_BAB,M_Y16_74,PC_IND,RO,2016-01-01,29.0
I_DSK_BAB,M_Y16_74,PC_IND,RO,2017-01-01,30.0
I_DSK_BAB,M_Y16_74,PC_IND,RS,2015-01-01,35.0
I_DSK_BAB,M_Y16_74,PC_IND,RS,2016-01-01,
I_DSK_BAB,M_Y16_74,PC_IND,RS,2017-01-01,42.0
I_DSK_BAB,M_Y16_74,PC_IND,SE,2015-01-01,72.0
I_DSK_BAB,M_Y16_74,PC_IND,SE,2016-01-01,70.0
I_DSK_BAB,M_Y16_74,PC_IND,SE,2017-01-01,78.0
I_DSK_BAB,M_Y16_74,PC_IND,SI,2015-01-01,50.0
I_DSK_BAB,M_Y16_74,PC_IND,SI,2016-01-01,53.0
I_DSK_BAB,M_Y16_74,PC_IND,SI,2017-01-01,51.0
I_DSK_BAB,M_Y16_74,PC_IND,SK,2015-01-01,54.0
I_DSK_BAB,M_Y16_74,PC_IND,SK,2016-01-01,57.0
I_DSK_BAB,M_Y16_74,PC_IND,SK,2017-01-01,62.0
I_DSK_BAB,M_Y16_74,PC_IND,TR,2015-01-01,29.0
I_DSK_BAB,M_Y16_74,PC_IND,TR,2016-01-01,35.0
I_DSK_BAB,M_Y16_74,PC_IND,TR,2017-01-01,41.0
I_DSK_BAB,M_Y16_74,PC_IND,UK,2015-01-01,69.0
I_DSK_BAB,M_Y16_74,PC_IND,UK,2016-01-01,69.0
I_DSK_BAB,M_Y16_74,PC_IND,UK,2017-01-01,72.0
