indic,unit,geotime,date,value
TOTAL,PCH_Q4_NSA,FR,2016-07-01,1.4
TOTAL,PCH_Q4_NSA,FR,2016-10-01,1.6
TOTAL,PCH_Q4_NSA,FR,2017-01-01,2.7
TOTAL,PCH_Q4_NSA,FR,2017-04-01,3.2
TOTAL,PCH_Q4_NSA,FR,2017-07-01,3.3
TOTAL,PCH_Q4_NSA,FR,2017-10-01,3.3
TOTAL,PCH_Q4_NSA,FR,2018-01-01,2.9
TOTAL,PCH_Q4_NSA,FR,2018-04-01,2.8
TOTAL,PCH_Q4_NSA,HR,2015-07-01,-3.0
TOTAL,PCH_Q4_NSA,HR,2015-10-01,-2.1
TOTAL,PCH_Q4_NSA,HR,2016-01-01,0.2
TOTAL,PCH_Q4_NSA,HR,2016-04-01,1.2
TOTAL,PCH_Q4_NSA,HR,2016-07-01,1.5
TOTAL,PCH_Q4_NSA,HR,2016-10-01,0.8
TOTAL,PCH_Q4_NSA,HR,2017-01-01,-0.4
TOTAL,PCH_Q4_NSA,HR,2017-04-01,4.3
TOTAL,PCH_Q4_NSA,HR,2017-07-01,3.8
TOTAL,PCH_Q4_NSA,HR,2017-10-01,7.6
TOTAL,PCH_Q4_NSA,HR,2018-01-01,8.5
TOTAL,PCH_Q4_NSA,HR,2018-04-01,4.5
TOTAL,PCH_Q4_NSA,HU,2015-07-01,15.6
TOTAL,PCH_Q4_NSA,HU,2015-10-01,14.7
TOTAL,PCH_Q4_NSA,HU,2016-01-01,16.9
TOTAL,PCH_Q4_NSA,HU,2016-04-01,13.5
TOTAL,PCH_Q4_NSA,HU,2016-07-01,11.8
TOTAL,PCH_Q4_NSA,HU,2016-10-01,11.8
TOTAL,PCH_Q4_NSA,HU,2017-01-01,5.3
TOTAL,PCH_Q4_NSA,HU,2017-04-01,6.0
TOTAL,PCH_Q4_NSA,HU,2017-07-01,6.2
TOTAL,PCH_Q4_NSA,HU,2017-10-01,6.3
TOTAL,PCH_Q4_NSA,HU,2018-01-01,12.2
TOTAL,PCH_Q4_NSA,HU,2018-04-01,10.4
TOTAL,PCH_Q4_NSA,IE,2015-07-01,8.7
TOTAL,PCH_Q4_NSA,IE,2015-10-01,6.9
TOTAL,PCH_Q4_NSA,IE,2016-01-01,7.5
TOTAL,PCH_Q4_NSA,IE,2016-04-01,6.3
TOTAL,PCH_Q4_NSA,IE,2016-07-01,7.5
TOTAL,PCH_Q4_NSA,IE,2016-10-01,8.5
TOTAL,PCH_Q4_NSA,IE,2017-01-01,9.3
TOTAL,PCH_Q4_NSA,IE,2017-04-01,10.6
TOTAL,PCH_Q4_NSA,IE,2017-07-01,11.8
TOTAL,PCH_Q4_NSA,IE,2017-10-01,11.8
TOTAL,PCH_Q4_NSA,IE,2018-01-01,12.3
TOTAL,PCH_Q4_NSA,IE,2018-04-01,12.6
TOTAL,PCH_Q4_NSA,IS,2015-07-01,8.1
TOTAL,PCH_Q4_NSA,IS,2015-10-01,8.7
TOTAL,PCH_Q4_NSA,IS,2016-01-01,7.9
TOTAL,PCH_Q4_NSA,IS,2016-04-01,7.3
TOTAL,PCH_Q4_NSA,IS,2016-07-01,10.2
TOTAL,PCH_Q4_NSA,IS,2016-10-01,13.6
TOTAL,PCH_Q4_NSA,IS,2017-01-01,16.3
TOTAL,PCH_Q4_NSA,IS,2017-04-01,22.0
TOTAL,PCH_Q4_NSA,IS,2017-07-01,22.5
TOTAL,PCH_Q4_NSA,IS,2017-10-01,17.3
TOTAL,PCH_Q4_NSA,IS,2018-01-01,13.7
TOTAL,PCH_Q4_NSA,IS,2018-04-01,8.0
TOTAL,PCH_Q4_NSA,IT,2015-07-01,-2.7
TOTAL,PCH_Q4_NSA,IT,2015-10-01,-2.1
TOTAL,PCH_Q4_NSA,IT,2016-01-01,0.1
TOTAL,PCH_Q4_NSA,IT,2016-04-01,0.7
TOTAL,PCH_Q4_NSA,IT,2016-07-01,0.0
TOTAL,PCH_Q4_NSA,IT,2016-10-01,-0.8
TOTAL,PCH_Q4_NSA,IT,2017-01-01,-0.7
TOTAL,PCH_Q4_NSA,IT,2017-04-01,-0.9
TOTAL,PCH_Q4_NSA,IT,2017-07-01,-1.5
TOTAL,PCH_Q4_NSA,IT,2017-10-01,-0.2
TOTAL,PCH_Q4_NSA,IT,2018-01-01,-0.5
TOTAL,PCH_Q4_NSA,IT,2018-04-01,-0.2
TOTAL,PCH_Q4_NSA,LT,2015-07-01,3.4
TOTAL,PCH_Q4_NSA,LT,2015-10-01,3.3
TOTAL,PCH_Q4_NSA,LT,2016-01-01,3.4
TOTAL,PCH_Q4_NSA,LT,2016-04-01,3.4
TOTAL,PCH_Q4_NSA,LT,2016-07-01,5.3
TOTAL,PCH_Q4_NSA,LT,2016-10-01,9.5
TOTAL,PCH_Q4_NSA,LT,2017-01-01,10.2
TOTAL,PCH_Q4_NSA,LT,2017-04-01,10.2
TOTAL,PCH_Q4_NSA,LT,2017-07-01,8.5
TOTAL,PCH_Q4_NSA,LT,2017-10-01,6.9
TOTAL,PCH_Q4_NSA,LT,2018-01-01,7.8
TOTAL,PCH_Q4_NSA,LT,2018-04-01,7.4
TOTAL,PCH_Q4_NSA,LU,2015-07-01,5.5
TOTAL,PCH_Q4_NSA,LU,2015-10-01,3.7
TOTAL,PCH_Q4_NSA,LU,2016-01-01,4.9
TOTAL,PCH_Q4_NSA,LU,2016-04-01,5.6
TOTAL,PCH_Q4_NSA,LU,2016-07-01,5.7
TOTAL,PCH_Q4_NSA,LU,2016-10-01,7.8
TOTAL,PCH_Q4_NSA,LU,2017-01-01,7.0
TOTAL,PCH_Q4_NSA,LU,2017-04-01,6.4
TOTAL,PCH_Q4_NSA,LU,2017-07-01,4.9
TOTAL,PCH_Q4_NSA,LU,2017-10-01,4.2
TOTAL,PCH_Q4_NSA,LU,2018-01-01,6.4
TOTAL,PCH_Q4_NSA,LU,2018-04-01,5.1
TOTAL,PCH_Q4_NSA,LV,2015-07-01,-7.9
TOTAL,PCH_Q4_NSA,LV,2015-10-01,6.6
TOTAL,PCH_Q4_NSA,LV,2016-01-01,7.1
TOTAL,PCH_Q4_NSA,LV,2016-04-01,9.5
TOTAL,PCH_Q4_NSA,LV,2016-07-01,9.6
TOTAL,PCH_Q4_NSA,LV,2016-10-01,7.8
TOTAL,PCH_Q4_NSA,LV,2017-01-01,9.3
TOTAL,PCH_Q4_NSA,LV,2017-04-01,9.1
TOTAL,PCH_Q4_NSA,LV,2017-07-01,8.8
TOTAL,PCH_Q4_NSA,LV,2017-10-01,7.9
TOTAL,PCH_Q4_NSA,LV,2018-01-01,11.4
TOTAL,PCH_Q4_NSA,LV,2018-04-01,8.7
TOTAL,PCH_Q4_NSA,MT,2015-07-01,8.6
TOTAL,PCH_Q4_NSA,MT,2015-10-01,8.2
TOTAL,PCH_Q4_NSA,MT,2016-01-01,5.2
TOTAL,PCH_Q4_NSA,MT,2016-04-01,7.0
TOTAL,PCH_Q4_NSA,MT,2016-07-01,4.8
TOTAL,PCH_Q4_NSA,MT,2016-10-01,4.9
TOTAL,PCH_Q4_NSA,MT,2017-01-01,5.3
TOTAL,PCH_Q4_NSA,MT,2017-04-01,5.9
TOTAL,PCH_Q4_NSA,MT,2017-07-01,5.1
TOTAL,PCH_Q4_NSA,MT,2017-10-01,4.9
TOTAL,PCH_Q4_NSA,MT,2018-01-01,5.6
TOTAL,PCH_Q4_NSA,MT,2018-04-01,5.7
TOTAL,PCH_Q4_NSA,NL,2015-07-01,4.4
TOTAL,PCH_Q4_NSA,NL,2015-10-01,4.3
TOTAL,PCH_Q4_NSA,NL,2016-01-01,4.6
TOTAL,PCH_Q4_NSA,NL,2016-04-01,4.5
TOTAL,PCH_Q4_NSA,NL,2016-07-01,5.0
TOTAL,PCH_Q4_NSA,NL,2016-10-01,6.0
TOTAL,PCH_Q4_NSA,NL,2017-01-01,6.7
TOTAL,PCH_Q4_NSA,NL,2017-04-01,7.5
TOTAL,PCH_Q4_NSA,NL,2017-07-01,7.4
TOTAL,PCH_Q4_NSA,NL,2017-10-01,8.5
TOTAL,PCH_Q4_NSA,NL,2018-01-01,9.3
TOTAL,PCH_Q4_NSA,NL,2018-04-01,9.3
TOTAL,PCH_Q4_NSA,NO,2015-07-01,6.4
TOTAL,PCH_Q4_NSA,NO,2015-10-01,5.5
TOTAL,PCH_Q4_NSA,NO,2016-01-01,4.6
TOTAL,PCH_Q4_NSA,NO,2016-04-01,6.5
TOTAL,PCH_Q4_NSA,NO,2016-07-01,8.9
TOTAL,PCH_Q4_NSA,NO,2016-10-01,11.5
TOTAL,PCH_Q4_NSA,NO,2017-01-01,11.7
TOTAL,PCH_Q4_NSA,NO,2017-04-01,7.8
TOTAL,PCH_Q4_NSA,NO,2017-07-01,2.3
TOTAL,PCH_Q4_NSA,NO,2017-10-01,0.6
TOTAL,PCH_Q4_NSA,NO,2018-01-01,-1.1
TOTAL,PCH_Q4_NSA,NO,2018-04-01,0.5
TOTAL,PCH_Q4_NSA,PL,2015-07-01,2.0
TOTAL,PCH_Q4_NSA,PL,2015-10-01,1.0
TOTAL,PCH_Q4_NSA,PL,2016-01-01,0.9
TOTAL,PCH_Q4_NSA,PL,2016-04-01,0.4
TOTAL,PCH_Q4_NSA,PL,2016-07-01,2.1
TOTAL,PCH_Q4_NSA,PL,2016-10-01,4.0
TOTAL,PCH_Q4_NSA,PL,2017-01-01,3.3
TOTAL,PCH_Q4_NSA,PL,2017-04-01,4.6
TOTAL,PCH_Q4_NSA,PL,2017-07-01,3.7
TOTAL,PCH_Q4_NSA,PL,2017-10-01,3.9
TOTAL,PCH_Q4_NSA,PL,2018-01-01,6.0
TOTAL,PCH_Q4_NSA,PL,2018-04-01,6.2
TOTAL,PCH_Q4_NSA,PT,2015-07-01,3.4
TOTAL,PCH_Q4_NSA,PT,2015-10-01,5.0
TOTAL,PCH_Q4_NSA,PT,2016-01-01,6.9
TOTAL,PCH_Q4_NSA,PT,2016-04-01,6.3
TOTAL,PCH_Q4_NSA,PT,2016-07-01,7.6
TOTAL,PCH_Q4_NSA,PT,2016-10-01,7.6
TOTAL,PCH_Q4_NSA,PT,2017-01-01,7.9
TOTAL,PCH_Q4_NSA,PT,2017-04-01,8.0
TOTAL,PCH_Q4_NSA,PT,2017-07-01,10.4
TOTAL,PCH_Q4_NSA,PT,2017-10-01,10.5
TOTAL,PCH_Q4_NSA,PT,2018-01-01,12.2
TOTAL,PCH_Q4_NSA,PT,2018-04-01,11.2
TOTAL,PCH_Q4_NSA,RO,2015-07-01,3.0
TOTAL,PCH_Q4_NSA,RO,2015-10-01,2.8
TOTAL,PCH_Q4_NSA,RO,2016-01-01,2.6
TOTAL,PCH_Q4_NSA,RO,2016-04-01,6.8
TOTAL,PCH_Q4_NSA,RO,2016-07-01,7.1
TOTAL,PCH_Q4_NSA,RO,2016-10-01,7.3
TOTAL,PCH_Q4_NSA,RO,2017-01-01,5.1
TOTAL,PCH_Q4_NSA,RO,2017-04-01,7.2
TOTAL,PCH_Q4_NSA,RO,2017-07-01,6.2
TOTAL,PCH_Q4_NSA,RO,2017-10-01,5.6
TOTAL,PCH_Q4_NSA,RO,2018-01-01,6.6
TOTAL,PCH_Q4_NSA,RO,2018-04-01,4.7
TOTAL,PCH_Q4_NSA,SE,2015-07-01,13.6
TOTAL,PCH_Q4_NSA,SE,2015-10-01,14.2
TOTAL,PCH_Q4_NSA,SE,2016-01-01,12.5
TOTAL,PCH_Q4_NSA,SE,2016-04-01,8.7
TOTAL,PCH_Q4_NSA,SE,2016-07-01,7.1
TOTAL,PCH_Q4_NSA,SE,2016-10-01,6.5
TOTAL,PCH_Q4_NSA,SE,2017-01-01,6.6
TOTAL,PCH_Q4_NSA,SE,2017-04-01,8.6
TOTAL,PCH_Q4_NSA,SE,2017-07-01,7.5
TOTAL,PCH_Q4_NSA,SE,2017-10-01,3.0
TOTAL,PCH_Q4_NSA,SE,2018-01-01,-0.4
TOTAL,PCH_Q4_NSA,SE,2018-04-01,-1.7
TOTAL,PCH_Q4_NSA,SI,2015-07-01,1.0
TOTAL,PCH_Q4_NSA,SI,2015-10-01,0.1
TOTAL,PCH_Q4_NSA,SI,2016-01-01,0.8
TOTAL,PCH_Q4_NSA,SI,2016-04-01,0.4
TOTAL,PCH_Q4_NSA,SI,2016-07-01,5.0
TOTAL,PCH_Q4_NSA,SI,2016-10-01,6.9
TOTAL,PCH_Q4_NSA,SI,2017-01-01,5.9
TOTAL,PCH_Q4_NSA,SI,2017-04-01,8.3
TOTAL,PCH_Q4_NSA,SI,2017-07-01,7.9
TOTAL,PCH_Q4_NSA,SI,2017-10-01,10.0
TOTAL,PCH_Q4_NSA,SI,2018-01-01,13.4
TOTAL,PCH_Q4_NSA,SI,2018-04-01,13.4
TOTAL,PCH_Q4_NSA,SK,2015-07-01,5.8
TOTAL,PCH_Q4_NSA,SK,2015-10-01,4.8
TOTAL,PCH_Q4_NSA,SK,2016-01-01,5.0
TOTAL,PCH_Q4_NSA,SK,2016-04-01,5.9
TOTAL,PCH_Q4_NSA,SK,2016-07-01,7.5
TOTAL,PCH_Q4_NSA,SK,2016-10-01,8.3
TOTAL,PCH_Q4_NSA,SK,2017-01-01,3.8
TOTAL,PCH_Q4_NSA,SK,2017-04-01,6.6
TOTAL,PCH_Q4_NSA,SK,2017-07-01,7.3
TOTAL,PCH_Q4_NSA,SK,2017-10-01,5.8
TOTAL,PCH_Q4_NSA,SK,2018-01-01,11.7
TOTAL,PCH_Q4_NSA,SK,2018-04-01,7.0
TOTAL,PCH_Q4_NSA,UK,2015-07-01,5.3
TOTAL,PCH_Q4_NSA,UK,2015-10-01,6.4
TOTAL,PCH_Q4_NSA,UK,2016-01-01,7.9
TOTAL,PCH_Q4_NSA,UK,2016-04-01,8.0
TOTAL,PCH_Q4_NSA,UK,2016-07-01,6.7
TOTAL,PCH_Q4_NSA,UK,2016-10-01,5.4
TOTAL,PCH_Q4_NSA,UK,2017-01-01,4.4
TOTAL,PCH_Q4_NSA,UK,2017-04-01,4.4
TOTAL,PCH_Q4_NSA,UK,2017-07-01,4.6
TOTAL,PCH_Q4_NSA,UK,2017-10-01,4.6
TOTAL,PCH_Q4_NSA,UK,2018-01-01,4.3
TOTAL,PCH_Q4_NSA,UK,2018-04-01,3.4
