currency,partner,sector10,sectpart,stk_flow,bop_item,geotime,date,value
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,ES,2018-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,FI,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,FI,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,FI,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,FI,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,FI,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,FI,2016-10-01,9934
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,FI,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,FI,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,FI,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,FI,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,FI,2018-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,FI,2018-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,FR,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,FR,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,FR,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,FR,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,FR,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,FR,2016-10-01,139248
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,FR,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,FR,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,FR,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,FR,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,FR,2018-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,FR,2018-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,HR,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,HR,2015-10-01,
