na_item,nace_r2,unit,geotime,date,value
B1G,K,MIO_EUR_NSA,MK,2016-04-01,72
B1G,K,MIO_EUR_NSA,MK,2016-07-01,72
B1G,K,MIO_EUR_NSA,MK,2016-10-01,73
B1G,K,MIO_EUR_NSA,MK,2017-01-01,69
B1G,K,MIO_EUR_NSA,MK,2017-04-01,73
B1G,K,MIO_EUR_NSA,MK,2017-07-01,72
B1G,K,MIO_EUR_NSA,MK,2017-10-01,73
B1G,K,MIO_EUR_NSA,MK,2018-01-01,69
B1G,K,MIO_EUR_NSA,MK,2018-04-01,73
B1G,K,MIO_EUR_NSA,MT,2015-07-01,147
B1G,K,MIO_EUR_NSA,MT,2015-10-01,133
B1G,K,MIO_EUR_NSA,MT,2016-01-01,142
B1G,K,MIO_EUR_NSA,MT,2016-04-01,148
B1G,K,MIO_EUR_NSA,MT,2016-07-01,153
B1G,K,MIO_EUR_NSA,MT,2016-10-01,143
B1G,K,MIO_EUR_NSA,MT,2017-01-01,148
B1G,K,MIO_EUR_NSA,MT,2017-04-01,150
B1G,K,MIO_EUR_NSA,MT,2017-07-01,155
B1G,K,MIO_EUR_NSA,MT,2017-10-01,152
B1G,K,MIO_EUR_NSA,MT,2018-01-01,158
B1G,K,MIO_EUR_NSA,MT,2018-04-01,171
B1G,K,MIO_EUR_NSA,NL,2015-07-01,13062
B1G,K,MIO_EUR_NSA,NL,2015-10-01,12776
B1G,K,MIO_EUR_NSA,NL,2016-01-01,12417
B1G,K,MIO_EUR_NSA,NL,2016-04-01,12588
B1G,K,MIO_EUR_NSA,NL,2016-07-01,12544
B1G,K,MIO_EUR_NSA,NL,2016-10-01,12209
B1G,K,MIO_EUR_NSA,NL,2017-01-01,12286
B1G,K,MIO_EUR_NSA,NL,2017-04-01,12153
B1G,K,MIO_EUR_NSA,NL,2017-07-01,12199
B1G,K,MIO_EUR_NSA,NL,2017-10-01,12048
B1G,K,MIO_EUR_NSA,NL,2018-01-01,12899
B1G,K,MIO_EUR_NSA,NL,2018-04-01,12327
B1G,K,MIO_EUR_NSA,NO,2015-07-01,3171
B1G,K,MIO_EUR_NSA,NO,2015-10-01,3502
B1G,K,MIO_EUR_NSA,NO,2016-01-01,3895
B1G,K,MIO_EUR_NSA,NO,2016-04-01,4116
B1G,K,MIO_EUR_NSA,NO,2016-07-01,4001
B1G,K,MIO_EUR_NSA,NO,2016-10-01,4251
B1G,K,MIO_EUR_NSA,NO,2017-01-01,4350
B1G,K,MIO_EUR_NSA,NO,2017-04-01,4179
B1G,K,MIO_EUR_NSA,NO,2017-07-01,4182
B1G,K,MIO_EUR_NSA,NO,2017-10-01,4235
B1G,K,MIO_EUR_NSA,NO,2018-01-01,4211
B1G,K,MIO_EUR_NSA,NO,2018-04-01,4368
B1G,K,MIO_EUR_NSA,PL,2015-07-01,4046
B1G,K,MIO_EUR_NSA,PL,2015-10-01,3616
B1G,K,MIO_EUR_NSA,PL,2016-01-01,4244
B1G,K,MIO_EUR_NSA,PL,2016-04-01,4046
B1G,K,MIO_EUR_NSA,PL,2016-07-01,4276
B1G,K,MIO_EUR_NSA,PL,2016-10-01,4005
B1G,K,MIO_EUR_NSA,PL,2017-01-01,3713
B1G,K,MIO_EUR_NSA,PL,2017-04-01,4519
B1G,K,MIO_EUR_NSA,PL,2017-07-01,4618
B1G,K,MIO_EUR_NSA,PL,2017-10-01,3946
B1G,K,MIO_EUR_NSA,PL,2018-01-01,3919
B1G,K,MIO_EUR_NSA,PL,2018-04-01,4208
B1G,K,MIO_EUR_NSA,PT,2015-07-01,2016
B1G,K,MIO_EUR_NSA,PT,2015-10-01,2003
B1G,K,MIO_EUR_NSA,PT,2016-01-01,2130
B1G,K,MIO_EUR_NSA,PT,2016-04-01,2077
B1G,K,MIO_EUR_NSA,PT,2016-07-01,2054
B1G,K,MIO_EUR_NSA,PT,2016-10-01,2038
B1G,K,MIO_EUR_NSA,PT,2017-01-01,2198
B1G,K,MIO_EUR_NSA,PT,2017-04-01,2039
B1G,K,MIO_EUR_NSA,PT,2017-07-01,2058
B1G,K,MIO_EUR_NSA,PT,2017-10-01,2010
B1G,K,MIO_EUR_NSA,PT,2018-01-01,2250
B1G,K,MIO_EUR_NSA,PT,2018-04-01,2109
B1G,K,MIO_EUR_NSA,RO,2015-07-01,1287
B1G,K,MIO_EUR_NSA,RO,2015-10-01,1366
B1G,K,MIO_EUR_NSA,RO,2016-01-01,1184
B1G,K,MIO_EUR_NSA,RO,2016-04-01,1259
B1G,K,MIO_EUR_NSA,RO,2016-07-01,1232
B1G,K,MIO_EUR_NSA,RO,2016-10-01,1274
B1G,K,MIO_EUR_NSA,RO,2017-01-01,1274
B1G,K,MIO_EUR_NSA,RO,2017-04-01,1256
B1G,K,MIO_EUR_NSA,RO,2017-07-01,1295
B1G,K,MIO_EUR_NSA,RO,2017-10-01,1423
B1G,K,MIO_EUR_NSA,RO,2018-01-01,1288
B1G,K,MIO_EUR_NSA,RO,2018-04-01,1416
B1G,K,MIO_EUR_NSA,RS,2015-07-01,237
B1G,K,MIO_EUR_NSA,RS,2015-10-01,249
B1G,K,MIO_EUR_NSA,RS,2016-01-01,263
B1G,K,MIO_EUR_NSA,RS,2016-04-01,279
B1G,K,MIO_EUR_NSA,RS,2016-07-01,254
B1G,K,MIO_EUR_NSA,RS,2016-10-01,263
B1G,K,MIO_EUR_NSA,RS,2017-01-01,280
B1G,K,MIO_EUR_NSA,RS,2017-04-01,296
B1G,K,MIO_EUR_NSA,RS,2017-07-01,274
B1G,K,MIO_EUR_NSA,RS,2017-10-01,283
B1G,K,MIO_EUR_NSA,RS,2018-01-01,300
B1G,K,MIO_EUR_NSA,RS,2018-04-01,325
B1G,K,MIO_EUR_NSA,SE,2015-07-01,4369
B1G,K,MIO_EUR_NSA,SE,2015-10-01,4907
B1G,K,MIO_EUR_NSA,SE,2016-01-01,4451
B1G,K,MIO_EUR_NSA,SE,2016-04-01,4423
B1G,K,MIO_EUR_NSA,SE,2016-07-01,4547
B1G,K,MIO_EUR_NSA,SE,2016-10-01,4592
B1G,K,MIO_EUR_NSA,SE,2017-01-01,4202
B1G,K,MIO_EUR_NSA,SE,2017-04-01,4085
B1G,K,MIO_EUR_NSA,SE,2017-07-01,4138
B1G,K,MIO_EUR_NSA,SE,2017-10-01,4387
B1G,K,MIO_EUR_NSA,SE,2018-01-01,4062
B1G,K,MIO_EUR_NSA,SE,2018-04-01,3643
B1G,K,MIO_EUR_NSA,SI,2015-07-01,354
B1G,K,MIO_EUR_NSA,SI,2015-10-01,340
B1G,K,MIO_EUR_NSA,SI,2016-01-01,354
B1G,K,MIO_EUR_NSA,SI,2016-04-01,328
B1G,K,MIO_EUR_NSA,SI,2016-07-01,329
B1G,K,MIO_EUR_NSA,SI,2016-10-01,353
B1G,K,MIO_EUR_NSA,SI,2017-01-01,352
B1G,K,MIO_EUR_NSA,SI,2017-04-01,351
B1G,K,MIO_EUR_NSA,SI,2017-07-01,346
B1G,K,MIO_EUR_NSA,SI,2017-10-01,358
B1G,K,MIO_EUR_NSA,SI,2018-01-01,364
B1G,K,MIO_EUR_NSA,SI,2018-04-01,346
B1G,K,MIO_EUR_NSA,SK,2015-07-01,642
B1G,K,MIO_EUR_NSA,SK,2015-10-01,599
B1G,K,MIO_EUR_NSA,SK,2016-01-01,661
B1G,K,MIO_EUR_NSA,SK,2016-04-01,898
B1G,K,MIO_EUR_NSA,SK,2016-07-01,598
B1G,K,MIO_EUR_NSA,SK,2016-10-01,503
B1G,K,MIO_EUR_NSA,SK,2017-01-01,704
B1G,K,MIO_EUR_NSA,SK,2017-04-01,896
B1G,K,MIO_EUR_NSA,SK,2017-07-01,681
B1G,K,MIO_EUR_NSA,SK,2017-10-01,497
B1G,K,MIO_EUR_NSA,SK,2018-01-01,607
B1G,K,MIO_EUR_NSA,SK,2018-04-01,816
B1G,K,MIO_EUR_NSA,TR,2015-07-01,5902
B1G,K,MIO_EUR_NSA,TR,2015-10-01,5633
B1G,K,MIO_EUR_NSA,TR,2016-01-01,5677
B1G,K,MIO_EUR_NSA,TR,2016-04-01,6315
B1G,K,MIO_EUR_NSA,TR,2016-07-01,6820
B1G,K,MIO_EUR_NSA,TR,2016-10-01,7165
B1G,K,MIO_EUR_NSA,TR,2017-01-01,6387
B1G,K,MIO_EUR_NSA,TR,2017-04-01,6673
B1G,K,MIO_EUR_NSA,TR,2017-07-01,5590
B1G,K,MIO_EUR_NSA,TR,2017-10-01,5838
B1G,K,MIO_EUR_NSA,TR,2018-01-01,6223
B1G,K,MIO_EUR_NSA,TR,2018-04-01,6783
B1G,K,MIO_EUR_NSA,UK,2015-07-01,37716
B1G,K,MIO_EUR_NSA,UK,2015-10-01,44104
B1G,K,MIO_EUR_NSA,UK,2016-01-01,40319
B1G,K,MIO_EUR_NSA,UK,2016-04-01,40087
B1G,K,MIO_EUR_NSA,UK,2016-07-01,37837
B1G,K,MIO_EUR_NSA,UK,2016-10-01,38912
B1G,K,MIO_EUR_NSA,UK,2017-01-01,37764
B1G,K,MIO_EUR_NSA,UK,2017-04-01,38798
