nace_r2,unit,indic_bt,geo\time,date,value
F,I2015_SCA,EMPL,MK,2016-10-01,108.5 
F,I2015_SCA,EMPL,MK,2017-01-01,106.3 
F,I2015_SCA,EMPL,MK,2017-04-01,105.3 
F,I2015_SCA,EMPL,MK,2017-07-01,103.5 
F,I2015_SCA,EMPL,MK,2017-10-01,101.3 
F,I2015_SCA,EMPL,MK,2018-01-01,100.1 
F,I2015_SCA,EMPL,MK,2018-04-01,100.0 
F,I2015_SCA,EMPL,MT,2015-07-01,100.0 
F,I2015_SCA,EMPL,MT,2015-10-01,100.2 
F,I2015_SCA,EMPL,MT,2016-01-01,101.8 p
F,I2015_SCA,EMPL,MT,2016-04-01,101.9 p
F,I2015_SCA,EMPL,MT,2016-07-01,102.3 p
F,I2015_SCA,EMPL,MT,2016-10-01,99.7 p
F,I2015_SCA,EMPL,MT,2017-01-01,100.9 p
F,I2015_SCA,EMPL,MT,2017-04-01,100.1 p
F,I2015_SCA,EMPL,MT,2017-07-01,98.9 p
F,I2015_SCA,EMPL,MT,2017-10-01,99.1 p
F,I2015_SCA,EMPL,MT,2018-01-01,98.9 p
F,I2015_SCA,EMPL,MT,2018-04-01,100.6 p
F,I2015_SCA,EMPL,NL,2015-07-01,99.7 s
F,I2015_SCA,EMPL,NL,2015-10-01,99.5 s
F,I2015_SCA,EMPL,NL,2016-01-01,99.3 ps
F,I2015_SCA,EMPL,NL,2016-04-01,99.4 ps
F,I2015_SCA,EMPL,NL,2016-07-01,99.9 ps
F,I2015_SCA,EMPL,NL,2016-10-01,100.4 ps
F,I2015_SCA,EMPL,NL,2017-01-01,101.2 ps
F,I2015_SCA,EMPL,NL,2017-04-01,102.0 ps
F,I2015_SCA,EMPL,NL,2017-07-01,102.7 ps
F,I2015_SCA,EMPL,NL,2017-10-01,103.6 ps
F,I2015_SCA,EMPL,NL,2018-01-01,104.4 ps
F,I2015_SCA,EMPL,NL,2018-04-01,: c
F,I2015_SCA,EMPL,NO,2015-07-01,100.4 
F,I2015_SCA,EMPL,NO,2015-10-01,101.1 
F,I2015_SCA,EMPL,NO,2016-01-01,100.7 p
F,I2015_SCA,EMPL,NO,2016-04-01,102.2 p
F,I2015_SCA,EMPL,NO,2016-07-01,103.3 p
F,I2015_SCA,EMPL,NO,2016-10-01,104.6 p
F,I2015_SCA,EMPL,NO,2017-01-01,106.1 p
F,I2015_SCA,EMPL,NO,2017-04-01,107.3 p
F,I2015_SCA,EMPL,NO,2017-07-01,108.4 p
F,I2015_SCA,EMPL,NO,2017-10-01,109.5 p
F,I2015_SCA,EMPL,NO,2018-01-01,110.4 p
F,I2015_SCA,EMPL,NO,2018-04-01,111.3 p
F,I2015_SCA,EMPL,PL,2015-07-01,99.7 s
F,I2015_SCA,EMPL,PL,2015-10-01,99.4 s
F,I2015_SCA,EMPL,PL,2016-01-01,99.4 s
F,I2015_SCA,EMPL,PL,2016-04-01,99.1 s
F,I2015_SCA,EMPL,PL,2016-07-01,99.1 s
F,I2015_SCA,EMPL,PL,2016-10-01,99.0 s
F,I2015_SCA,EMPL,PL,2017-01-01,100.7 s
F,I2015_SCA,EMPL,PL,2017-04-01,100.9 s
F,I2015_SCA,EMPL,PL,2017-07-01,101.5 s
F,I2015_SCA,EMPL,PL,2017-10-01,102.4 s
F,I2015_SCA,EMPL,PL,2018-01-01,104.5 s
F,I2015_SCA,EMPL,PL,2018-04-01,105.4 s
F,I2015_SCA,EMPL,PT,2015-07-01,99.9 s
F,I2015_SCA,EMPL,PT,2015-10-01,98.4 s
F,I2015_SCA,EMPL,PT,2016-01-01,95.9 s
F,I2015_SCA,EMPL,PT,2016-04-01,95.8 s
F,I2015_SCA,EMPL,PT,2016-07-01,95.8 s
F,I2015_SCA,EMPL,PT,2016-10-01,96.6 s
F,I2015_SCA,EMPL,PT,2017-01-01,97.7 s
F,I2015_SCA,EMPL,PT,2017-04-01,97.1 s
F,I2015_SCA,EMPL,PT,2017-07-01,97.5 s
F,I2015_SCA,EMPL,PT,2017-10-01,98.4 s
F,I2015_SCA,EMPL,PT,2018-01-01,99.2 s
F,I2015_SCA,EMPL,PT,2018-04-01,99.6 s
F,I2015_SCA,EMPL,RO,2015-07-01,100.1 s
F,I2015_SCA,EMPL,RO,2015-10-01,102.3 s
F,I2015_SCA,EMPL,RO,2016-01-01,107.2 s
F,I2015_SCA,EMPL,RO,2016-04-01,104.4 s
F,I2015_SCA,EMPL,RO,2016-07-01,104.2 s
F,I2015_SCA,EMPL,RO,2016-10-01,104.6 s
F,I2015_SCA,EMPL,RO,2017-01-01,105.7 s
F,I2015_SCA,EMPL,RO,2017-04-01,103.1 s
F,I2015_SCA,EMPL,RO,2017-07-01,102.4 s
F,I2015_SCA,EMPL,RO,2017-10-01,105.2 s
F,I2015_SCA,EMPL,RO,2018-01-01,114.8 s
F,I2015_SCA,EMPL,RO,2018-04-01,109.8 s
F,I2015_SCA,EMPL,RS,2015-07-01,99.6 s
F,I2015_SCA,EMPL,RS,2015-10-01,99.3 s
F,I2015_SCA,EMPL,RS,2016-01-01,98.5 s
F,I2015_SCA,EMPL,RS,2016-04-01,100.0 s
F,I2015_SCA,EMPL,RS,2016-07-01,100.8 s
F,I2015_SCA,EMPL,RS,2016-10-01,100.3 s
F,I2015_SCA,EMPL,RS,2017-01-01,99.9 s
F,I2015_SCA,EMPL,RS,2017-04-01,100.6 s
F,I2015_SCA,EMPL,RS,2017-07-01,101.5 s
F,I2015_SCA,EMPL,RS,2017-10-01,103.1 s
F,I2015_SCA,EMPL,RS,2018-01-01,105.3 s
F,I2015_SCA,EMPL,RS,2018-04-01,106.9 ps
F,I2015_SCA,EMPL,SE,2015-07-01,99.9 s
F,I2015_SCA,EMPL,SE,2015-10-01,103.2 s
F,I2015_SCA,EMPL,SE,2016-01-01,103.3 s
F,I2015_SCA,EMPL,SE,2016-04-01,104.6 s
F,I2015_SCA,EMPL,SE,2016-07-01,106.0 s
F,I2015_SCA,EMPL,SE,2016-10-01,107.6 s
F,I2015_SCA,EMPL,SE,2017-01-01,108.8 s
