indic_il,sex,geo\time,date,value
R_GE65_LT65,T,MT,2012-01-01,0.80 
R_GE65_LT65,T,MT,2013-01-01,0.79
R_GE65_LT65,T,MT,2014-01-01,0.78 
R_GE65_LT65,T,MT,2015-01-01,0.75
R_GE65_LT65,T,MT,2016-01-01,0.72 
R_GE65_LT65,T,MT,2017-01-01,0.72 
R_GE65_LT65,T,NL,2006-01-01,0.87 
R_GE65_LT65,T,NL,2007-01-01,0.83 
R_GE65_LT65,T,NL,2008-01-01,0.84 
R_GE65_LT65,T,NL,2009-01-01,0.86 
R_GE65_LT65,T,NL,2010-01-01,0.87 
R_GE65_LT65,T,NL,2011-01-01,0.87 
R_GE65_LT65,T,NL,2012-01-01,0.90 
R_GE65_LT65,T,NL,2013-01-01,0.9
R_GE65_LT65,T,NL,2014-01-01,0.89 
R_GE65_LT65,T,NL,2015-01-01,0.89
R_GE65_LT65,T,NL,2016-01-01,0.82 b
R_GE65_LT65,T,NL,2017-01-01,0.81 
R_GE65_LT65,T,NO,2006-01-01,0.79 
R_GE65_LT65,T,NO,2007-01-01,0.81 
R_GE65_LT65,T,NO,2008-01-01,0.81 
R_GE65_LT65,T,NO,2009-01-01,0.84 
R_GE65_LT65,T,NO,2010-01-01,0.85 
R_GE65_LT65,T,NO,2011-01-01,0.85 
R_GE65_LT65,T,NO,2012-01-01,0.91 
R_GE65_LT65,T,NO,2013-01-01,0.91
R_GE65_LT65,T,NO,2014-01-01,0.92 
R_GE65_LT65,T,NO,2015-01-01,0.92
R_GE65_LT65,T,NO,2016-01-01,0.91 
R_GE65_LT65,T,NO,2017-01-01,0.91 
R_GE65_LT65,T,PL,2006-01-01,1.07 
R_GE65_LT65,T,PL,2007-01-01,1.04 
R_GE65_LT65,T,PL,2008-01-01,0.97 
R_GE65_LT65,T,PL,2009-01-01,0.92 
R_GE65_LT65,T,PL,2010-01-01,0.93 
R_GE65_LT65,T,PL,2011-01-01,0.94 
R_GE65_LT65,T,PL,2012-01-01,0.95 
R_GE65_LT65,T,PL,2013-01-01,0.98
R_GE65_LT65,T,PL,2014-01-01,0.99 
R_GE65_LT65,T,PL,2015-01-01,0.99
R_GE65_LT65,T,PL,2016-01-01,0.97 
R_GE65_LT65,T,PL,2017-01-01,0.93 
R_GE65_LT65,T,PT,2006-01-01,0.79 
R_GE65_LT65,T,PT,2007-01-01,0.80 
R_GE65_LT65,T,PT,2008-01-01,0.83 
R_GE65_LT65,T,PT,2009-01-01,0.85 
R_GE65_LT65,T,PT,2010-01-01,0.82 
R_GE65_LT65,T,PT,2011-01-01,0.87 
R_GE65_LT65,T,PT,2012-01-01,0.92 
R_GE65_LT65,T,PT,2013-01-01,0.94
R_GE65_LT65,T,PT,2014-01-01,0.94 
R_GE65_LT65,T,PT,2015-01-01,0.92
R_GE65_LT65,T,PT,2016-01-01,0.91 
R_GE65_LT65,T,PT,2017-01-01,0.92 
R_GE65_LT65,T,RO,2006-01-01,: 
R_GE65_LT65,T,RO,2007-01-01,0.76 
R_GE65_LT65,T,RO,2008-01-01,0.85 
R_GE65_LT65,T,RO,2009-01-01,0.93 
R_GE65_LT65,T,RO,2010-01-01,0.97 
R_GE65_LT65,T,RO,2011-01-01,1.01 
R_GE65_LT65,T,RO,2012-01-01,1.03 
R_GE65_LT65,T,RO,2013-01-01,1.04
R_GE65_LT65,T,RO,2014-01-01,1.04 
R_GE65_LT65,T,RO,2015-01-01,1.0
R_GE65_LT65,T,RO,2016-01-01,0.97 
R_GE65_LT65,T,RO,2017-01-01,0.95 
R_GE65_LT65,T,RS,2006-01-01,: 
R_GE65_LT65,T,RS,2007-01-01,: 
R_GE65_LT65,T,RS,2008-01-01,: 
R_GE65_LT65,T,RS,2009-01-01,: 
R_GE65_LT65,T,RS,2010-01-01,: 
R_GE65_LT65,T,RS,2011-01-01,: 
R_GE65_LT65,T,RS,2012-01-01,: 
R_GE65_LT65,T,RS,2013-01-01,1.02
R_GE65_LT65,T,RS,2014-01-01,1.07 
R_GE65_LT65,T,RS,2015-01-01,1.09
R_GE65_LT65,T,RS,2016-01-01,1.08 
R_GE65_LT65,T,RS,2017-01-01,: 
R_GE65_LT65,T,SE,2006-01-01,0.85 
R_GE65_LT65,T,SE,2007-01-01,0.81 
R_GE65_LT65,T,SE,2008-01-01,0.76 b
R_GE65_LT65,T,SE,2009-01-01,0.76 
R_GE65_LT65,T,SE,2010-01-01,0.79 
R_GE65_LT65,T,SE,2011-01-01,0.77 
R_GE65_LT65,T,SE,2012-01-01,0.78 
R_GE65_LT65,T,SE,2013-01-01,0.79
R_GE65_LT65,T,SE,2014-01-01,0.82 
R_GE65_LT65,T,SE,2015-01-01,0.79
R_GE65_LT65,T,SE,2016-01-01,0.77 
R_GE65_LT65,T,SE,2017-01-01,0.78 
R_GE65_LT65,T,SI,2006-01-01,0.85 
R_GE65_LT65,T,SI,2007-01-01,0.87 
R_GE65_LT65,T,SI,2008-01-01,0.84 
R_GE65_LT65,T,SI,2009-01-01,0.86 
R_GE65_LT65,T,SI,2010-01-01,0.87 
R_GE65_LT65,T,SI,2011-01-01,0.87 
R_GE65_LT65,T,SI,2012-01-01,0.87 
R_GE65_LT65,T,SI,2013-01-01,0.87
R_GE65_LT65,T,SI,2014-01-01,0.91 
R_GE65_LT65,T,SI,2015-01-01,0.9
R_GE65_LT65,T,SI,2016-01-01,0.89 
R_GE65_LT65,T,SI,2017-01-01,0.88 
R_GE65_LT65,T,SK,2006-01-01,0.85 
R_GE65_LT65,T,SK,2007-01-01,0.81 
R_GE65_LT65,T,SK,2008-01-01,0.79 
R_GE65_LT65,T,SK,2009-01-01,0.81 
R_GE65_LT65,T,SK,2010-01-01,0.83 
R_GE65_LT65,T,SK,2011-01-01,0.86 
R_GE65_LT65,T,SK,2012-01-01,0.81 
R_GE65_LT65,T,SK,2013-01-01,0.9
R_GE65_LT65,T,SK,2014-01-01,0.91 
R_GE65_LT65,T,SK,2015-01-01,0.91
R_GE65_LT65,T,SK,2016-01-01,0.91 
R_GE65_LT65,T,SK,2017-01-01,0.89 
R_GE65_LT65,T,TR,2006-01-01,1.12 
R_GE65_LT65,T,TR,2007-01-01,1.11 
R_GE65_LT65,T,TR,2008-01-01,1.08 
R_GE65_LT65,T,TR,2009-01-01,1.08 
R_GE65_LT65,T,TR,2010-01-01,1.07 
R_GE65_LT65,T,TR,2011-01-01,1.06 
R_GE65_LT65,T,TR,2012-01-01,1.02 
R_GE65_LT65,T,TR,2013-01-01,1.08
R_GE65_LT65,T,TR,2014-01-01,1.06 
R_GE65_LT65,T,TR,2015-01-01,1.04
R_GE65_LT65,T,TR,2016-01-01,: 
R_GE65_LT65,T,TR,2017-01-01,: 
R_GE65_LT65,T,UK,2006-01-01,0.73 
R_GE65_LT65,T,UK,2007-01-01,0.74 
R_GE65_LT65,T,UK,2008-01-01,0.74 
R_GE65_LT65,T,UK,2009-01-01,0.80 
R_GE65_LT65,T,UK,2010-01-01,0.81 
R_GE65_LT65,T,UK,2011-01-01,0.81 
R_GE65_LT65,T,UK,2012-01-01,0.88 b
R_GE65_LT65,T,UK,2013-01-01,0.87
R_GE65_LT65,T,UK,2014-01-01,0.87 
R_GE65_LT65,T,UK,2015-01-01,0.88
R_GE65_LT65,T,UK,2016-01-01,0.89 
R_GE65_LT65,T,UK,2017-01-01,: 
